image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,angry,level_3,Disgust,0.7091,-0.6889,0.6387,0.2466,0.0011,0.7091,0.0193,0.0163,0.0018,0.0027,0.0031,result_output/down/angry/level_3/00003100.txt
00000100,down,angry,level_3,Disgust,0.8955,-0.6676,0.5679,0.0768,0.0016,0.8955,0.0078,0.0144,0.0011,0.0018,0.001,result_output/down/angry/level_3/00000100.txt
00008800,down,angry,level_3,Disgust,0.7092,-0.6934,0.6379,0.2512,0.001,0.7092,0.0184,0.0129,0.0017,0.0028,0.0028,result_output/down/angry/level_3/00008800.txt
00007500,down,angry,level_3,Disgust,0.7117,-0.6361,0.5656,0.2082,0.0023,0.7117,0.0342,0.0259,0.0047,0.0048,0.0081,result_output/down/angry/level_3/00007500.txt
00008200,down,angry,level_3,Disgust,0.4867,-0.6014,0.5814,0.3864,0.0007,0.4867,0.0463,0.0039,0.0221,0.028,0.0258,result_output/down/angry/level_3/00008200.txt
00005400,down,angry,level_3,Disgust,0.8,-0.7049,0.6013,0.1714,0.0005,0.8,0.0145,0.0027,0.0026,0.0056,0.0027,result_output/down/angry/level_3/00005400.txt
00010000,down,angry,level_3,Disgust,0.8193,-0.6389,0.5653,0.1296,0.0019,0.8193,0.0141,0.028,0.0017,0.0035,0.0019,result_output/down/angry/level_3/00010000.txt
00010700,down,angry,level_3,Disgust,0.651,-0.621,0.622,0.2718,0.0019,0.651,0.025,0.0388,0.0022,0.0043,0.005,result_output/down/angry/level_3/00010700.txt
00003700,down,angry,level_3,Disgust,0.8419,-0.698,0.5937,0.1314,0.001,0.8419,0.0112,0.0095,0.0014,0.0021,0.0016,result_output/down/angry/level_3/00003700.txt
00000700,down,angry,level_3,Disgust,0.6988,-0.6698,0.6272,0.2459,0.0014,0.6988,0.023,0.0227,0.0018,0.0028,0.0036,result_output/down/angry/level_3/00000700.txt
00011000,down,angry,level_3,Disgust,0.7683,-0.6332,0.5815,0.1644,0.0022,0.7683,0.0185,0.0373,0.0023,0.0032,0.0038,result_output/down/angry/level_3/00011000.txt
00005600,down,angry,level_3,Disgust,0.76,-0.7035,0.6256,0.2111,0.0003,0.76,0.0151,0.0023,0.0025,0.0047,0.0039,result_output/down/angry/level_3/00005600.txt
00001600,down,angry,level_3,Anger,0.5875,-0.6004,0.7361,0.5875,0.0009,0.3102,0.0699,0.013,0.0024,0.0056,0.0104,result_output/down/angry/level_3/00001600.txt
00004900,down,angry,level_3,Disgust,0.8195,-0.6277,0.5522,0.1213,0.0023,0.8195,0.0183,0.031,0.0017,0.0034,0.0025,result_output/down/angry/level_3/00004900.txt
00001500,down,angry,level_3,Anger,0.5313,-0.6206,0.7127,0.5313,0.0009,0.3757,0.0615,0.013,0.0025,0.0054,0.0098,result_output/down/angry/level_3/00001500.txt
00001300,down,angry,level_3,Anger,0.6087,-0.5863,0.7577,0.6087,0.0007,0.285,0.0705,0.0123,0.0028,0.0047,0.0152,result_output/down/angry/level_3/00001300.txt
00003000,down,angry,level_3,Disgust,0.8199,-0.6469,0.5658,0.1294,0.0019,0.8199,0.0145,0.0286,0.0014,0.0024,0.0019,result_output/down/angry/level_3/00003000.txt
00010500,down,angry,level_3,Disgust,0.7419,-0.6453,0.6071,0.2041,0.0016,0.7419,0.0165,0.0286,0.0015,0.0032,0.0027,result_output/down/angry/level_3/00010500.txt
00008600,down,angry,level_3,Disgust,0.7192,-0.6776,0.6001,0.2234,0.0012,0.7192,0.0288,0.0145,0.0033,0.0036,0.0061,result_output/down/angry/level_3/00008600.txt
00002800,down,angry,level_3,Disgust,0.869,-0.6426,0.5506,0.0885,0.002,0.869,0.0124,0.0225,0.0015,0.0024,0.0016,result_output/down/angry/level_3/00002800.txt
00011100,down,angry,level_3,Disgust,0.7593,-0.6185,0.5678,0.164,0.0025,0.7593,0.0228,0.0408,0.0025,0.0038,0.0044,result_output/down/angry/level_3/00011100.txt
00006900,down,angry,level_3,Disgust,0.5721,-0.6324,0.6035,0.355,0.0007,0.5721,0.0232,0.0024,0.0136,0.0201,0.0129,result_output/down/angry/level_3/00006900.txt
00005800,down,angry,level_3,Disgust,0.789,-0.6447,0.5528,0.1515,0.0019,0.789,0.0244,0.0216,0.0031,0.005,0.0037,result_output/down/angry/level_3/00005800.txt
00007300,down,angry,level_3,Disgust,0.7981,-0.7013,0.602,0.1666,0.001,0.7981,0.0169,0.0113,0.0016,0.0018,0.0028,result_output/down/angry/level_3/00007300.txt
00000300,down,angry,level_3,Disgust,0.8887,-0.6557,0.5575,0.0771,0.002,0.8887,0.009,0.0189,0.0011,0.002,0.0012,result_output/down/angry/level_3/00000300.txt
00008400,down,angry,level_3,Anger,0.4915,-0.5858,0.6551,0.4915,0.0008,0.3843,0.0507,0.0072,0.0157,0.0178,0.0321,result_output/down/angry/level_3/00008400.txt
00000800,down,angry,level_3,Disgust,0.6692,-0.6668,0.6476,0.2747,0.0012,0.6692,0.023,0.0217,0.0022,0.0026,0.0054,result_output/down/angry/level_3/00000800.txt
00010400,down,angry,level_3,Disgust,0.6704,-0.5375,0.5586,0.2009,0.0037,0.6704,0.0277,0.0838,0.0026,0.0049,0.006,result_output/down/angry/level_3/00010400.txt
