image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,contempt,level_3,Surprise,0.4366,0.3012,0.3436,0.0249,0.088,0.0281,0.0089,0.2315,0.1524,0.0297,0.4366,result_output/down/contempt/level_3/00003100.txt
00000100,down,contempt,level_3,Surprise,0.4599,0.4117,0.398,0.0147,0.0437,0.0277,0.0161,0.3814,0.049,0.0075,0.4599,result_output/down/contempt/level_3/00000100.txt
00008800,down,contempt,level_3,Surprise,0.4783,0.1512,0.5034,0.0433,0.0783,0.0938,0.0167,0.1414,0.1234,0.0248,0.4783,result_output/down/contempt/level_3/00008800.txt
00007500,down,contempt,level_3,Happy,0.5001,0.5135,0.3308,0.0158,0.0377,0.0186,0.0145,0.5001,0.0347,0.0067,0.3719,result_output/down/contempt/level_3/00007500.txt
00008200,down,contempt,level_3,Happy,0.4909,0.4815,0.3822,0.0244,0.0304,0.0233,0.0176,0.4909,0.0268,0.0042,0.3824,result_output/down/contempt/level_3/00008200.txt
00005400,down,contempt,level_3,Surprise,0.6159,0.485,0.4448,0.0129,0.0243,0.0089,0.0097,0.262,0.0596,0.0067,0.6159,result_output/down/contempt/level_3/00005400.txt
00003700,down,contempt,level_3,Happy,0.4947,0.6359,0.3841,0.0131,0.0165,0.0039,0.0106,0.4947,0.0196,0.0032,0.4385,result_output/down/contempt/level_3/00003700.txt
00000700,down,contempt,level_3,Happy,0.476,0.4861,0.3987,0.0236,0.0288,0.0205,0.018,0.476,0.026,0.0041,0.4031,result_output/down/contempt/level_3/00000700.txt
00005600,down,contempt,level_3,Surprise,0.6197,0.5416,0.4312,0.0084,0.0238,0.0035,0.0073,0.2916,0.0409,0.0047,0.6197,result_output/down/contempt/level_3/00005600.txt
00001600,down,contempt,level_3,Surprise,0.5359,0.2752,0.4855,0.0177,0.0464,0.0617,0.0176,0.2288,0.0809,0.0111,0.5359,result_output/down/contempt/level_3/00001600.txt
00004900,down,contempt,level_3,Surprise,0.6321,0.4942,0.4496,0.0109,0.0229,0.0072,0.0089,0.2523,0.0586,0.0071,0.6321,result_output/down/contempt/level_3/00004900.txt
00001500,down,contempt,level_3,Surprise,0.5011,0.2668,0.4662,0.0175,0.0512,0.0636,0.0196,0.2646,0.0731,0.0093,0.5011,result_output/down/contempt/level_3/00001500.txt
00001300,down,contempt,level_3,Happy,0.4908,0.5633,0.3429,0.0135,0.0305,0.0093,0.0125,0.4908,0.0297,0.0051,0.4087,result_output/down/contempt/level_3/00001300.txt
00003000,down,contempt,level_3,Surprise,0.4472,0.3263,0.3683,0.0263,0.081,0.0287,0.0109,0.2556,0.1243,0.0261,0.4472,result_output/down/contempt/level_3/00003000.txt
00008600,down,contempt,level_3,Happy,0.4796,0.4346,0.3417,0.0159,0.0519,0.0326,0.0174,0.4796,0.04,0.0075,0.355,result_output/down/contempt/level_3/00008600.txt
00002800,down,contempt,level_3,Surprise,0.485,0.32,0.357,0.021,0.0531,0.0309,0.0105,0.201,0.1646,0.034,0.485,result_output/down/contempt/level_3/00002800.txt
00006900,down,contempt,level_3,Surprise,0.5449,0.4941,0.3974,0.0129,0.0264,0.0127,0.0115,0.3181,0.0649,0.0086,0.5449,result_output/down/contempt/level_3/00006900.txt
00005800,down,contempt,level_3,Surprise,0.6312,0.4331,0.3976,0.0076,0.0429,0.0054,0.0044,0.1917,0.1041,0.0127,0.6312,result_output/down/contempt/level_3/00005800.txt
00007300,down,contempt,level_3,Happy,0.4837,0.5133,0.3445,0.0156,0.035,0.0158,0.0148,0.4837,0.0349,0.0061,0.394,result_output/down/contempt/level_3/00007300.txt
00000300,down,contempt,level_3,Surprise,0.4563,0.3682,0.4341,0.0227,0.0421,0.0378,0.0177,0.3735,0.0438,0.0061,0.4563,result_output/down/contempt/level_3/00000300.txt
00008400,down,contempt,level_3,Happy,0.4981,0.5414,0.3981,0.0257,0.0211,0.0138,0.0158,0.4981,0.0231,0.0037,0.3986,result_output/down/contempt/level_3/00008400.txt
00000800,down,contempt,level_3,Surprise,0.4865,0.4686,0.4851,0.0414,0.0161,0.0166,0.0196,0.3891,0.027,0.0036,0.4865,result_output/down/contempt/level_3/00000800.txt
00005900,down,contempt,level_3,Surprise,0.5395,0.3729,0.3485,0.0109,0.0709,0.0104,0.0049,0.2053,0.1391,0.019,0.5395,result_output/down/contempt/level_3/00005900.txt
00000500,down,contempt,level_3,Happy,0.5039,0.5056,0.3529,0.016,0.0391,0.0166,0.0149,0.5039,0.0269,0.0049,0.3776,result_output/down/contempt/level_3/00000500.txt
00006000,down,contempt,level_3,Surprise,0.5325,0.3461,0.3461,0.0111,0.0818,0.012,0.0049,0.1936,0.1438,0.0203,0.5325,result_output/down/contempt/level_3/00006000.txt
00008500,down,contempt,level_3,Happy,0.5076,0.4901,0.3706,0.0227,0.0327,0.0225,0.0169,0.5076,0.026,0.0042,0.3672,result_output/down/contempt/level_3/00008500.txt
00006700,down,contempt,level_3,Surprise,0.4595,0.5244,0.3777,0.0158,0.029,0.0119,0.0127,0.4252,0.0403,0.0056,0.4595,result_output/down/contempt/level_3/00006700.txt
00002100,down,contempt,level_3,Surprise,0.4417,0.3746,0.3984,0.0191,0.0528,0.037,0.0162,0.3661,0.0574,0.0096,0.4417,result_output/down/contempt/level_3/00002100.txt
00007800,down,contempt,level_3,Happy,0.5017,0.5118,0.3359,0.0161,0.0385,0.0189,0.0146,0.5017,0.0338,0.0065,0.3699,result_output/down/contempt/level_3/00007800.txt
00006300,down,contempt,level_3,Surprise,0.4591,0.5168,0.3499,0.0108,0.0387,0.0106,0.0117,0.4188,0.0438,0.0065,0.4591,result_output/down/contempt/level_3/00006300.txt
00004700,down,contempt,level_3,Surprise,0.5021,0.5326,0.3746,0.0129,0.0263,0.0087,0.012,0.3878,0.0441,0.0061,0.5021,result_output/down/contempt/level_3/00004700.txt
00008900,down,contempt,level_3,Surprise,0.4423,0.1002,0.4986,0.0431,0.083,0.1281,0.0162,0.1299,0.1309,0.0264,0.4423,result_output/down/contempt/level_3/00008900.txt
00002300,down,contempt,level_3,Happy,0.4501,0.4713,0.408,0.0227,0.0344,0.0185,0.0147,0.4501,0.0288,0.0041,0.4267,result_output/down/contempt/level_3/00002300.txt
00007400,down,contempt,level_3,Happy,0.4978,0.5096,0.3355,0.0161,0.0371,0.0192,0.0148,0.4978,0.0352,0.0065,0.3734,result_output/down/contempt/level_3/00007400.txt
00000600,down,contempt,level_3,Happy,0.5205,0.5152,0.3551,0.0187,0.033,0.018,0.0166,0.5205,0.0251,0.0048,0.3632,result_output/down/contempt/level_3/00000600.txt
00007000,down,contempt,level_3,Surprise,0.595,0.4852,0.4191,0.011,0.0299,0.0088,0.0092,0.2782,0.061,0.0069,0.595,result_output/down/contempt/level_3/00007000.txt
00002600,down,contempt,level_3,Surprise,0.4333,0.3306,0.3934,0.0141,0.0662,0.0469,0.0167,0.3473,0.0647,0.0107,0.4333,result_output/down/contempt/level_3/00002600.txt
00003900,down,contempt,level_3,Surprise,0.4886,0.6028,0.3917,0.0117,0.0192,0.004,0.0104,0.4357,0.0264,0.004,0.4886,result_output/down/contempt/level_3/00003900.txt
00005300,down,contempt,level_3,Surprise,0.5907,0.4024,0.3791,0.0114,0.0495,0.0083,0.0048,0.1884,0.1313,0.0155,0.5907,result_output/down/contempt/level_3/00005300.txt
00005700,down,contempt,level_3,Surprise,0.6558,0.5205,0.4373,0.007,0.0268,0.0033,0.0063,0.2435,0.0509,0.0065,0.6558,result_output/down/contempt/level_3/00005700.txt
00007200,down,contempt,level_3,Surprise,0.4454,0.54,0.3435,0.0112,0.0334,0.0095,0.0112,0.4452,0.0387,0.0054,0.4454,result_output/down/contempt/level_3/00007200.txt
00002500,down,contempt,level_3,Happy,0.4439,0.4977,0.3714,0.0161,0.0367,0.014,0.0132,0.4439,0.0344,0.0051,0.4366,result_output/down/contempt/level_3/00002500.txt
00002000,down,contempt,level_3,Surprise,0.5194,0.4576,0.4069,0.0132,0.0362,0.0179,0.0135,0.3393,0.0526,0.0079,0.5194,result_output/down/contempt/level_3/00002000.txt
00002700,down,contempt,level_3,Surprise,0.5911,0.3581,0.4497,0.017,0.0314,0.0236,0.0127,0.1766,0.1256,0.022,0.5911,result_output/down/contempt/level_3/00002700.txt
00002200,down,contempt,level_3,Surprise,0.4522,0.4606,0.412,0.0207,0.0361,0.0201,0.0148,0.4135,0.0369,0.0057,0.4522,result_output/down/contempt/level_3/00002200.txt
00009100,down,contempt,level_3,Surprise,0.3685,0.1081,0.4378,0.0506,0.0807,0.1375,0.0166,0.1725,0.1379,0.0358,0.3685,result_output/down/contempt/level_3/00009100.txt
00001400,down,contempt,level_3,Surprise,0.4834,0.4829,0.3787,0.0138,0.0359,0.0152,0.0132,0.3832,0.048,0.0072,0.4834,result_output/down/contempt/level_3/00001400.txt
00001800,down,contempt,level_3,Surprise,0.4542,0.2482,0.4384,0.017,0.0698,0.0715,0.0181,0.29,0.0694,0.01,0.4542,result_output/down/contempt/level_3/00001800.txt
00009600,down,contempt,level_3,Surprise,0.4502,0.1628,0.4703,0.037,0.0817,0.0952,0.0162,0.1583,0.1334,0.028,0.4502,result_output/down/contempt/level_3/00009600.txt
00004200,down,contempt,level_3,Surprise,0.5802,0.3515,0.397,0.0147,0.0437,0.0175,0.0067,0.1634,0.1518,0.0219,0.5802,result_output/down/contempt/level_3/00004200.txt
00005500,down,contempt,level_3,Surprise,0.5766,0.5549,0.4126,0.0097,0.0232,0.004,0.0087,0.3365,0.0369,0.0045,0.5766,result_output/down/contempt/level_3/00005500.txt
00006100,down,contempt,level_3,Surprise,0.5668,0.417,0.3897,0.0128,0.0489,0.0117,0.0068,0.2348,0.1034,0.0148,0.5668,result_output/down/contempt/level_3/00006100.txt
00001200,down,contempt,level_3,Surprise,0.4903,0.4876,0.4773,0.034,0.0162,0.0152,0.0188,0.3949,0.027,0.0036,0.4903,result_output/down/contempt/level_3/00001200.txt
00000900,down,contempt,level_3,Surprise,0.5742,0.4522,0.586,0.0673,0.0073,0.0088,0.0217,0.2915,0.0258,0.0033,0.5742,result_output/down/contempt/level_3/00000900.txt
