image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,disgusted,level_2,Anger,0.3964,-0.1228,0.636,0.3964,0.0037,0.1242,0.0681,0.0766,0.0525,0.0109,0.2675,result_output/down/disgusted/level_2/00003100.txt
00000100,down,disgusted,level_2,Disgust,0.2922,-0.0991,0.4956,0.2232,0.0144,0.2922,0.0563,0.1941,0.0569,0.0168,0.1462,result_output/down/disgusted/level_2/00000100.txt
00008800,down,disgusted,level_2,Disgust,0.5777,-0.5482,0.5205,0.2539,0.0054,0.5777,0.0176,0.0086,0.0505,0.0328,0.0535,result_output/down/disgusted/level_2/00008800.txt
00007500,down,disgusted,level_2,Disgust,0.4363,-0.3146,0.5165,0.2677,0.0109,0.4363,0.047,0.1457,0.0272,0.0136,0.0516,result_output/down/disgusted/level_2/00007500.txt
00008200,down,disgusted,level_2,Anger,0.4588,-0.3169,0.604,0.4588,0.0014,0.1976,0.0355,0.0132,0.0807,0.0193,0.1935,result_output/down/disgusted/level_2/00008200.txt
00005400,down,disgusted,level_2,Disgust,0.7405,-0.6133,0.5573,0.1792,0.003,0.7405,0.0217,0.0233,0.0133,0.0064,0.0127,result_output/down/disgusted/level_2/00005400.txt
00010000,down,disgusted,level_2,Disgust,0.6589,-0.6062,0.549,0.2103,0.0064,0.6589,0.015,0.0097,0.0332,0.0237,0.0428,result_output/down/disgusted/level_2/00010000.txt
00003700,down,disgusted,level_2,Happy,0.3255,0.08,0.4297,0.1984,0.0225,0.1953,0.0512,0.3255,0.0532,0.0214,0.1323,result_output/down/disgusted/level_2/00003700.txt
00000700,down,disgusted,level_2,Disgust,0.5278,-0.4173,0.5494,0.2481,0.0078,0.5278,0.0429,0.0957,0.0227,0.0104,0.0446,result_output/down/disgusted/level_2/00000700.txt
00005600,down,disgusted,level_2,Disgust,0.7414,-0.6217,0.5633,0.1833,0.0027,0.7414,0.0191,0.0182,0.0152,0.0081,0.0121,result_output/down/disgusted/level_2/00005600.txt
00001600,down,disgusted,level_2,Disgust,0.5005,-0.358,0.541,0.2366,0.009,0.5005,0.0441,0.1167,0.0258,0.0103,0.0571,result_output/down/disgusted/level_2/00001600.txt
00004900,down,disgusted,level_2,Disgust,0.7028,-0.544,0.5443,0.1779,0.0046,0.7028,0.0257,0.0408,0.0188,0.0069,0.0226,result_output/down/disgusted/level_2/00004900.txt
00001500,down,disgusted,level_2,Disgust,0.4222,-0.3494,0.5914,0.3141,0.0058,0.4222,0.0547,0.0913,0.0278,0.0103,0.0738,result_output/down/disgusted/level_2/00001500.txt
00001300,down,disgusted,level_2,Anger,0.4397,-0.271,0.6049,0.4397,0.005,0.2398,0.0664,0.0817,0.042,0.015,0.1103,result_output/down/disgusted/level_2/00001300.txt
00003000,down,disgusted,level_2,Anger,0.4073,-0.1866,0.6155,0.4073,0.0043,0.1845,0.0692,0.0798,0.0482,0.0109,0.1958,result_output/down/disgusted/level_2/00003000.txt
00010500,down,disgusted,level_2,Disgust,0.5627,-0.5541,0.5146,0.2533,0.008,0.5627,0.0189,0.0137,0.0512,0.0377,0.0544,result_output/down/disgusted/level_2/00010500.txt
00008600,down,disgusted,level_2,Anger,0.307,-0.2723,0.4826,0.307,0.0034,0.2625,0.025,0.0145,0.1435,0.0306,0.2135,result_output/down/disgusted/level_2/00008600.txt
00002800,down,disgusted,level_2,Disgust,0.3687,-0.1457,0.4538,0.2033,0.0189,0.3687,0.0449,0.2209,0.0447,0.0182,0.0803,result_output/down/disgusted/level_2/00002800.txt
00006900,down,disgusted,level_2,Disgust,0.8025,-0.6381,0.5685,0.1369,0.0033,0.8025,0.0135,0.0274,0.0064,0.0036,0.0065,result_output/down/disgusted/level_2/00006900.txt
00005800,down,disgusted,level_2,Disgust,0.4768,-0.5341,0.5127,0.3638,0.004,0.4768,0.0262,0.017,0.0458,0.0408,0.0256,result_output/down/disgusted/level_2/00005800.txt
00007300,down,disgusted,level_2,Disgust,0.5234,-0.3683,0.522,0.2261,0.01,0.5234,0.0368,0.1279,0.0228,0.0103,0.0426,result_output/down/disgusted/level_2/00007300.txt
00000300,down,disgusted,level_2,Disgust,0.3134,-0.1215,0.516,0.2412,0.0126,0.3134,0.0579,0.2008,0.0415,0.0134,0.1192,result_output/down/disgusted/level_2/00000300.txt
00008400,down,disgusted,level_2,Anger,0.4104,-0.2612,0.5773,0.4104,0.0015,0.1679,0.0334,0.0134,0.1054,0.0223,0.2457,result_output/down/disgusted/level_2/00008400.txt
00000800,down,disgusted,level_2,Disgust,0.5068,-0.3968,0.5483,0.2512,0.0082,0.5068,0.0457,0.1012,0.0248,0.0112,0.0509,result_output/down/disgusted/level_2/00000800.txt
00010400,down,disgusted,level_2,Disgust,0.6066,-0.5298,0.4873,0.1883,0.0089,0.6066,0.0163,0.0126,0.0618,0.0398,0.0657,result_output/down/disgusted/level_2/00010400.txt
00005900,down,disgusted,level_2,Anger,0.4244,-0.4972,0.4777,0.4244,0.0047,0.3792,0.0248,0.0175,0.0633,0.0533,0.0328,result_output/down/disgusted/level_2/00005900.txt
00009800,down,disgusted,level_2,Disgust,0.6528,-0.5938,0.5404,0.2164,0.0065,0.6528,0.0128,0.0108,0.036,0.0254,0.0393,result_output/down/disgusted/level_2/00009800.txt
00000500,down,disgusted,level_2,Disgust,0.393,-0.2794,0.5668,0.304,0.0076,0.393,0.052,0.1298,0.0284,0.01,0.0752,result_output/down/disgusted/level_2/00000500.txt
00006000,down,disgusted,level_2,Anger,0.3575,-0.4046,0.4375,0.3575,0.007,0.356,0.0233,0.0312,0.0979,0.0596,0.0675,result_output/down/disgusted/level_2/00006000.txt
00008500,down,disgusted,level_2,Surprise,0.3569,-0.1483,0.5011,0.263,0.0018,0.128,0.0298,0.0132,0.1789,0.0286,0.3569,result_output/down/disgusted/level_2/00008500.txt
00006700,down,disgusted,level_2,Disgust,0.6629,-0.5548,0.5847,0.2248,0.004,0.6629,0.0259,0.0424,0.0133,0.0058,0.0209,result_output/down/disgusted/level_2/00006700.txt
00002100,down,disgusted,level_2,Disgust,0.3375,-0.1633,0.5141,0.2534,0.0136,0.3375,0.0545,0.2083,0.0322,0.0138,0.0868,result_output/down/disgusted/level_2/00002100.txt
00007800,down,disgusted,level_2,Disgust,0.6642,-0.5034,0.5318,0.189,0.0051,0.6642,0.0297,0.0389,0.0294,0.0088,0.0349,result_output/down/disgusted/level_2/00007800.txt
00006300,down,disgusted,level_2,Disgust,0.6212,-0.4771,0.5149,0.2019,0.006,0.6212,0.0299,0.0415,0.0423,0.0162,0.041,result_output/down/disgusted/level_2/00006300.txt
00004700,down,disgusted,level_2,Surprise,0.243,-0.0086,0.5096,0.2196,0.0113,0.1939,0.0604,0.1801,0.075,0.0166,0.243,result_output/down/disgusted/level_2/00004700.txt
00008900,down,disgusted,level_2,Disgust,0.5667,-0.5677,0.5243,0.2773,0.0061,0.5667,0.0185,0.0105,0.0448,0.0346,0.0414,result_output/down/disgusted/level_2/00008900.txt
00002300,down,disgusted,level_2,Disgust,0.4073,-0.1787,0.4639,0.1839,0.0193,0.4073,0.0457,0.2251,0.0323,0.015,0.0713,result_output/down/disgusted/level_2/00002300.txt
00007400,down,disgusted,level_2,Disgust,0.6032,-0.4463,0.5208,0.2085,0.0085,0.6032,0.0296,0.0993,0.017,0.0089,0.0249,result_output/down/disgusted/level_2/00007400.txt
00000600,down,disgusted,level_2,Disgust,0.5337,-0.4304,0.562,0.2545,0.0071,0.5337,0.0421,0.0899,0.0206,0.0092,0.0428,result_output/down/disgusted/level_2/00000600.txt
00007000,down,disgusted,level_2,Disgust,0.7585,-0.598,0.5652,0.158,0.0039,0.7585,0.0174,0.0402,0.008,0.0043,0.0098,result_output/down/disgusted/level_2/00007000.txt
00002600,down,disgusted,level_2,Disgust,0.3958,-0.1436,0.4416,0.1654,0.0223,0.3958,0.0434,0.2376,0.04,0.0173,0.0781,result_output/down/disgusted/level_2/00002600.txt
00003900,down,disgusted,level_2,Disgust,0.3524,-0.1364,0.4723,0.187,0.0187,0.3524,0.0516,0.2028,0.0525,0.0199,0.1151,result_output/down/disgusted/level_2/00003900.txt
00005300,down,disgusted,level_2,Disgust,0.786,-0.6493,0.5713,0.1574,0.0024,0.786,0.0159,0.0162,0.0093,0.0046,0.0083,result_output/down/disgusted/level_2/00005300.txt
00005700,down,disgusted,level_2,Disgust,0.6472,-0.6037,0.5748,0.2606,0.0024,0.6472,0.0252,0.0151,0.02,0.0133,0.0163,result_output/down/disgusted/level_2/00005700.txt
00007200,down,disgusted,level_2,Disgust,0.7167,-0.5661,0.5615,0.1766,0.0051,0.7167,0.0211,0.0503,0.0104,0.0053,0.0145,result_output/down/disgusted/level_2/00007200.txt
