image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,fear,level_3,Fear,0.8074,-0.0925,0.9174,0.1118,0.0001,0.0023,0.8074,0.0015,0.001,0.0007,0.0752,result_output/down/fear/level_3/00003100.txt
00000100,down,fear,level_3,Fear,0.68,0.0002,0.8586,0.0678,0.0005,0.0018,0.68,0.0056,0.0046,0.0014,0.2383,result_output/down/fear/level_3/00000100.txt
00008800,down,fear,level_3,Fear,0.7384,-0.0469,0.8789,0.0676,0.0003,0.0035,0.7384,0.0024,0.0041,0.0013,0.1825,result_output/down/fear/level_3/00008800.txt
00007500,down,fear,level_3,Fear,0.4888,0.0413,0.8573,0.0685,0.0001,0.0009,0.4888,0.0025,0.0021,0.0003,0.4367,result_output/down/fear/level_3/00007500.txt
00008200,down,fear,level_3,Surprise,0.5551,0.061,0.8607,0.0702,0.0,0.0008,0.3699,0.0011,0.0025,0.0003,0.5551,result_output/down/fear/level_3/00008200.txt
00005400,down,fear,level_3,Fear,0.4806,0.0609,0.8426,0.0644,0.0003,0.0021,0.4806,0.0079,0.0037,0.0006,0.4404,result_output/down/fear/level_3/00005400.txt
00010000,down,fear,level_3,Fear,0.7628,-0.1226,0.9257,0.1559,0.0,0.0012,0.7628,0.0002,0.0004,0.0004,0.0791,result_output/down/fear/level_3/00010000.txt
00010700,down,fear,level_3,Fear,0.7623,-0.1045,0.9297,0.1385,0.0,0.001,0.7623,0.0003,0.0005,0.0004,0.0971,result_output/down/fear/level_3/00010700.txt
00003700,down,fear,level_3,Fear,0.6271,-0.0008,0.8533,0.0518,0.0004,0.0018,0.6271,0.003,0.0082,0.0016,0.3061,result_output/down/fear/level_3/00003700.txt
00000700,down,fear,level_3,Fear,0.7826,-0.0874,0.9121,0.1248,0.0,0.0007,0.7826,0.0002,0.0004,0.0004,0.0908,result_output/down/fear/level_3/00000700.txt
00011000,down,fear,level_3,Fear,0.7865,-0.0976,0.9156,0.1205,0.0,0.001,0.7865,0.0002,0.0005,0.0004,0.0909,result_output/down/fear/level_3/00011000.txt
00005600,down,fear,level_3,Fear,0.5872,-0.0142,0.8546,0.1315,0.0012,0.0067,0.5872,0.0127,0.0046,0.0011,0.255,result_output/down/fear/level_3/00005600.txt
00001600,down,fear,level_3,Fear,0.6956,-0.0212,0.8617,0.0869,0.0005,0.0034,0.6956,0.005,0.0039,0.0012,0.2035,result_output/down/fear/level_3/00001600.txt
00004900,down,fear,level_3,Fear,0.6704,-0.0054,0.8559,0.0439,0.0003,0.0011,0.6704,0.0025,0.0064,0.0016,0.274,result_output/down/fear/level_3/00004900.txt
00001500,down,fear,level_3,Fear,0.7018,-0.0232,0.8621,0.086,0.0004,0.0021,0.7018,0.0041,0.0041,0.0012,0.2003,result_output/down/fear/level_3/00001500.txt
00001300,down,fear,level_3,Fear,0.7787,-0.089,0.9091,0.1188,0.0,0.0007,0.7787,0.0005,0.0006,0.0004,0.1002,result_output/down/fear/level_3/00001300.txt
00003000,down,fear,level_3,Fear,0.7966,-0.171,0.9457,0.1607,0.0,0.0034,0.7966,0.0004,0.0005,0.0006,0.0378,result_output/down/fear/level_3/00003000.txt
00010500,down,fear,level_3,Fear,0.7576,-0.1334,0.9363,0.1638,0.0,0.0012,0.7576,0.0002,0.0005,0.0004,0.0761,result_output/down/fear/level_3/00010500.txt
00008600,down,fear,level_3,Fear,0.5509,0.0157,0.8756,0.0469,0.0001,0.0009,0.5509,0.0016,0.0052,0.0008,0.3937,result_output/down/fear/level_3/00008600.txt
00002800,down,fear,level_3,Fear,0.7712,-0.1839,0.9374,0.1889,0.0,0.0041,0.7712,0.0003,0.0005,0.0007,0.0343,result_output/down/fear/level_3/00002800.txt
00011100,down,fear,level_3,Fear,0.7892,-0.1073,0.9232,0.1262,0.0,0.0011,0.7892,0.0002,0.0004,0.0004,0.0825,result_output/down/fear/level_3/00011100.txt
00006900,down,fear,level_3,Surprise,0.71,0.2291,0.8145,0.0228,0.0046,0.0008,0.2015,0.0526,0.007,0.0008,0.71,result_output/down/fear/level_3/00006900.txt
00005800,down,fear,level_3,Fear,0.6592,-0.071,0.8618,0.1398,0.0013,0.0121,0.6592,0.01,0.0046,0.0014,0.1716,result_output/down/fear/level_3/00005800.txt
00007300,down,fear,level_3,Surprise,0.5687,0.0805,0.8463,0.0464,0.0003,0.0011,0.3694,0.0064,0.0068,0.0008,0.5687,result_output/down/fear/level_3/00007300.txt
00000300,down,fear,level_3,Fear,0.7736,-0.0233,0.8856,0.066,0.0001,0.0017,0.7736,0.0023,0.0018,0.0008,0.1536,result_output/down/fear/level_3/00000300.txt
00008400,down,fear,level_3,Surprise,0.475,0.0188,0.8663,0.0861,0.0001,0.0015,0.4325,0.0015,0.003,0.0004,0.475,result_output/down/fear/level_3/00008400.txt
00000800,down,fear,level_3,Fear,0.7821,-0.0857,0.909,0.1282,0.0,0.0008,0.7821,0.0002,0.0004,0.0004,0.0878,result_output/down/fear/level_3/00000800.txt
00010400,down,fear,level_3,Fear,0.7603,-0.1359,0.9296,0.1653,0.0,0.0013,0.7603,0.0002,0.0005,0.0005,0.0719,result_output/down/fear/level_3/00010400.txt
00005900,down,fear,level_3,Fear,0.6752,-0.0457,0.8639,0.1154,0.0009,0.0061,0.6752,0.0073,0.0042,0.0013,0.1896,result_output/down/fear/level_3/00005900.txt
00009800,down,fear,level_3,Fear,0.7208,-0.1178,0.9242,0.1778,0.0,0.001,0.7208,0.0003,0.0006,0.0005,0.0989,result_output/down/fear/level_3/00009800.txt
00000500,down,fear,level_3,Fear,0.7883,-0.0507,0.908,0.0775,0.0,0.001,0.7883,0.0007,0.0008,0.0004,0.1313,result_output/down/fear/level_3/00000500.txt
00006000,down,fear,level_3,Fear,0.6699,-0.0045,0.8641,0.0613,0.0002,0.0014,0.6699,0.0025,0.004,0.001,0.2597,result_output/down/fear/level_3/00006000.txt
00008500,down,fear,level_3,Surprise,0.4755,0.0254,0.8661,0.0639,0.0001,0.0014,0.4536,0.0015,0.0034,0.0005,0.4755,result_output/down/fear/level_3/00008500.txt
00006700,down,fear,level_3,Fear,0.5554,0.0168,0.8593,0.0715,0.0002,0.0015,0.5554,0.0041,0.0026,0.0005,0.3641,result_output/down/fear/level_3/00006700.txt
00002100,down,fear,level_3,Fear,0.7351,-0.071,0.8938,0.0692,0.0,0.0025,0.7351,0.0005,0.002,0.0006,0.1899,result_output/down/fear/level_3/00002100.txt
00007800,down,fear,level_3,Fear,0.7247,-0.0673,0.8959,0.0816,0.0001,0.0019,0.7247,0.0007,0.002,0.0006,0.1883,result_output/down/fear/level_3/00007800.txt
00010600,down,fear,level_3,Fear,0.7331,-0.1309,0.9389,0.1689,0.0,0.0012,0.7331,0.0003,0.0006,0.0004,0.0956,result_output/down/fear/level_3/00010600.txt
00006300,down,fear,level_3,Surprise,0.5086,0.0534,0.8526,0.0545,0.0001,0.0013,0.4274,0.0023,0.0052,0.0006,0.5086,result_output/down/fear/level_3/00006300.txt
00004700,down,fear,level_3,Fear,0.6861,-0.027,0.8791,0.1108,0.0003,0.0033,0.6861,0.0045,0.0027,0.0009,0.1915,result_output/down/fear/level_3/00004700.txt
00008900,down,fear,level_3,Fear,0.7333,-0.0482,0.8807,0.0839,0.0004,0.0043,0.7333,0.0033,0.0037,0.0012,0.1698,result_output/down/fear/level_3/00008900.txt
00002300,down,fear,level_3,Fear,0.7388,-0.051,0.8718,0.0809,0.0004,0.0036,0.7388,0.0027,0.0048,0.0016,0.1674,result_output/down/fear/level_3/00002300.txt
00007400,down,fear,level_3,Surprise,0.5561,0.0712,0.853,0.0561,0.0001,0.0011,0.3798,0.0033,0.0032,0.0004,0.5561,result_output/down/fear/level_3/00007400.txt
00000600,down,fear,level_3,Fear,0.7729,-0.093,0.913,0.1192,0.0,0.0011,0.7729,0.0004,0.0007,0.0005,0.1051,result_output/down/fear/level_3/00000600.txt
00007000,down,fear,level_3,Surprise,0.6143,0.1194,0.8124,0.0341,0.0045,0.0012,0.2996,0.0315,0.013,0.0017,0.6143,result_output/down/fear/level_3/00007000.txt
00002600,down,fear,level_3,Fear,0.752,-0.0797,0.8893,0.1214,0.0002,0.0033,0.752,0.0026,0.003,0.0014,0.1161,result_output/down/fear/level_3/00002600.txt
00003900,down,fear,level_3,Fear,0.6095,0.0026,0.877,0.0443,0.0001,0.0012,0.6095,0.0009,0.0035,0.0007,0.3399,result_output/down/fear/level_3/00003900.txt
00005300,down,fear,level_3,Fear,0.4744,0.0538,0.8419,0.0644,0.0002,0.0021,0.4744,0.005,0.0037,0.0006,0.4497,result_output/down/fear/level_3/00005300.txt
00011400,down,fear,level_3,Fear,0.7967,-0.0949,0.9147,0.1124,0.0,0.001,0.7967,0.0002,0.0005,0.0004,0.0888,result_output/down/fear/level_3/00011400.txt
00005700,down,fear,level_3,Fear,0.6572,-0.051,0.8574,0.127,0.0012,0.0097,0.6572,0.01,0.0047,0.0015,0.1886,result_output/down/fear/level_3/00005700.txt
00011200,down,fear,level_3,Fear,0.8047,-0.0945,0.9076,0.1095,0.0,0.001,0.8047,0.0002,0.0005,0.0005,0.0837,result_output/down/fear/level_3/00011200.txt
00007200,down,fear,level_3,Surprise,0.5542,0.0806,0.8371,0.0418,0.0007,0.0014,0.3819,0.0105,0.0084,0.0011,0.5542,result_output/down/fear/level_3/00007200.txt
00002500,down,fear,level_3,Fear,0.7968,-0.094,0.8933,0.0912,0.0005,0.0095,0.7968,0.0033,0.0032,0.0018,0.0937,result_output/down/fear/level_3/00002500.txt
00002000,down,fear,level_3,Fear,0.6918,-0.0607,0.8815,0.0704,0.0001,0.0037,0.6918,0.0008,0.0027,0.0007,0.2298,result_output/down/fear/level_3/00002000.txt
00002700,down,fear,level_3,Fear,0.75,-0.1612,0.94,0.1896,0.0,0.0041,0.75,0.0007,0.0008,0.0007,0.0541,result_output/down/fear/level_3/00002700.txt
00002200,down,fear,level_3,Fear,0.7067,-0.0499,0.8734,0.0863,0.0003,0.0038,0.7067,0.0025,0.0045,0.0013,0.1947,result_output/down/fear/level_3/00002200.txt
00009100,down,fear,level_3,Fear,0.7595,-0.0625,0.8937,0.0825,0.0003,0.0045,0.7595,0.0023,0.0029,0.001,0.1469,result_output/down/fear/level_3/00009100.txt
00001400,down,fear,level_3,Fear,0.7928,-0.0488,0.9055,0.0826,0.0001,0.0009,0.7928,0.0012,0.001,0.0005,0.121,result_output/down/fear/level_3/00001400.txt
00001800,down,fear,level_3,Fear,0.7229,-0.0457,0.8702,0.0758,0.0003,0.0057,0.7229,0.0029,0.0047,0.0016,0.1862,result_output/down/fear/level_3/00001800.txt
00009600,down,fear,level_3,Fear,0.7708,-0.123,0.9204,0.1418,0.0,0.0012,0.7708,0.0002,0.0006,0.0004,0.0849,result_output/down/fear/level_3/00009600.txt
00004200,down,fear,level_3,Fear,0.7805,-0.0915,0.8987,0.0962,0.0004,0.006,0.7805,0.0026,0.0036,0.0016,0.1092,result_output/down/fear/level_3/00004200.txt
00005500,down,fear,level_3,Fear,0.5587,0.0509,0.8514,0.0642,0.0005,0.0014,0.5587,0.0076,0.0038,0.0008,0.363,result_output/down/fear/level_3/00005500.txt
00006100,down,fear,level_3,Fear,0.5483,0.0302,0.8536,0.0431,0.0002,0.0015,0.5483,0.0031,0.0043,0.0008,0.3989,result_output/down/fear/level_3/00006100.txt
00001200,down,fear,level_3,Fear,0.7224,-0.0768,0.9057,0.1544,0.0,0.0006,0.7224,0.0005,0.0006,0.0005,0.1209,result_output/down/fear/level_3/00001200.txt
00011300,down,fear,level_3,Fear,0.7974,-0.0923,0.9142,0.1117,0.0,0.001,0.7974,0.0002,0.0005,0.0004,0.0888,result_output/down/fear/level_3/00011300.txt
00000900,down,fear,level_3,Fear,0.7971,-0.0856,0.9088,0.1223,0.0,0.0007,0.7971,0.0002,0.0004,0.0004,0.0789,result_output/down/fear/level_3/00000900.txt
00009200,down,fear,level_3,Fear,0.7741,-0.0673,0.8964,0.0839,0.0002,0.0038,0.7741,0.0021,0.003,0.0012,0.1317,result_output/down/fear/level_3/00009200.txt
00007900,down,fear,level_3,Fear,0.7854,-0.0771,0.9068,0.0681,0.0,0.0015,0.7854,0.0005,0.0012,0.0005,0.1428,result_output/down/fear/level_3/00007900.txt
00001000,down,fear,level_3,Fear,0.7584,-0.11,0.9221,0.1604,0.0,0.0009,0.7584,0.0002,0.0004,0.0004,0.0793,result_output/down/fear/level_3/00001000.txt
00008100,down,fear,level_3,Surprise,0.5106,0.0539,0.8608,0.0645,0.0,0.0006,0.4208,0.001,0.0021,0.0003,0.5106,result_output/down/fear/level_3/00008100.txt
00010300,down,fear,level_3,Fear,0.7481,-0.1227,0.9254,0.1607,0.0,0.0012,0.7481,0.0002,0.0005,0.0004,0.0888,result_output/down/fear/level_3/00010300.txt
00005200,down,fear,level_3,Surprise,0.5196,0.059,0.8445,0.0379,0.0002,0.0015,0.4302,0.0039,0.006,0.0007,0.5196,result_output/down/fear/level_3/00005200.txt
00001100,down,fear,level_3,Fear,0.7424,-0.0965,0.9167,0.161,0.0,0.0007,0.7424,0.0003,0.0005,0.0004,0.0947,result_output/down/fear/level_3/00001100.txt
00004500,down,fear,level_3,Fear,0.7506,-0.0845,0.9017,0.1268,0.0002,0.0051,0.7506,0.0024,0.0022,0.001,0.1118,result_output/down/fear/level_3/00004500.txt
00003300,down,fear,level_3,Fear,0.8182,-0.0751,0.893,0.0708,0.0003,0.0046,0.8182,0.0021,0.0034,0.0019,0.0987,result_output/down/fear/level_3/00003300.txt
