image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,happy,level_3,Surprise,0.6987,0.5603,0.5892,0.0012,0.0127,0.0001,0.0107,0.2742,0.0021,0.0003,0.6987,result_output/down/happy/level_3/00003100.txt
00000100,down,happy,level_3,Surprise,0.6037,0.6427,0.5495,0.0015,0.0065,0.0,0.0127,0.3731,0.002,0.0005,0.6037,result_output/down/happy/level_3/00000100.txt
00008800,down,happy,level_3,Surprise,0.702,0.5725,0.6258,0.0018,0.0081,0.0001,0.016,0.2698,0.0019,0.0003,0.702,result_output/down/happy/level_3/00008800.txt
00007500,down,happy,level_3,Surprise,0.7345,0.5308,0.647,0.0018,0.0125,0.0002,0.0161,0.2322,0.0024,0.0004,0.7345,result_output/down/happy/level_3/00007500.txt
00008200,down,happy,level_3,Surprise,0.6977,0.565,0.6433,0.0017,0.0102,0.0001,0.0195,0.2689,0.0016,0.0003,0.6977,result_output/down/happy/level_3/00008200.txt
00005400,down,happy,level_3,Surprise,0.7208,0.5205,0.5841,0.0021,0.0161,0.0002,0.0122,0.242,0.0056,0.0009,0.7208,result_output/down/happy/level_3/00005400.txt
00003700,down,happy,level_3,Surprise,0.6806,0.5767,0.6214,0.0025,0.0071,0.0001,0.0192,0.2881,0.002,0.0004,0.6806,result_output/down/happy/level_3/00003700.txt
00000700,down,happy,level_3,Surprise,0.7224,0.6154,0.7351,0.0067,0.0021,0.0001,0.0283,0.2387,0.0014,0.0003,0.7224,result_output/down/happy/level_3/00000700.txt
00005600,down,happy,level_3,Surprise,0.7363,0.5303,0.6137,0.0022,0.0129,0.0002,0.0125,0.2307,0.0045,0.0007,0.7363,result_output/down/happy/level_3/00005600.txt
00001600,down,happy,level_3,Surprise,0.7125,0.5177,0.6437,0.0018,0.012,0.0001,0.0221,0.2498,0.0015,0.0002,0.7125,result_output/down/happy/level_3/00001600.txt
