image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,neutral,level_1,Surprise,0.8718,0.2491,0.7426,0.0097,0.0003,0.0007,0.0303,0.0066,0.0746,0.0059,0.8718,result_output/down/neutral/level_1/00003100.txt
00000100,down,neutral,level_1,Surprise,0.8544,0.1919,0.8051,0.0304,0.0001,0.0022,0.0434,0.0038,0.0615,0.0043,0.8544,result_output/down/neutral/level_1/00000100.txt
00008800,down,neutral,level_1,Surprise,0.8531,0.1902,0.8681,0.0149,0.0,0.0016,0.0767,0.0013,0.0478,0.0047,0.8531,result_output/down/neutral/level_1/00008800.txt
00007500,down,neutral,level_1,Surprise,0.8986,0.2265,0.8325,0.007,0.0001,0.0003,0.0429,0.0014,0.0456,0.0041,0.8986,result_output/down/neutral/level_1/00007500.txt
00008200,down,neutral,level_1,Surprise,0.8296,0.211,0.7632,0.0271,0.0003,0.0023,0.0508,0.0094,0.0747,0.0058,0.8296,result_output/down/neutral/level_1/00008200.txt
00005400,down,neutral,level_1,Surprise,0.8916,0.2384,0.7757,0.005,0.0001,0.0003,0.0322,0.0029,0.0621,0.0058,0.8916,result_output/down/neutral/level_1/00005400.txt
00010000,down,neutral,level_1,Surprise,0.5068,0.0551,0.2843,0.0073,0.0031,0.0005,0.0468,0.0157,0.3183,0.1013,0.5068,result_output/down/neutral/level_1/00010000.txt
00003700,down,neutral,level_1,Surprise,0.8722,0.2278,0.8053,0.0223,0.0002,0.0013,0.0386,0.0069,0.0546,0.0038,0.8722,result_output/down/neutral/level_1/00003700.txt
00000700,down,neutral,level_1,Surprise,0.8493,0.1861,0.8872,0.0169,0.0,0.0005,0.0966,0.0008,0.0305,0.0054,0.8493,result_output/down/neutral/level_1/00000700.txt
00005600,down,neutral,level_1,Surprise,0.9021,0.2324,0.8267,0.0078,0.0001,0.0004,0.0373,0.0025,0.046,0.0038,0.9021,result_output/down/neutral/level_1/00005600.txt
00001600,down,neutral,level_1,Surprise,0.8649,0.2339,0.7769,0.023,0.0003,0.0022,0.0335,0.0082,0.0641,0.0039,0.8649,result_output/down/neutral/level_1/00001600.txt
00004900,down,neutral,level_1,Surprise,0.8616,0.3159,0.685,0.015,0.0013,0.0013,0.0191,0.036,0.0623,0.0034,0.8616,result_output/down/neutral/level_1/00004900.txt
00001500,down,neutral,level_1,Surprise,0.8932,0.2523,0.8037,0.0182,0.0002,0.0012,0.0292,0.0077,0.0476,0.0026,0.8932,result_output/down/neutral/level_1/00001500.txt
00001300,down,neutral,level_1,Surprise,0.8876,0.3372,0.7091,0.0119,0.0009,0.001,0.0161,0.0308,0.0494,0.0023,0.8876,result_output/down/neutral/level_1/00001300.txt
00003000,down,neutral,level_1,Surprise,0.8527,0.2534,0.7105,0.0115,0.0004,0.001,0.0296,0.008,0.0909,0.006,0.8527,result_output/down/neutral/level_1/00003000.txt
00008600,down,neutral,level_1,Surprise,0.8788,0.2048,0.8476,0.0207,0.0001,0.0012,0.0477,0.0031,0.0453,0.0032,0.8788,result_output/down/neutral/level_1/00008600.txt
00002800,down,neutral,level_1,Surprise,0.8281,0.2556,0.6842,0.0158,0.0006,0.0016,0.0305,0.0138,0.1026,0.007,0.8281,result_output/down/neutral/level_1/00002800.txt
00006900,down,neutral,level_1,Surprise,0.8592,0.2663,0.7054,0.0154,0.001,0.0013,0.0287,0.023,0.0674,0.0041,0.8592,result_output/down/neutral/level_1/00006900.txt
00005800,down,neutral,level_1,Surprise,0.8942,0.2853,0.766,0.0197,0.0003,0.0012,0.022,0.0138,0.0466,0.0021,0.8942,result_output/down/neutral/level_1/00005800.txt
00007300,down,neutral,level_1,Surprise,0.8935,0.2223,0.8175,0.0082,0.0001,0.0004,0.0433,0.0024,0.0481,0.004,0.8935,result_output/down/neutral/level_1/00007300.txt
00000300,down,neutral,level_1,Surprise,0.8535,0.1798,0.825,0.0347,0.0001,0.0018,0.0482,0.003,0.0544,0.0043,0.8535,result_output/down/neutral/level_1/00000300.txt
00008400,down,neutral,level_1,Surprise,0.8722,0.2057,0.8287,0.0201,0.0002,0.0018,0.0489,0.005,0.0485,0.0033,0.8722,result_output/down/neutral/level_1/00008400.txt
00000800,down,neutral,level_1,Surprise,0.8612,0.1866,0.8873,0.0176,0.0,0.0005,0.0837,0.001,0.0314,0.0048,0.8612,result_output/down/neutral/level_1/00000800.txt
00005900,down,neutral,level_1,Surprise,0.8785,0.3779,0.6997,0.0134,0.0011,0.0008,0.0153,0.0503,0.0387,0.0019,0.8785,result_output/down/neutral/level_1/00005900.txt
00009800,down,neutral,level_1,Surprise,0.5315,0.0731,0.2768,0.0057,0.0037,0.0005,0.0351,0.0169,0.3113,0.0953,0.5315,result_output/down/neutral/level_1/00009800.txt
00000500,down,neutral,level_1,Surprise,0.8545,0.1834,0.8835,0.0233,0.0,0.0011,0.081,0.0008,0.035,0.0043,0.8545,result_output/down/neutral/level_1/00000500.txt
00006000,down,neutral,level_1,Surprise,0.8833,0.3771,0.7052,0.0122,0.0011,0.0007,0.0151,0.0473,0.0383,0.0019,0.8833,result_output/down/neutral/level_1/00006000.txt
00008500,down,neutral,level_1,Surprise,0.886,0.2143,0.8423,0.0214,0.0001,0.0013,0.0433,0.0047,0.0406,0.0025,0.886,result_output/down/neutral/level_1/00008500.txt
00006700,down,neutral,level_1,Surprise,0.9215,0.249,0.8354,0.0113,0.0001,0.0004,0.0326,0.0032,0.0291,0.0018,0.9215,result_output/down/neutral/level_1/00006700.txt
00002100,down,neutral,level_1,Surprise,0.8772,0.2104,0.8407,0.0182,0.0001,0.0009,0.0466,0.0033,0.0496,0.0041,0.8772,result_output/down/neutral/level_1/00002100.txt
00007800,down,neutral,level_1,Surprise,0.8382,0.1873,0.8046,0.015,0.0001,0.0019,0.065,0.0032,0.0702,0.0064,0.8382,result_output/down/neutral/level_1/00007800.txt
00006300,down,neutral,level_1,Surprise,0.9006,0.2612,0.7554,0.0066,0.0003,0.0003,0.0253,0.007,0.0557,0.0041,0.9006,result_output/down/neutral/level_1/00006300.txt
00004700,down,neutral,level_1,Surprise,0.8788,0.3035,0.7184,0.0154,0.0007,0.0011,0.0218,0.024,0.0553,0.0029,0.8788,result_output/down/neutral/level_1/00004700.txt
00008900,down,neutral,level_1,Surprise,0.8358,0.1806,0.8544,0.0169,0.0,0.0018,0.0829,0.0014,0.0552,0.006,0.8358,result_output/down/neutral/level_1/00008900.txt
00002300,down,neutral,level_1,Surprise,0.867,0.2111,0.8169,0.0133,0.0001,0.0008,0.0518,0.0033,0.0582,0.0055,0.867,result_output/down/neutral/level_1/00002300.txt
00007400,down,neutral,level_1,Surprise,0.896,0.2252,0.8366,0.0075,0.0001,0.0004,0.0442,0.0014,0.0463,0.0041,0.896,result_output/down/neutral/level_1/00007400.txt
00000600,down,neutral,level_1,Surprise,0.8456,0.1807,0.8891,0.0189,0.0,0.0008,0.0967,0.0007,0.0323,0.0049,0.8456,result_output/down/neutral/level_1/00000600.txt
00007000,down,neutral,level_1,Surprise,0.8425,0.2467,0.7066,0.02,0.0009,0.0023,0.0302,0.0182,0.0808,0.0051,0.8425,result_output/down/neutral/level_1/00007000.txt
00002600,down,neutral,level_1,Surprise,0.8207,0.2763,0.6414,0.0147,0.0013,0.0016,0.0219,0.0255,0.1073,0.007,0.8207,result_output/down/neutral/level_1/00002600.txt
00003900,down,neutral,level_1,Surprise,0.8684,0.2575,0.7356,0.018,0.0005,0.0014,0.0274,0.0124,0.0679,0.0039,0.8684,result_output/down/neutral/level_1/00003900.txt
00005300,down,neutral,level_1,Surprise,0.8896,0.2366,0.7815,0.0073,0.0002,0.0004,0.0344,0.004,0.0592,0.005,0.8896,result_output/down/neutral/level_1/00005300.txt
00005700,down,neutral,level_1,Surprise,0.9084,0.25,0.8149,0.0146,0.0002,0.0008,0.0287,0.0049,0.0402,0.0023,0.9084,result_output/down/neutral/level_1/00005700.txt
00007200,down,neutral,level_1,Surprise,0.8709,0.2111,0.8121,0.015,0.0001,0.0008,0.0489,0.0031,0.0567,0.0047,0.8709,result_output/down/neutral/level_1/00007200.txt
00002500,down,neutral,level_1,Surprise,0.8305,0.2724,0.663,0.019,0.0012,0.0021,0.0242,0.0255,0.0922,0.0053,0.8305,result_output/down/neutral/level_1/00002500.txt
00002000,down,neutral,level_1,Surprise,0.8641,0.2352,0.7782,0.0189,0.0004,0.0016,0.0392,0.0094,0.0621,0.0043,0.8641,result_output/down/neutral/level_1/00002000.txt
00002700,down,neutral,level_1,Surprise,0.8362,0.2633,0.6739,0.0136,0.0009,0.0016,0.0265,0.017,0.0977,0.0064,0.8362,result_output/down/neutral/level_1/00002700.txt
00002200,down,neutral,level_1,Surprise,0.8577,0.1872,0.861,0.015,0.0,0.0007,0.0723,0.0015,0.0472,0.0057,0.8577,result_output/down/neutral/level_1/00002200.txt
00009100,down,neutral,level_1,Surprise,0.8049,0.1796,0.7766,0.0127,0.0002,0.0014,0.0778,0.0033,0.0895,0.0103,0.8049,result_output/down/neutral/level_1/00009100.txt
00001400,down,neutral,level_1,Surprise,0.8916,0.2917,0.7573,0.0157,0.0005,0.0015,0.0215,0.0167,0.0502,0.0023,0.8916,result_output/down/neutral/level_1/00001400.txt
00001800,down,neutral,level_1,Surprise,0.8553,0.2496,0.7411,0.0202,0.0006,0.0023,0.0304,0.0147,0.0718,0.0046,0.8553,result_output/down/neutral/level_1/00001800.txt
00009600,down,neutral,level_1,Surprise,0.4911,0.0609,0.2469,0.0067,0.0038,0.0005,0.0366,0.019,0.3413,0.1011,0.4911,result_output/down/neutral/level_1/00009600.txt
00004200,down,neutral,level_1,Surprise,0.8733,0.2928,0.6939,0.0099,0.0008,0.0007,0.0219,0.0192,0.0697,0.0044,0.8733,result_output/down/neutral/level_1/00004200.txt
00005500,down,neutral,level_1,Surprise,0.8783,0.2293,0.7596,0.0051,0.0001,0.0003,0.0346,0.0027,0.0712,0.0076,0.8783,result_output/down/neutral/level_1/00005500.txt
00006100,down,neutral,level_1,Surprise,0.8773,0.3436,0.688,0.0125,0.0009,0.0009,0.0155,0.0347,0.0556,0.0027,0.8773,result_output/down/neutral/level_1/00006100.txt
00001200,down,neutral,level_1,Surprise,0.8768,0.3746,0.6824,0.0103,0.0013,0.0005,0.0153,0.0504,0.043,0.0023,0.8768,result_output/down/neutral/level_1/00001200.txt
00000900,down,neutral,level_1,Surprise,0.8682,0.1902,0.8746,0.0136,0.0,0.0004,0.0713,0.0013,0.0398,0.0053,0.8682,result_output/down/neutral/level_1/00000900.txt
00009200,down,neutral,level_1,Surprise,0.7894,0.1756,0.7482,0.0108,0.0002,0.0013,0.0761,0.004,0.1047,0.0134,0.7894,result_output/down/neutral/level_1/00009200.txt
00007900,down,neutral,level_1,Surprise,0.8416,0.2044,0.7774,0.0158,0.0003,0.0021,0.0524,0.0054,0.0762,0.0063,0.8416,result_output/down/neutral/level_1/00007900.txt
