image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,sad,level_1,Anger,0.2532,-0.2665,0.4603,0.2532,0.0015,0.1188,0.1395,0.0128,0.1372,0.1035,0.2335,result_output/down/sad/level_1/00003100.txt
00000100,down,sad,level_1,Disgust,0.2396,-0.2702,0.4646,0.2083,0.0045,0.2396,0.0971,0.045,0.1231,0.0864,0.196,result_output/down/sad/level_1/00000100.txt
00008800,down,sad,level_1,Surprise,0.3994,-0.0546,0.448,0.1226,0.0031,0.0916,0.0838,0.0286,0.1971,0.0738,0.3994,result_output/down/sad/level_1/00008800.txt
00007500,down,sad,level_1,Surprise,0.7257,0.1486,0.6566,0.0423,0.0006,0.0041,0.051,0.0109,0.1331,0.0322,0.7257,result_output/down/sad/level_1/00007500.txt
00008200,down,sad,level_1,Surprise,0.7283,0.1457,0.6639,0.0369,0.0004,0.0068,0.0565,0.0058,0.1334,0.0319,0.7283,result_output/down/sad/level_1/00008200.txt
00005400,down,sad,level_1,Surprise,0.6164,0.1387,0.5158,0.0512,0.0035,0.0217,0.0446,0.0288,0.1962,0.0375,0.6164,result_output/down/sad/level_1/00005400.txt
00010000,down,sad,level_1,Surprise,0.7874,0.1866,0.6978,0.0384,0.0013,0.012,0.035,0.0136,0.1005,0.0117,0.7874,result_output/down/sad/level_1/00010000.txt
00010700,down,sad,level_1,Surprise,0.4441,-0.0401,0.2036,0.0074,0.0025,0.0042,0.0431,0.0042,0.2848,0.2097,0.4441,result_output/down/sad/level_1/00010700.txt
00003700,down,sad,level_1,Sad,0.3276,-0.2328,0.1466,0.1053,0.0006,0.0065,0.1302,0.0043,0.1849,0.3276,0.2406,result_output/down/sad/level_1/00003700.txt
00000700,down,sad,level_1,Anger,0.4103,-0.2867,0.5932,0.4103,0.0009,0.0907,0.1308,0.0112,0.0837,0.0555,0.2168,result_output/down/sad/level_1/00000700.txt
00011000,down,sad,level_1,Surprise,0.3721,-0.0878,0.1279,0.0089,0.0022,0.0056,0.0441,0.0033,0.3073,0.2564,0.3721,result_output/down/sad/level_1/00011000.txt
00005600,down,sad,level_1,Surprise,0.5941,0.2198,0.5476,0.0725,0.0051,0.0191,0.0416,0.0972,0.1412,0.0293,0.5941,result_output/down/sad/level_1/00005600.txt
00001600,down,sad,level_1,Anger,0.3534,-0.2936,0.553,0.3534,0.0008,0.0946,0.1203,0.0079,0.0964,0.0711,0.2555,result_output/down/sad/level_1/00001600.txt
00004900,down,sad,level_1,Surprise,0.4171,-0.0543,0.2877,0.0525,0.001,0.0095,0.0895,0.0091,0.2313,0.1899,0.4171,result_output/down/sad/level_1/00004900.txt
00001500,down,sad,level_1,Anger,0.3594,-0.2161,0.6397,0.3594,0.0001,0.0348,0.1963,0.0016,0.0614,0.0461,0.3003,result_output/down/sad/level_1/00001500.txt
00001300,down,sad,level_1,Anger,0.3945,-0.1699,0.7601,0.3945,0.0,0.0135,0.3493,0.0015,0.0156,0.0294,0.1962,result_output/down/sad/level_1/00001300.txt
00003000,down,sad,level_1,Anger,0.3528,-0.2559,0.5705,0.3528,0.0007,0.0788,0.1284,0.0071,0.0985,0.0581,0.2757,result_output/down/sad/level_1/00003000.txt
00010500,down,sad,level_1,Surprise,0.447,-0.0435,0.2052,0.0069,0.0027,0.0038,0.0446,0.0044,0.277,0.2135,0.447,result_output/down/sad/level_1/00010500.txt
00008600,down,sad,level_1,Surprise,0.4254,-0.0518,0.519,0.1839,0.0015,0.0602,0.0823,0.0205,0.1685,0.0576,0.4254,result_output/down/sad/level_1/00008600.txt
00002800,down,sad,level_1,Anger,0.3704,-0.2074,0.648,0.3704,0.0002,0.034,0.196,0.0023,0.0612,0.0438,0.2922,result_output/down/sad/level_1/00002800.txt
00006900,down,sad,level_1,Surprise,0.5807,0.2051,0.5172,0.075,0.0051,0.0269,0.0373,0.0944,0.1512,0.0294,0.5807,result_output/down/sad/level_1/00006900.txt
00005800,down,sad,level_1,Surprise,0.6264,0.1598,0.5828,0.0763,0.0025,0.0174,0.0523,0.0476,0.145,0.0325,0.6264,result_output/down/sad/level_1/00005800.txt
00007300,down,sad,level_1,Surprise,0.7213,0.147,0.6458,0.0347,0.0012,0.0019,0.0629,0.0147,0.1188,0.0445,0.7213,result_output/down/sad/level_1/00007300.txt
00000300,down,sad,level_1,Anger,0.2579,-0.2761,0.4784,0.2579,0.0039,0.1919,0.1037,0.0429,0.1154,0.0897,0.1946,result_output/down/sad/level_1/00000300.txt
00008400,down,sad,level_1,Surprise,0.6265,0.0993,0.6022,0.0731,0.0005,0.0163,0.072,0.0077,0.1622,0.0417,0.6265,result_output/down/sad/level_1/00008400.txt
00000800,down,sad,level_1,Anger,0.3863,-0.2564,0.6436,0.3863,0.0003,0.048,0.2184,0.004,0.055,0.0573,0.2307,result_output/down/sad/level_1/00000800.txt
00010400,down,sad,level_1,Surprise,0.4586,-0.0236,0.2157,0.0079,0.0023,0.0039,0.037,0.0039,0.3014,0.1851,0.4586,result_output/down/sad/level_1/00010400.txt
00005900,down,sad,level_1,Surprise,0.6239,0.1422,0.582,0.078,0.0019,0.0178,0.0544,0.0354,0.1551,0.0335,0.6239,result_output/down/sad/level_1/00005900.txt
00009800,down,sad,level_1,Surprise,0.7834,0.1787,0.7047,0.0442,0.0015,0.0145,0.0366,0.015,0.0936,0.0112,0.7834,result_output/down/sad/level_1/00009800.txt
00000500,down,sad,level_1,Anger,0.3686,-0.2445,0.5349,0.3686,0.0012,0.0689,0.1139,0.0145,0.1033,0.0759,0.2539,result_output/down/sad/level_1/00000500.txt
00006000,down,sad,level_1,Surprise,0.5836,0.0834,0.5116,0.0373,0.0012,0.0057,0.0739,0.0151,0.2006,0.0826,0.5836,result_output/down/sad/level_1/00006000.txt
00008500,down,sad,level_1,Surprise,0.5454,0.0246,0.566,0.1252,0.0009,0.043,0.0622,0.0121,0.1713,0.04,0.5454,result_output/down/sad/level_1/00008500.txt
00006700,down,sad,level_1,Surprise,0.6644,0.1792,0.5792,0.0659,0.0027,0.0195,0.0383,0.0446,0.1417,0.0229,0.6644,result_output/down/sad/level_1/00006700.txt
00002100,down,sad,level_1,Anger,0.3171,-0.3599,0.4675,0.3171,0.0012,0.1256,0.1324,0.0089,0.1055,0.1208,0.1886,result_output/down/sad/level_1/00002100.txt
00007800,down,sad,level_1,Surprise,0.6874,0.1089,0.6685,0.0756,0.0005,0.0178,0.0694,0.0072,0.1176,0.0246,0.6874,result_output/down/sad/level_1/00007800.txt
00010600,down,sad,level_1,Surprise,0.3969,-0.061,0.1485,0.0077,0.0025,0.0048,0.0379,0.004,0.3172,0.2291,0.3969,result_output/down/sad/level_1/00010600.txt
00006300,down,sad,level_1,Surprise,0.7977,0.193,0.7021,0.0225,0.0006,0.0019,0.0405,0.0069,0.1087,0.0212,0.7977,result_output/down/sad/level_1/00006300.txt
00004700,down,sad,level_1,Surprise,0.3467,-0.1159,0.3267,0.1377,0.0011,0.0364,0.0948,0.0099,0.2288,0.1447,0.3467,result_output/down/sad/level_1/00004700.txt
00008900,down,sad,level_1,Surprise,0.417,-0.0081,0.4605,0.1329,0.0042,0.0714,0.0766,0.0483,0.1784,0.0712,0.417,result_output/down/sad/level_1/00008900.txt
