image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,down,surprised,level_2,Fear,0.6669,-0.0026,0.8902,0.0423,0.0,0.0004,0.6669,0.0001,0.0012,0.0005,0.2886,result_output/down/surprised/level_2/00003100.txt
00000100,down,surprised,level_2,Surprise,0.8687,0.2614,0.8616,0.009,0.0008,0.0002,0.0888,0.0262,0.0058,0.0005,0.8687,result_output/down/surprised/level_2/00000100.txt
00008800,down,surprised,level_2,Surprise,0.7027,0.129,0.8721,0.0259,0.0,0.0002,0.2673,0.0005,0.0031,0.0004,0.7027,result_output/down/surprised/level_2/00008800.txt
00007500,down,surprised,level_2,Surprise,0.7084,0.1505,0.8533,0.0261,0.0002,0.0003,0.2512,0.009,0.0043,0.0005,0.7084,result_output/down/surprised/level_2/00007500.txt
00008200,down,surprised,level_2,Fear,0.4948,0.0567,0.8874,0.0251,0.0,0.0002,0.4948,0.0005,0.002,0.0004,0.477,result_output/down/surprised/level_2/00008200.txt
00005400,down,surprised,level_2,Surprise,0.6332,0.1129,0.8567,0.0258,0.0001,0.0002,0.3315,0.0024,0.0059,0.0009,0.6332,result_output/down/surprised/level_2/00005400.txt
00010000,down,surprised,level_2,Fear,0.5039,0.0398,0.8922,0.0339,0.0,0.0002,0.5039,0.0002,0.0015,0.0003,0.4599,result_output/down/surprised/level_2/00010000.txt
00010700,down,surprised,level_2,Fear,0.5624,0.0143,0.8967,0.0584,0.0,0.0004,0.5624,0.0002,0.0013,0.0003,0.3771,result_output/down/surprised/level_2/00010700.txt
00003700,down,surprised,level_2,Surprise,0.6455,0.1176,0.875,0.023,0.0001,0.0002,0.3203,0.0018,0.008,0.0011,0.6455,result_output/down/surprised/level_2/00003700.txt
00000700,down,surprised,level_2,Surprise,0.5792,0.0795,0.9037,0.0298,0.0,0.0001,0.3886,0.0003,0.0017,0.0003,0.5792,result_output/down/surprised/level_2/00000700.txt
00011000,down,surprised,level_2,Fear,0.5987,0.0021,0.8903,0.0503,0.0,0.0005,0.5987,0.0002,0.0015,0.0004,0.3485,result_output/down/surprised/level_2/00011000.txt
00005600,down,surprised,level_2,Surprise,0.5846,0.0953,0.8537,0.04,0.0001,0.0004,0.3675,0.0034,0.0035,0.0005,0.5846,result_output/down/surprised/level_2/00005600.txt
00001600,down,surprised,level_2,Surprise,0.6503,0.1235,0.8734,0.0425,0.0001,0.0003,0.299,0.0044,0.003,0.0004,0.6503,result_output/down/surprised/level_2/00001600.txt
00004900,down,surprised,level_2,Surprise,0.483,0.0696,0.893,0.0489,0.0001,0.0003,0.4621,0.0026,0.0026,0.0005,0.483,result_output/down/surprised/level_2/00004900.txt
00001500,down,surprised,level_2,Surprise,0.5925,0.1012,0.879,0.0287,0.0,0.0002,0.3749,0.0014,0.0021,0.0003,0.5925,result_output/down/surprised/level_2/00001500.txt
00001300,down,surprised,level_2,Surprise,0.5552,0.0799,0.9045,0.0261,0.0,0.0001,0.4171,0.0002,0.0012,0.0002,0.5552,result_output/down/surprised/level_2/00001300.txt
00003000,down,surprised,level_2,Fear,0.5879,0.0176,0.8945,0.0317,0.0,0.0001,0.5879,0.0001,0.0009,0.0003,0.379,result_output/down/surprised/level_2/00003000.txt
00010500,down,surprised,level_2,Surprise,0.4823,0.0566,0.8964,0.0473,0.0,0.0002,0.4684,0.0002,0.0013,0.0003,0.4823,result_output/down/surprised/level_2/00010500.txt
00008600,down,surprised,level_2,Surprise,0.7035,0.149,0.8768,0.0179,0.0,0.0001,0.2761,0.0004,0.0018,0.0002,0.7035,result_output/down/surprised/level_2/00008600.txt
00002800,down,surprised,level_2,Fear,0.6242,-0.0009,0.8905,0.0461,0.0,0.0003,0.6242,0.0002,0.0014,0.0005,0.3274,result_output/down/surprised/level_2/00002800.txt
00011100,down,surprised,level_2,Fear,0.6067,0.0013,0.8872,0.0437,0.0,0.0004,0.6067,0.0002,0.0015,0.0004,0.3472,result_output/down/surprised/level_2/00011100.txt
00006900,down,surprised,level_2,Surprise,0.7144,0.1334,0.8621,0.0312,0.0,0.0002,0.2495,0.0008,0.0034,0.0004,0.7144,result_output/down/surprised/level_2/00006900.txt
00005800,down,surprised,level_2,Surprise,0.6028,0.1099,0.8751,0.043,0.0002,0.0004,0.3448,0.0057,0.0028,0.0004,0.6028,result_output/down/surprised/level_2/00005800.txt
00007300,down,surprised,level_2,Surprise,0.7773,0.25,0.8631,0.0242,0.0006,0.0002,0.1693,0.0257,0.0024,0.0003,0.7773,result_output/down/surprised/level_2/00007300.txt
00000300,down,surprised,level_2,Surprise,0.8177,0.1623,0.8916,0.026,0.0002,0.0004,0.1412,0.0074,0.0066,0.0005,0.8177,result_output/down/surprised/level_2/00000300.txt
00008400,down,surprised,level_2,Surprise,0.5857,0.0979,0.8958,0.0177,0.0,0.0001,0.3928,0.0007,0.0025,0.0005,0.5857,result_output/down/surprised/level_2/00008400.txt
00000800,down,surprised,level_2,Surprise,0.5463,0.0884,0.9077,0.0253,0.0,0.0001,0.4273,0.0001,0.0008,0.0002,0.5463,result_output/down/surprised/level_2/00000800.txt
00010400,down,surprised,level_2,Surprise,0.4913,0.068,0.8932,0.0472,0.0,0.0002,0.4599,0.0001,0.0011,0.0002,0.4913,result_output/down/surprised/level_2/00010400.txt
00005900,down,surprised,level_2,Surprise,0.5376,0.0869,0.881,0.0481,0.0002,0.0006,0.4047,0.005,0.0034,0.0005,0.5376,result_output/down/surprised/level_2/00005900.txt
00009800,down,surprised,level_2,Surprise,0.5381,0.0786,0.8833,0.0289,0.0,0.0003,0.4281,0.0012,0.0029,0.0005,0.5381,result_output/down/surprised/level_2/00009800.txt
00000500,down,surprised,level_2,Surprise,0.6038,0.0986,0.8899,0.0311,0.0,0.0004,0.3587,0.0015,0.0038,0.0006,0.6038,result_output/down/surprised/level_2/00000500.txt
00006000,down,surprised,level_2,Surprise,0.5013,0.078,0.8851,0.0475,0.0002,0.0006,0.4419,0.0049,0.0031,0.0005,0.5013,result_output/down/surprised/level_2/00006000.txt
00008500,down,surprised,level_2,Surprise,0.5635,0.0818,0.8934,0.0147,0.0,0.0001,0.4189,0.0004,0.002,0.0004,0.5635,result_output/down/surprised/level_2/00008500.txt
00006700,down,surprised,level_2,Surprise,0.7737,0.154,0.8832,0.0123,0.0,0.0001,0.2082,0.0007,0.0045,0.0005,0.7737,result_output/down/surprised/level_2/00006700.txt
00002100,down,surprised,level_2,Surprise,0.6585,0.1257,0.8791,0.0275,0.0001,0.0003,0.3049,0.0035,0.0046,0.0006,0.6585,result_output/down/surprised/level_2/00002100.txt
00007800,down,surprised,level_2,Surprise,0.7967,0.1511,0.8701,0.0086,0.0001,0.0001,0.1844,0.0021,0.0072,0.0009,0.7967,result_output/down/surprised/level_2/00007800.txt
00010600,down,surprised,level_2,Fear,0.5213,0.0311,0.8931,0.0452,0.0,0.0003,0.5213,0.0002,0.0015,0.0003,0.4312,result_output/down/surprised/level_2/00010600.txt
00006300,down,surprised,level_2,Surprise,0.4958,0.0794,0.8843,0.0527,0.0002,0.0006,0.4411,0.0054,0.0036,0.0006,0.4958,result_output/down/surprised/level_2/00006300.txt
00004700,down,surprised,level_2,Fear,0.5201,0.0267,0.89,0.0922,0.0001,0.0008,0.5201,0.0024,0.0028,0.0006,0.3809,result_output/down/surprised/level_2/00004700.txt
00008900,down,surprised,level_2,Surprise,0.6907,0.1318,0.8666,0.0299,0.0,0.0002,0.276,0.0005,0.0024,0.0003,0.6907,result_output/down/surprised/level_2/00008900.txt
00002300,down,surprised,level_2,Surprise,0.5359,0.0783,0.8762,0.0439,0.0001,0.0008,0.4092,0.0038,0.0054,0.0009,0.5359,result_output/down/surprised/level_2/00002300.txt
00007400,down,surprised,level_2,Surprise,0.8158,0.2567,0.8574,0.0151,0.0005,0.0001,0.1441,0.0214,0.0027,0.0003,0.8158,result_output/down/surprised/level_2/00007400.txt
00000600,down,surprised,level_2,Surprise,0.5504,0.0734,0.8927,0.0513,0.0,0.0004,0.3944,0.0009,0.0023,0.0003,0.5504,result_output/down/surprised/level_2/00000600.txt
00007000,down,surprised,level_2,Surprise,0.6422,0.1234,0.866,0.0309,0.0,0.0002,0.323,0.0008,0.0025,0.0003,0.6422,result_output/down/surprised/level_2/00007000.txt
00002600,down,surprised,level_2,Surprise,0.5143,0.0771,0.8803,0.0371,0.0001,0.0006,0.4398,0.0032,0.0041,0.0007,0.5143,result_output/down/surprised/level_2/00002600.txt
00003900,down,surprised,level_2,Surprise,0.6572,0.122,0.876,0.0192,0.0,0.0002,0.316,0.0014,0.0052,0.0007,0.6572,result_output/down/surprised/level_2/00003900.txt
00005300,down,surprised,level_2,Surprise,0.6638,0.1252,0.8548,0.0239,0.0001,0.0001,0.306,0.0021,0.0036,0.0005,0.6638,result_output/down/surprised/level_2/00005300.txt
00005700,down,surprised,level_2,Surprise,0.7462,0.1636,0.871,0.0225,0.0001,0.0001,0.2232,0.0044,0.0032,0.0004,0.7462,result_output/down/surprised/level_2/00005700.txt
00011200,down,surprised,level_2,Fear,0.5479,0.0302,0.8884,0.0551,0.0,0.0005,0.5479,0.0002,0.0012,0.0003,0.3948,result_output/down/surprised/level_2/00011200.txt
00007200,down,surprised,level_2,Surprise,0.7497,0.1633,0.8908,0.0201,0.0001,0.0001,0.221,0.0062,0.0024,0.0003,0.7497,result_output/down/surprised/level_2/00007200.txt
00002500,down,surprised,level_2,Surprise,0.5711,0.095,0.8809,0.0399,0.0001,0.0007,0.3765,0.0047,0.006,0.0009,0.5711,result_output/down/surprised/level_2/00002500.txt
00002000,down,surprised,level_2,Surprise,0.7006,0.1387,0.8787,0.0305,0.0001,0.0003,0.2577,0.0047,0.0055,0.0006,0.7006,result_output/down/surprised/level_2/00002000.txt
00002700,down,surprised,level_2,Fear,0.4858,0.0425,0.8831,0.0519,0.0,0.0007,0.4858,0.0011,0.0034,0.0006,0.4564,result_output/down/surprised/level_2/00002700.txt
00002200,down,surprised,level_2,Surprise,0.6033,0.1072,0.8819,0.0271,0.0001,0.0004,0.3599,0.0033,0.005,0.0008,0.6033,result_output/down/surprised/level_2/00002200.txt
00009100,down,surprised,level_2,Surprise,0.7227,0.1554,0.8753,0.0179,0.0,0.0001,0.2564,0.0005,0.0021,0.0002,0.7227,result_output/down/surprised/level_2/00009100.txt
