image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,angry,level_3,Disgust,0.8614,-0.7213,0.6446,0.1332,0.0003,0.8614,0.0025,0.0018,0.0002,0.0005,0.0002,result_output/front/angry/level_3/00003100.txt
00000100,front,angry,level_3,Disgust,0.9175,-0.7144,0.5987,0.0779,0.0003,0.9175,0.0018,0.0017,0.0002,0.0004,0.0001,result_output/front/angry/level_3/00000100.txt
00008800,front,angry,level_3,Disgust,0.848,-0.7146,0.6216,0.146,0.0003,0.848,0.0034,0.0012,0.0002,0.0007,0.0003,result_output/front/angry/level_3/00008800.txt
00007500,front,angry,level_3,Disgust,0.8854,-0.7062,0.5889,0.1082,0.0004,0.8854,0.0032,0.0013,0.0003,0.0009,0.0003,result_output/front/angry/level_3/00007500.txt
00008200,front,angry,level_3,Disgust,0.6856,-0.6725,0.6283,0.2995,0.0003,0.6856,0.0074,0.0008,0.0011,0.0043,0.001,result_output/front/angry/level_3/00008200.txt
00005400,front,angry,level_3,Disgust,0.8638,-0.7049,0.6072,0.1313,0.0002,0.8638,0.0029,0.0005,0.0002,0.0008,0.0003,result_output/front/angry/level_3/00005400.txt
00010000,front,angry,level_3,Disgust,0.9024,-0.716,0.6223,0.093,0.0003,0.9024,0.0019,0.0017,0.0001,0.0005,0.0001,result_output/front/angry/level_3/00010000.txt
00010700,front,angry,level_3,Disgust,0.8762,-0.7104,0.6204,0.1164,0.0004,0.8762,0.0029,0.0029,0.0002,0.0007,0.0002,result_output/front/angry/level_3/00010700.txt
00003700,front,angry,level_3,Disgust,0.908,-0.7191,0.609,0.0877,0.0003,0.908,0.0018,0.0014,0.0002,0.0004,0.0002,result_output/front/angry/level_3/00003700.txt
00000700,front,angry,level_3,Disgust,0.8652,-0.719,0.6283,0.1271,0.0004,0.8652,0.0034,0.0028,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00000700.txt
00011000,front,angry,level_3,Disgust,0.8715,-0.7095,0.6146,0.121,0.0004,0.8715,0.0032,0.0026,0.0002,0.0008,0.0003,result_output/front/angry/level_3/00011000.txt
00005600,front,angry,level_3,Disgust,0.8418,-0.7036,0.6132,0.1522,0.0001,0.8418,0.0038,0.0004,0.0003,0.0009,0.0005,result_output/front/angry/level_3/00005600.txt
00001600,front,angry,level_3,Anger,0.625,-0.6442,0.7413,0.625,0.0002,0.329,0.0379,0.0018,0.0004,0.0027,0.0031,result_output/front/angry/level_3/00001600.txt
00004900,front,angry,level_3,Disgust,0.8974,-0.716,0.611,0.0957,0.0004,0.8974,0.0027,0.0028,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00004900.txt
00001500,front,angry,level_3,Anger,0.6629,-0.6281,0.7486,0.6629,0.0003,0.2799,0.0465,0.0024,0.0005,0.0034,0.0041,result_output/front/angry/level_3/00001500.txt
00001300,front,angry,level_3,Anger,0.5414,-0.6577,0.7167,0.5414,0.0003,0.421,0.0295,0.0023,0.0005,0.0024,0.0027,result_output/front/angry/level_3/00001300.txt
00003000,front,angry,level_3,Disgust,0.8992,-0.7271,0.6269,0.095,0.0004,0.8992,0.002,0.0027,0.0001,0.0004,0.0001,result_output/front/angry/level_3/00003000.txt
00010500,front,angry,level_3,Disgust,0.8705,-0.7041,0.6193,0.1205,0.0005,0.8705,0.0033,0.0039,0.0002,0.0008,0.0002,result_output/front/angry/level_3/00010500.txt
00008600,front,angry,level_3,Disgust,0.8462,-0.712,0.617,0.1485,0.0002,0.8462,0.0033,0.0006,0.0002,0.0007,0.0003,result_output/front/angry/level_3/00008600.txt
00002800,front,angry,level_3,Disgust,0.9055,-0.7122,0.6106,0.0898,0.0003,0.9055,0.0019,0.0016,0.0002,0.0005,0.0001,result_output/front/angry/level_3/00002800.txt
00011100,front,angry,level_3,Disgust,0.8899,-0.7084,0.6061,0.1036,0.0004,0.8899,0.0027,0.0023,0.0002,0.0007,0.0002,result_output/front/angry/level_3/00011100.txt
00006900,front,angry,level_3,Disgust,0.6893,-0.6797,0.6433,0.2974,0.0003,0.6893,0.0068,0.0009,0.0009,0.0032,0.0011,result_output/front/angry/level_3/00006900.txt
00005800,front,angry,level_3,Disgust,0.9,-0.7123,0.5958,0.0952,0.0003,0.9,0.0024,0.0011,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00005800.txt
00007300,front,angry,level_3,Disgust,0.8622,-0.7138,0.6213,0.1333,0.0002,0.8622,0.0025,0.0008,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00007300.txt
00000300,front,angry,level_3,Disgust,0.9206,-0.7165,0.5991,0.0738,0.0004,0.9206,0.0021,0.0023,0.0002,0.0004,0.0002,result_output/front/angry/level_3/00000300.txt
00008400,front,angry,level_3,Disgust,0.5861,-0.6674,0.6663,0.3978,0.0003,0.5861,0.0091,0.0006,0.001,0.0036,0.0015,result_output/front/angry/level_3/00008400.txt
00000800,front,angry,level_3,Disgust,0.873,-0.7179,0.6153,0.1195,0.0004,0.873,0.0035,0.0024,0.0002,0.0007,0.0003,result_output/front/angry/level_3/00000800.txt
00010400,front,angry,level_3,Disgust,0.8736,-0.7073,0.6209,0.1177,0.0005,0.8736,0.0032,0.0039,0.0002,0.0007,0.0002,result_output/front/angry/level_3/00010400.txt
00005900,front,angry,level_3,Disgust,0.9133,-0.7162,0.603,0.0818,0.0004,0.9133,0.002,0.0018,0.0002,0.0005,0.0001,result_output/front/angry/level_3/00005900.txt
00009800,front,angry,level_3,Disgust,0.9053,-0.7106,0.6,0.0903,0.0003,0.9053,0.002,0.0012,0.0002,0.0006,0.0001,result_output/front/angry/level_3/00009800.txt
00000500,front,angry,level_3,Disgust,0.8964,-0.7259,0.6176,0.097,0.0005,0.8964,0.0023,0.003,0.0002,0.0004,0.0002,result_output/front/angry/level_3/00000500.txt
00006000,front,angry,level_3,Disgust,0.9156,-0.7103,0.6032,0.0802,0.0003,0.9156,0.0017,0.0015,0.0001,0.0004,0.0001,result_output/front/angry/level_3/00006000.txt
00008500,front,angry,level_3,Disgust,0.83,-0.6956,0.6015,0.1627,0.0002,0.83,0.0044,0.0006,0.0004,0.0013,0.0004,result_output/front/angry/level_3/00008500.txt
00006700,front,angry,level_3,Disgust,0.7052,-0.6909,0.6255,0.2788,0.0003,0.7052,0.0083,0.0011,0.001,0.004,0.0013,result_output/front/angry/level_3/00006700.txt
00002100,front,angry,level_3,Disgust,0.9061,-0.7127,0.592,0.0885,0.0004,0.9061,0.0025,0.0014,0.0002,0.0005,0.0002,result_output/front/angry/level_3/00002100.txt
00007800,front,angry,level_3,Disgust,0.7067,-0.6838,0.6238,0.2781,0.0003,0.7067,0.0085,0.001,0.0009,0.0034,0.0011,result_output/front/angry/level_3/00007800.txt
00010600,front,angry,level_3,Disgust,0.8514,-0.7054,0.6306,0.14,0.0004,0.8514,0.0036,0.0033,0.0002,0.0007,0.0003,result_output/front/angry/level_3/00010600.txt
00006300,front,angry,level_3,Disgust,0.9074,-0.7106,0.5949,0.0861,0.0004,0.9074,0.0027,0.0022,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00006300.txt
00004700,front,angry,level_3,Disgust,0.9094,-0.7131,0.6032,0.0844,0.0004,0.9094,0.0023,0.0025,0.0002,0.0006,0.0002,result_output/front/angry/level_3/00004700.txt
00008900,front,angry,level_3,Disgust,0.8535,-0.7145,0.6168,0.1396,0.0003,0.8535,0.0039,0.0014,0.0002,0.0008,0.0003,result_output/front/angry/level_3/00008900.txt
00002300,front,angry,level_3,Disgust,0.9066,-0.7131,0.6003,0.0901,0.0002,0.9066,0.0018,0.0007,0.0001,0.0004,0.0001,result_output/front/angry/level_3/00002300.txt
00007400,front,angry,level_3,Disgust,0.8751,-0.7114,0.6058,0.1191,0.0003,0.8751,0.0028,0.0014,0.0003,0.0008,0.0002,result_output/front/angry/level_3/00007400.txt
00000600,front,angry,level_3,Disgust,0.8763,-0.7235,0.63,0.1163,0.0004,0.8763,0.003,0.003,0.0002,0.0005,0.0002,result_output/front/angry/level_3/00000600.txt
00007000,front,angry,level_3,Disgust,0.7151,-0.6883,0.6458,0.2753,0.0002,0.7151,0.0051,0.0006,0.0006,0.0025,0.0008,result_output/front/angry/level_3/00007000.txt
00002600,front,angry,level_3,Disgust,0.9092,-0.7143,0.6113,0.0872,0.0002,0.9092,0.0016,0.0011,0.0001,0.0004,0.0001,result_output/front/angry/level_3/00002600.txt
00003900,front,angry,level_3,Disgust,0.8793,-0.7175,0.6068,0.1151,0.0003,0.8793,0.0031,0.001,0.0003,0.0006,0.0003,result_output/front/angry/level_3/00003900.txt
00005300,front,angry,level_3,Disgust,0.8725,-0.7063,0.6012,0.1222,0.0002,0.8725,0.003,0.0006,0.0003,0.0009,0.0003,result_output/front/angry/level_3/00005300.txt
