image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,contempt,level_1,Surprise,0.5942,0.0263,0.5807,0.0385,0.0088,0.091,0.0796,0.0317,0.1467,0.0094,0.5942,result_output/front/contempt/level_1/00003100.txt
00000100,front,contempt,level_1,Disgust,0.8727,-0.6245,0.6324,0.0949,0.0021,0.8727,0.0057,0.0049,0.0077,0.001,0.0109,result_output/front/contempt/level_1/00000100.txt
00008800,front,contempt,level_1,Disgust,0.6939,-0.524,0.5426,0.0433,0.0403,0.6939,0.0839,0.0382,0.0352,0.0069,0.0584,result_output/front/contempt/level_1/00008800.txt
00007500,front,contempt,level_1,Disgust,0.9012,-0.6068,0.5319,0.0482,0.0066,0.9012,0.0034,0.0177,0.0119,0.0029,0.0081,result_output/front/contempt/level_1/00007500.txt
00008200,front,contempt,level_1,Disgust,0.6503,-0.4969,0.5977,0.1098,0.0154,0.6503,0.0804,0.0328,0.0266,0.0038,0.0808,result_output/front/contempt/level_1/00008200.txt
00005400,front,contempt,level_1,Surprise,0.5949,-0.0827,0.7096,0.1625,0.0013,0.1032,0.0675,0.0137,0.0534,0.0035,0.5949,result_output/front/contempt/level_1/00005400.txt
00003700,front,contempt,level_1,Disgust,0.6319,-0.3809,0.5827,0.1485,0.0081,0.6319,0.0253,0.0326,0.0429,0.0035,0.1071,result_output/front/contempt/level_1/00003700.txt
00000700,front,contempt,level_1,Surprise,0.5106,-0.1343,0.8074,0.2632,0.0002,0.0898,0.1071,0.0041,0.0218,0.0032,0.5106,result_output/front/contempt/level_1/00000700.txt
00005600,front,contempt,level_1,Surprise,0.5407,0.005,0.6074,0.0736,0.014,0.1256,0.0714,0.0816,0.0884,0.0047,0.5407,result_output/front/contempt/level_1/00005600.txt
00001600,front,contempt,level_1,Surprise,0.3666,-0.1528,0.5609,0.069,0.0184,0.3362,0.0473,0.0572,0.1002,0.0051,0.3666,result_output/front/contempt/level_1/00001600.txt
00004900,front,contempt,level_1,Disgust,0.2848,-0.2498,0.5067,0.0261,0.2073,0.2848,0.0339,0.1773,0.0807,0.0069,0.1831,result_output/front/contempt/level_1/00004900.txt
00001500,front,contempt,level_1,Surprise,0.4202,-0.0985,0.547,0.0559,0.0213,0.2592,0.0508,0.066,0.1202,0.0064,0.4202,result_output/front/contempt/level_1/00001500.txt
00001300,front,contempt,level_1,Surprise,0.35,-0.1166,0.5585,0.0763,0.0285,0.2827,0.0663,0.1167,0.075,0.0045,0.35,result_output/front/contempt/level_1/00001300.txt
00003000,front,contempt,level_1,Surprise,0.3921,-0.1692,0.62,0.0924,0.0082,0.2132,0.1732,0.03,0.0832,0.0077,0.3921,result_output/front/contempt/level_1/00003000.txt
00008600,front,contempt,level_1,Disgust,0.661,-0.5154,0.5417,0.0406,0.0669,0.661,0.0761,0.0606,0.0296,0.0052,0.06,result_output/front/contempt/level_1/00008600.txt
00002800,front,contempt,level_1,Surprise,0.5337,-0.0535,0.6008,0.0694,0.0079,0.1508,0.0884,0.0346,0.1085,0.0067,0.5337,result_output/front/contempt/level_1/00002800.txt
00006900,front,contempt,level_1,Surprise,0.7609,0.1605,0.7195,0.0264,0.0025,0.0092,0.1046,0.0239,0.0669,0.0057,0.7609,result_output/front/contempt/level_1/00006900.txt
00005800,front,contempt,level_1,Surprise,0.6633,0.1605,0.5545,0.0204,0.0108,0.0299,0.0461,0.0502,0.1674,0.012,0.6633,result_output/front/contempt/level_1/00005800.txt
00007300,front,contempt,level_1,Disgust,0.3912,-0.1926,0.5216,0.0698,0.0291,0.3912,0.0522,0.0813,0.1101,0.0073,0.259,result_output/front/contempt/level_1/00007300.txt
00000300,front,contempt,level_1,Disgust,0.8664,-0.6156,0.6344,0.0942,0.002,0.8664,0.008,0.0045,0.0076,0.0011,0.0163,result_output/front/contempt/level_1/00000300.txt
00008400,front,contempt,level_1,Disgust,0.6196,-0.4712,0.5831,0.0743,0.0212,0.6196,0.1123,0.0404,0.03,0.0045,0.0978,result_output/front/contempt/level_1/00008400.txt
00000800,front,contempt,level_1,Surprise,0.5318,-0.0813,0.8237,0.2615,0.0002,0.0547,0.124,0.0049,0.0196,0.0033,0.5318,result_output/front/contempt/level_1/00000800.txt
00005900,front,contempt,level_1,Surprise,0.6444,0.1358,0.5251,0.024,0.0086,0.0422,0.0364,0.0361,0.1932,0.0152,0.6444,result_output/front/contempt/level_1/00005900.txt
00000500,front,contempt,level_1,Disgust,0.5677,-0.4433,0.7146,0.2213,0.001,0.5677,0.0418,0.0047,0.0177,0.0024,0.1434,result_output/front/contempt/level_1/00000500.txt
00006000,front,contempt,level_1,Surprise,0.458,-0.0379,0.4474,0.0384,0.0185,0.1712,0.0272,0.0548,0.2106,0.0212,0.458,result_output/front/contempt/level_1/00006000.txt
00008500,front,contempt,level_1,Disgust,0.5852,-0.4668,0.5774,0.071,0.0332,0.5852,0.124,0.0514,0.0292,0.0047,0.1012,result_output/front/contempt/level_1/00008500.txt
00006700,front,contempt,level_1,Surprise,0.8042,0.2025,0.7009,0.0291,0.0024,0.0108,0.0477,0.0251,0.0758,0.0049,0.8042,result_output/front/contempt/level_1/00006700.txt
00002100,front,contempt,level_1,Disgust,0.6821,-0.4092,0.5739,0.1186,0.0115,0.6821,0.0235,0.0364,0.036,0.0028,0.0891,result_output/front/contempt/level_1/00002100.txt
00007800,front,contempt,level_1,Disgust,0.8626,-0.5546,0.5465,0.0621,0.0061,0.8626,0.0052,0.0153,0.0227,0.0036,0.0223,result_output/front/contempt/level_1/00007800.txt
00006300,front,contempt,level_1,Disgust,0.5361,-0.2893,0.5416,0.1036,0.0075,0.5361,0.0246,0.0235,0.0994,0.0076,0.1976,result_output/front/contempt/level_1/00006300.txt
00004700,front,contempt,level_1,Disgust,0.2761,-0.2756,0.5158,0.0249,0.2721,0.2761,0.0303,0.2117,0.0478,0.0048,0.1323,result_output/front/contempt/level_1/00004700.txt
00008900,front,contempt,level_1,Disgust,0.7278,-0.5557,0.5433,0.0311,0.0268,0.7278,0.1225,0.022,0.0227,0.0071,0.0401,result_output/front/contempt/level_1/00008900.txt
00002300,front,contempt,level_1,Anger,0.3455,-0.2847,0.7509,0.3455,0.0009,0.2237,0.0874,0.0078,0.0289,0.004,0.3019,result_output/front/contempt/level_1/00002300.txt
00007400,front,contempt,level_1,Disgust,0.6036,-0.3292,0.4889,0.0486,0.0461,0.6036,0.0165,0.0872,0.0696,0.0062,0.1222,result_output/front/contempt/level_1/00007400.txt
00000600,front,contempt,level_1,Surprise,0.5244,-0.1341,0.8083,0.2573,0.0003,0.0882,0.1039,0.0054,0.0183,0.0023,0.5244,result_output/front/contempt/level_1/00000600.txt
00007000,front,contempt,level_1,Surprise,0.7499,0.1536,0.693,0.0293,0.0036,0.0179,0.0846,0.03,0.0792,0.0055,0.7499,result_output/front/contempt/level_1/00007000.txt
00002600,front,contempt,level_1,Surprise,0.4758,-0.0901,0.6131,0.0916,0.0125,0.1929,0.0858,0.057,0.0794,0.005,0.4758,result_output/front/contempt/level_1/00002600.txt
00003900,front,contempt,level_1,Surprise,0.6091,0.0986,0.5995,0.0515,0.0186,0.065,0.0542,0.0972,0.0986,0.0058,0.6091,result_output/front/contempt/level_1/00003900.txt
00005300,front,contempt,level_1,Surprise,0.6053,0.0388,0.5919,0.0474,0.0033,0.0693,0.095,0.0155,0.1535,0.0107,0.6053,result_output/front/contempt/level_1/00005300.txt
00005700,front,contempt,level_1,Surprise,0.725,0.1774,0.6167,0.0213,0.0085,0.0269,0.0443,0.0519,0.1159,0.0062,0.725,result_output/front/contempt/level_1/00005700.txt
00007200,front,contempt,level_1,Surprise,0.494,-0.0427,0.6149,0.0819,0.0147,0.1399,0.109,0.0708,0.0838,0.0059,0.494,result_output/front/contempt/level_1/00007200.txt
00002500,front,contempt,level_1,Surprise,0.3466,-0.1738,0.5941,0.1157,0.0166,0.3092,0.0663,0.0664,0.0747,0.0044,0.3466,result_output/front/contempt/level_1/00002500.txt
00002000,front,contempt,level_1,Disgust,0.4612,-0.2476,0.5479,0.0822,0.0382,0.4612,0.0444,0.1107,0.0566,0.0042,0.2025,result_output/front/contempt/level_1/00002000.txt
00002700,front,contempt,level_1,Surprise,0.525,-0.0447,0.5853,0.0457,0.0177,0.1557,0.0804,0.0546,0.1144,0.0066,0.525,result_output/front/contempt/level_1/00002700.txt
00002200,front,contempt,level_1,Disgust,0.6299,-0.5264,0.7001,0.24,0.0015,0.6299,0.0339,0.0056,0.0142,0.0026,0.0724,result_output/front/contempt/level_1/00002200.txt
00009100,front,contempt,level_1,Disgust,0.6265,-0.5265,0.5885,0.0323,0.0125,0.6265,0.2396,0.0111,0.0179,0.0083,0.0518,result_output/front/contempt/level_1/00009100.txt
00001400,front,contempt,level_1,Surprise,0.4097,-0.1098,0.5585,0.0564,0.0291,0.2664,0.053,0.0857,0.0944,0.0052,0.4097,result_output/front/contempt/level_1/00001400.txt
00001800,front,contempt,level_1,Disgust,0.5409,-0.3231,0.5497,0.0757,0.0412,0.5409,0.044,0.0918,0.0498,0.0038,0.1528,result_output/front/contempt/level_1/00001800.txt
00004200,front,contempt,level_1,Surprise,0.7034,0.1377,0.6449,0.0457,0.0045,0.0279,0.073,0.0331,0.1052,0.0074,0.7034,result_output/front/contempt/level_1/00004200.txt
00005500,front,contempt,level_1,Surprise,0.5982,-0.0097,0.6327,0.0961,0.0058,0.1203,0.0427,0.0392,0.0927,0.005,0.5982,result_output/front/contempt/level_1/00005500.txt
00006100,front,contempt,level_1,Surprise,0.4122,-0.1024,0.4499,0.0295,0.0284,0.2197,0.0273,0.0578,0.2051,0.0199,0.4122,result_output/front/contempt/level_1/00006100.txt
00001200,front,contempt,level_1,Surprise,0.5344,0.0762,0.5496,0.0417,0.0385,0.1036,0.0342,0.1568,0.0867,0.0042,0.5344,result_output/front/contempt/level_1/00001200.txt
00000900,front,contempt,level_1,Surprise,0.5322,-0.0598,0.8392,0.2861,0.0003,0.0324,0.1189,0.0109,0.017,0.0022,0.5322,result_output/front/contempt/level_1/00000900.txt
00009200,front,contempt,level_1,Disgust,0.559,-0.4915,0.5794,0.0451,0.0222,0.559,0.245,0.0213,0.0253,0.0083,0.0738,result_output/front/contempt/level_1/00009200.txt
00007900,front,contempt,level_1,Disgust,0.8667,-0.5566,0.5661,0.0645,0.0048,0.8667,0.0064,0.0103,0.0208,0.0029,0.0236,result_output/front/contempt/level_1/00007900.txt
00001000,front,contempt,level_1,Disgust,0.3849,-0.2647,0.6453,0.171,0.0096,0.3849,0.0436,0.0422,0.0416,0.0025,0.3047,result_output/front/contempt/level_1/00001000.txt
00008100,front,contempt,level_1,Disgust,0.7688,-0.5269,0.5935,0.0935,0.0087,0.7688,0.0279,0.0167,0.0258,0.0031,0.0554,result_output/front/contempt/level_1/00008100.txt
00005200,front,contempt,level_1,Surprise,0.5288,-0.0482,0.6072,0.0569,0.0061,0.1251,0.1273,0.0209,0.125,0.0098,0.5288,result_output/front/contempt/level_1/00005200.txt
00001100,front,contempt,level_1,Surprise,0.4118,-0.0987,0.5778,0.0626,0.0518,0.2283,0.0385,0.137,0.0664,0.0036,0.4118,result_output/front/contempt/level_1/00001100.txt
00004500,front,contempt,level_1,Disgust,0.6546,-0.4837,0.5118,0.0423,0.0865,0.6546,0.0357,0.0886,0.0346,0.0044,0.0533,result_output/front/contempt/level_1/00004500.txt
00003300,front,contempt,level_1,Surprise,0.4954,-0.0132,0.5535,0.0462,0.0322,0.1525,0.048,0.1047,0.1149,0.0062,0.4954,result_output/front/contempt/level_1/00003300.txt
00005100,front,contempt,level_1,Surprise,0.6733,0.1194,0.5683,0.0168,0.0139,0.04,0.0476,0.0337,0.1629,0.0118,0.6733,result_output/front/contempt/level_1/00005100.txt
