image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,disgusted,level_1,Disgust,0.7309,-0.4521,0.5007,0.0714,0.0068,0.7309,0.0202,0.0101,0.0758,0.0142,0.0707,result_output/front/disgusted/level_1/00003100.txt
00000100,front,disgusted,level_1,Disgust,0.5071,-0.3861,0.5671,0.2295,0.0074,0.5071,0.0395,0.0324,0.0666,0.012,0.1055,result_output/front/disgusted/level_1/00000100.txt
00008800,front,disgusted,level_1,Surprise,0.6615,0.1207,0.5603,0.0201,0.0005,0.004,0.0554,0.003,0.2129,0.0426,0.6615,result_output/front/disgusted/level_1/00008800.txt
00007500,front,disgusted,level_1,Disgust,0.7437,-0.4967,0.5279,0.0824,0.005,0.7437,0.026,0.0084,0.0583,0.013,0.0632,result_output/front/disgusted/level_1/00007500.txt
00008200,front,disgusted,level_1,Disgust,0.5639,-0.3218,0.4769,0.0673,0.0087,0.5639,0.0351,0.0172,0.1372,0.0159,0.1546,result_output/front/disgusted/level_1/00008200.txt
00005400,front,disgusted,level_1,Surprise,0.4644,-0.0726,0.5495,0.0781,0.0015,0.1666,0.0866,0.0048,0.1713,0.0268,0.4644,result_output/front/disgusted/level_1/00005400.txt
00010000,front,disgusted,level_1,Disgust,0.4518,-0.2977,0.5178,0.163,0.0125,0.4518,0.042,0.0428,0.1056,0.0161,0.1662,result_output/front/disgusted/level_1/00010000.txt
00010700,front,disgusted,level_1,Disgust,0.3628,-0.3274,0.3591,0.0264,0.0062,0.3628,0.141,0.0027,0.1252,0.1427,0.193,result_output/front/disgusted/level_1/00010700.txt
00003700,front,disgusted,level_1,Disgust,0.5913,-0.3323,0.4742,0.0692,0.0102,0.5913,0.0277,0.0181,0.1296,0.0183,0.1357,result_output/front/disgusted/level_1/00003700.txt
00000700,front,disgusted,level_1,Disgust,0.5346,-0.3567,0.522,0.1749,0.0108,0.5346,0.0375,0.046,0.0797,0.0139,0.1027,result_output/front/disgusted/level_1/00000700.txt
00011000,front,disgusted,level_1,Surprise,0.2556,-0.2015,0.2864,0.0253,0.006,0.1707,0.1521,0.0034,0.2029,0.184,0.2556,result_output/front/disgusted/level_1/00011000.txt
