image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,fear,level_1,Fear,0.6006,0.0336,0.9082,0.0208,0.0,0.0002,0.6006,0.0006,0.0015,0.0005,0.3758,result_output/front/fear/level_1/00003100.txt
00000100,front,fear,level_1,Surprise,0.8178,0.1507,0.916,0.0025,0.0,0.0001,0.1662,0.0003,0.0107,0.0023,0.8178,result_output/front/fear/level_1/00000100.txt
00008800,front,fear,level_1,Surprise,0.639,0.1044,0.8959,0.011,0.0001,0.0001,0.3437,0.0019,0.0037,0.0006,0.639,result_output/front/fear/level_1/00008800.txt
00007500,front,fear,level_1,Surprise,0.8767,0.1899,0.9211,0.0057,0.0,0.0,0.1131,0.0001,0.0039,0.0004,0.8767,result_output/front/fear/level_1/00007500.txt
00008200,front,fear,level_1,Surprise,0.8441,0.1699,0.9042,0.006,0.0,0.0,0.146,0.0001,0.0034,0.0004,0.8441,result_output/front/fear/level_1/00008200.txt
00005400,front,fear,level_1,Surprise,0.7827,0.1339,0.8941,0.0065,0.0001,0.0001,0.2004,0.0009,0.0082,0.0011,0.7827,result_output/front/fear/level_1/00005400.txt
00010000,front,fear,level_1,Fear,0.6249,-0.0147,0.8722,0.0043,0.0001,0.0001,0.6249,0.0004,0.0047,0.0019,0.3636,result_output/front/fear/level_1/00010000.txt
00010700,front,fear,level_1,Fear,0.6185,-0.052,0.8216,0.0055,0.0005,0.0001,0.6185,0.0014,0.0192,0.0102,0.3446,result_output/front/fear/level_1/00010700.txt
00003700,front,fear,level_1,Surprise,0.7639,0.1216,0.8956,0.0079,0.0001,0.0001,0.2183,0.0009,0.0078,0.001,0.7639,result_output/front/fear/level_1/00003700.txt
00000700,front,fear,level_1,Surprise,0.9303,0.248,0.8697,0.0031,0.0006,0.0001,0.0479,0.01,0.0075,0.0005,0.9303,result_output/front/fear/level_1/00000700.txt
00005600,front,fear,level_1,Surprise,0.7544,0.1246,0.8889,0.0209,0.0003,0.0005,0.2106,0.0061,0.0064,0.0007,0.7544,result_output/front/fear/level_1/00005600.txt
00001600,front,fear,level_1,Fear,0.5263,0.0513,0.9087,0.0139,0.0,0.0001,0.5263,0.0001,0.001,0.0004,0.4584,result_output/front/fear/level_1/00001600.txt
00004900,front,fear,level_1,Surprise,0.8585,0.1698,0.8926,0.0049,0.0001,0.0001,0.1265,0.0018,0.0073,0.0008,0.8585,result_output/front/fear/level_1/00004900.txt
00001500,front,fear,level_1,Fear,0.5005,0.0677,0.9114,0.0103,0.0,0.0,0.5005,0.0001,0.0011,0.0005,0.4874,result_output/front/fear/level_1/00001500.txt
00001300,front,fear,level_1,Surprise,0.5954,0.0706,0.9115,0.0093,0.0,0.0001,0.3881,0.0002,0.0051,0.0017,0.5954,result_output/front/fear/level_1/00001300.txt
00003000,front,fear,level_1,Surprise,0.6049,0.0867,0.8984,0.0144,0.0,0.0001,0.3727,0.0015,0.0051,0.0013,0.6049,result_output/front/fear/level_1/00003000.txt
00010500,front,fear,level_1,Fear,0.634,-0.0674,0.8245,0.0072,0.0006,0.0001,0.634,0.0014,0.0193,0.0099,0.3276,result_output/front/fear/level_1/00010500.txt
00008600,front,fear,level_1,Surprise,0.53,0.0547,0.8894,0.0133,0.0001,0.0001,0.4507,0.0008,0.0041,0.0009,0.53,result_output/front/fear/level_1/00008600.txt
00002800,front,fear,level_1,Surprise,0.6586,0.097,0.8932,0.0129,0.0002,0.0003,0.317,0.0031,0.0068,0.0012,0.6586,result_output/front/fear/level_1/00002800.txt
00006900,front,fear,level_1,Surprise,0.7413,0.116,0.8873,0.0163,0.0001,0.0003,0.2331,0.0018,0.0063,0.0007,0.7413,result_output/front/fear/level_1/00006900.txt
00005800,front,fear,level_1,Surprise,0.7806,0.1297,0.8576,0.0456,0.0009,0.0015,0.1432,0.0144,0.0127,0.001,0.7806,result_output/front/fear/level_1/00005800.txt
00007300,front,fear,level_1,Surprise,0.8009,0.107,0.889,0.0084,0.0001,0.0001,0.1774,0.0004,0.011,0.0017,0.8009,result_output/front/fear/level_1/00007300.txt
00000300,front,fear,level_1,Surprise,0.8448,0.1648,0.9093,0.0028,0.0,0.0001,0.141,0.0006,0.0092,0.0016,0.8448,result_output/front/fear/level_1/00000300.txt
00008400,front,fear,level_1,Surprise,0.6836,0.0845,0.9213,0.0097,0.0,0.0001,0.302,0.0002,0.0038,0.0007,0.6836,result_output/front/fear/level_1/00008400.txt
00000800,front,fear,level_1,Surprise,0.9128,0.2139,0.877,0.0048,0.0006,0.0002,0.0623,0.0102,0.0085,0.0005,0.9128,result_output/front/fear/level_1/00000800.txt
00010400,front,fear,level_1,Fear,0.6869,-0.0825,0.8377,0.0062,0.0004,0.0001,0.6869,0.0011,0.0147,0.008,0.2826,result_output/front/fear/level_1/00010400.txt
