image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,happy,level_1,Happy,0.6646,0.7939,0.3178,0.0008,0.009,0.0001,0.0064,0.6646,0.0027,0.0011,0.3154,result_output/front/happy/level_1/00003100.txt
00000100,front,happy,level_1,Happy,0.7794,0.8479,0.2484,0.0014,0.0072,0.0001,0.0081,0.7794,0.0025,0.0016,0.1997,result_output/front/happy/level_1/00000100.txt
00008800,front,happy,level_1,Surprise,0.5676,0.6327,0.4535,0.0014,0.0128,0.0001,0.0104,0.3983,0.0075,0.0019,0.5676,result_output/front/happy/level_1/00008800.txt
00007500,front,happy,level_1,Surprise,0.6011,0.6475,0.5094,0.0018,0.0089,0.0001,0.0104,0.3705,0.0058,0.0015,0.6011,result_output/front/happy/level_1/00007500.txt
00008200,front,happy,level_1,Surprise,0.6729,0.4964,0.5248,0.0018,0.0202,0.0002,0.0177,0.2723,0.0116,0.0033,0.6729,result_output/front/happy/level_1/00008200.txt
00005400,front,happy,level_1,Happy,0.6717,0.7952,0.3112,0.0017,0.0099,0.0001,0.0078,0.6717,0.0046,0.0019,0.3023,result_output/front/happy/level_1/00005400.txt
00010000,front,happy,level_1,Happy,0.6026,0.7659,0.3638,0.0014,0.0085,0.0001,0.0078,0.6026,0.0036,0.0011,0.375,result_output/front/happy/level_1/00010000.txt
00010700,front,happy,level_1,Happy,0.7558,0.8336,0.2553,0.0012,0.0086,0.0001,0.0058,0.7558,0.0035,0.0017,0.2233,result_output/front/happy/level_1/00010700.txt
00003700,front,happy,level_1,Surprise,0.5176,0.7135,0.4784,0.0014,0.0073,0.0001,0.0088,0.4607,0.0032,0.0009,0.5176,result_output/front/happy/level_1/00003700.txt
00000700,front,happy,level_1,Happy,0.7519,0.84,0.2681,0.0011,0.008,0.0001,0.0068,0.7519,0.0025,0.0014,0.2283,result_output/front/happy/level_1/00000700.txt
00011000,front,happy,level_1,Happy,0.7105,0.8127,0.2833,0.0015,0.01,0.0001,0.0071,0.7105,0.0043,0.002,0.2645,result_output/front/happy/level_1/00011000.txt
00005600,front,happy,level_1,Happy,0.6911,0.7862,0.2767,0.0024,0.0111,0.0002,0.0094,0.6911,0.0064,0.0029,0.2765,result_output/front/happy/level_1/00005600.txt
00001600,front,happy,level_1,Happy,0.7259,0.8302,0.2936,0.001,0.007,0.0001,0.0075,0.7259,0.0023,0.0012,0.255,result_output/front/happy/level_1/00001600.txt
00004900,front,happy,level_1,Happy,0.5094,0.7261,0.4285,0.0014,0.0084,0.0001,0.0081,0.5094,0.0041,0.0011,0.4675,result_output/front/happy/level_1/00004900.txt
00001500,front,happy,level_1,Happy,0.792,0.8467,0.2391,0.0012,0.0077,0.0001,0.0071,0.792,0.0025,0.0016,0.1878,result_output/front/happy/level_1/00001500.txt
00001300,front,happy,level_1,Happy,0.7552,0.8329,0.2588,0.0009,0.0085,0.0001,0.0063,0.7552,0.0025,0.0013,0.2252,result_output/front/happy/level_1/00001300.txt
00003000,front,happy,level_1,Happy,0.6241,0.7701,0.3413,0.0009,0.009,0.0001,0.0067,0.6241,0.0027,0.0009,0.3556,result_output/front/happy/level_1/00003000.txt
00010500,front,happy,level_1,Happy,0.5954,0.7735,0.3633,0.0012,0.0075,0.0001,0.007,0.5954,0.0037,0.0012,0.384,result_output/front/happy/level_1/00010500.txt
00008600,front,happy,level_1,Surprise,0.5204,0.6839,0.4472,0.0022,0.0088,0.0001,0.0111,0.4481,0.0072,0.0021,0.5204,result_output/front/happy/level_1/00008600.txt
00002800,front,happy,level_1,Happy,0.6559,0.7808,0.306,0.0009,0.0101,0.0001,0.0065,0.6559,0.0033,0.0012,0.3221,result_output/front/happy/level_1/00002800.txt
00011100,front,happy,level_1,Happy,0.6567,0.7934,0.3172,0.0013,0.0093,0.0001,0.0068,0.6567,0.0041,0.0015,0.3203,result_output/front/happy/level_1/00011100.txt
