image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,neutral,level_1,Surprise,0.7819,0.1292,0.6925,0.0081,0.0001,0.0002,0.0772,0.001,0.1019,0.0296,0.7819,result_output/front/neutral/level_1/00003100.txt
00000100,front,neutral,level_1,Surprise,0.7291,0.0966,0.7442,0.0371,0.0001,0.0014,0.1217,0.0007,0.0874,0.0225,0.7291,result_output/front/neutral/level_1/00000100.txt
00008800,front,neutral,level_1,Surprise,0.685,0.0874,0.7913,0.0054,0.0,0.0001,0.2453,0.0001,0.0412,0.0229,0.685,result_output/front/neutral/level_1/00008800.txt
00007500,front,neutral,level_1,Surprise,0.8837,0.1889,0.8219,0.0039,0.0,0.0001,0.0705,0.0001,0.0328,0.0088,0.8837,result_output/front/neutral/level_1/00007500.txt
00008200,front,neutral,level_1,Surprise,0.7396,0.1135,0.7607,0.0152,0.0001,0.0005,0.1272,0.0011,0.0896,0.0268,0.7396,result_output/front/neutral/level_1/00008200.txt
00005400,front,neutral,level_1,Surprise,0.7604,0.0732,0.5892,0.0063,0.0001,0.0001,0.0649,0.0004,0.1214,0.0463,0.7604,result_output/front/neutral/level_1/00005400.txt
00010000,front,neutral,level_1,Sad,0.413,-0.2481,-0.015,0.0056,0.0014,0.0001,0.0557,0.0027,0.3321,0.413,0.1894,result_output/front/neutral/level_1/00010000.txt
00003700,front,neutral,level_1,Surprise,0.7285,0.0974,0.7204,0.0433,0.0001,0.0022,0.0979,0.001,0.1043,0.0228,0.7285,result_output/front/neutral/level_1/00003700.txt
00000700,front,neutral,level_1,Surprise,0.8067,0.1548,0.845,0.015,0.0,0.0003,0.1429,0.0002,0.0259,0.0092,0.8067,result_output/front/neutral/level_1/00000700.txt
00005600,front,neutral,level_1,Surprise,0.8211,0.122,0.7415,0.0084,0.0001,0.0001,0.0794,0.0004,0.0702,0.0204,0.8211,result_output/front/neutral/level_1/00005600.txt
00001600,front,neutral,level_1,Surprise,0.7554,0.1135,0.7354,0.0249,0.0001,0.0011,0.0972,0.001,0.0991,0.0214,0.7554,result_output/front/neutral/level_1/00001600.txt
00004900,front,neutral,level_1,Surprise,0.7878,0.165,0.722,0.0196,0.0003,0.0011,0.0619,0.0051,0.1079,0.0163,0.7878,result_output/front/neutral/level_1/00004900.txt
00001500,front,neutral,level_1,Surprise,0.7915,0.1313,0.7349,0.0229,0.0001,0.001,0.0723,0.0008,0.0934,0.018,0.7915,result_output/front/neutral/level_1/00001500.txt
00001300,front,neutral,level_1,Surprise,0.8282,0.1962,0.7223,0.0202,0.0004,0.0013,0.0382,0.0056,0.0971,0.009,0.8282,result_output/front/neutral/level_1/00001300.txt
00003000,front,neutral,level_1,Surprise,0.7234,0.0927,0.5959,0.0084,0.0001,0.0002,0.0727,0.0011,0.1473,0.0467,0.7234,result_output/front/neutral/level_1/00003000.txt
00008600,front,neutral,level_1,Surprise,0.7356,0.1258,0.814,0.0082,0.0,0.0003,0.1965,0.0002,0.0422,0.0171,0.7356,result_output/front/neutral/level_1/00008600.txt
00002800,front,neutral,level_1,Surprise,0.7116,0.1074,0.6285,0.0136,0.0002,0.0005,0.0754,0.0018,0.1569,0.04,0.7116,result_output/front/neutral/level_1/00002800.txt
00006900,front,neutral,level_1,Surprise,0.6991,0.1001,0.6931,0.0171,0.0001,0.0008,0.1147,0.0013,0.1322,0.0346,0.6991,result_output/front/neutral/level_1/00006900.txt
00005800,front,neutral,level_1,Surprise,0.8254,0.1471,0.7703,0.0191,0.0001,0.0006,0.0674,0.0018,0.0741,0.0114,0.8254,result_output/front/neutral/level_1/00005800.txt
00007300,front,neutral,level_1,Surprise,0.8781,0.1814,0.8031,0.0036,0.0,0.0001,0.0689,0.0001,0.0386,0.0105,0.8781,result_output/front/neutral/level_1/00007300.txt
00000300,front,neutral,level_1,Surprise,0.7484,0.1042,0.7428,0.0289,0.0,0.001,0.1139,0.0005,0.0834,0.0239,0.7484,result_output/front/neutral/level_1/00000300.txt
00008400,front,neutral,level_1,Surprise,0.724,0.1077,0.7898,0.0127,0.0,0.0003,0.1757,0.0004,0.0638,0.0231,0.724,result_output/front/neutral/level_1/00008400.txt
00000800,front,neutral,level_1,Surprise,0.795,0.1529,0.8466,0.0186,0.0,0.0004,0.1492,0.0003,0.0272,0.0093,0.795,result_output/front/neutral/level_1/00000800.txt
00005900,front,neutral,level_1,Surprise,0.8403,0.1842,0.7418,0.0206,0.0003,0.0009,0.0442,0.0045,0.0807,0.0085,0.8403,result_output/front/neutral/level_1/00005900.txt
00009800,front,neutral,level_1,Sad,0.4622,-0.2954,-0.0433,0.0075,0.0014,0.0001,0.0654,0.0025,0.3189,0.4622,0.1421,result_output/front/neutral/level_1/00009800.txt
00000500,front,neutral,level_1,Surprise,0.7541,0.1223,0.7895,0.0197,0.0,0.0007,0.1591,0.0002,0.0477,0.0184,0.7541,result_output/front/neutral/level_1/00000500.txt
00006000,front,neutral,level_1,Surprise,0.8526,0.192,0.7529,0.0159,0.0003,0.0006,0.0455,0.0048,0.0726,0.0078,0.8526,result_output/front/neutral/level_1/00006000.txt
00008500,front,neutral,level_1,Surprise,0.7388,0.1203,0.8212,0.0103,0.0,0.0003,0.1871,0.0003,0.0462,0.0171,0.7388,result_output/front/neutral/level_1/00008500.txt
00006700,front,neutral,level_1,Surprise,0.8395,0.1557,0.8187,0.0097,0.0,0.0002,0.0903,0.0002,0.048,0.012,0.8395,result_output/front/neutral/level_1/00006700.txt
00002100,front,neutral,level_1,Surprise,0.7658,0.1194,0.804,0.0172,0.0,0.0004,0.1331,0.0007,0.0646,0.0182,0.7658,result_output/front/neutral/level_1/00002100.txt
00007800,front,neutral,level_1,Surprise,0.6536,0.0687,0.7043,0.0067,0.0,0.0003,0.2038,0.0003,0.0889,0.0464,0.6536,result_output/front/neutral/level_1/00007800.txt
00006300,front,neutral,level_1,Surprise,0.795,0.0999,0.671,0.0085,0.0001,0.0001,0.065,0.0011,0.1035,0.0266,0.795,result_output/front/neutral/level_1/00006300.txt
00004700,front,neutral,level_1,Surprise,0.7975,0.1485,0.7249,0.0228,0.0002,0.0012,0.0619,0.003,0.0988,0.0146,0.7975,result_output/front/neutral/level_1/00004700.txt
00008900,front,neutral,level_1,Surprise,0.6808,0.081,0.7799,0.0047,0.0,0.0001,0.2444,0.0001,0.0442,0.0256,0.6808,result_output/front/neutral/level_1/00008900.txt
00002300,front,neutral,level_1,Surprise,0.7746,0.1322,0.7576,0.013,0.0001,0.0003,0.1051,0.001,0.0842,0.0218,0.7746,result_output/front/neutral/level_1/00002300.txt
00007400,front,neutral,level_1,Surprise,0.8737,0.177,0.8082,0.0038,0.0,0.0001,0.0759,0.0002,0.0361,0.0103,0.8737,result_output/front/neutral/level_1/00007400.txt
00000600,front,neutral,level_1,Surprise,0.7836,0.1413,0.8232,0.0178,0.0,0.0004,0.1528,0.0002,0.0327,0.0125,0.7836,result_output/front/neutral/level_1/00000600.txt
00007000,front,neutral,level_1,Surprise,0.6919,0.1032,0.6868,0.0137,0.0001,0.0011,0.1187,0.001,0.1337,0.0399,0.6919,result_output/front/neutral/level_1/00007000.txt
00002600,front,neutral,level_1,Surprise,0.7487,0.1491,0.6547,0.0111,0.0003,0.0005,0.064,0.0036,0.144,0.0277,0.7487,result_output/front/neutral/level_1/00002600.txt
00003900,front,neutral,level_1,Surprise,0.7793,0.1376,0.7029,0.0224,0.0002,0.0009,0.0657,0.0026,0.1107,0.0182,0.7793,result_output/front/neutral/level_1/00003900.txt
00005300,front,neutral,level_1,Surprise,0.7776,0.0912,0.643,0.0054,0.0001,0.0001,0.076,0.0005,0.1012,0.0391,0.7776,result_output/front/neutral/level_1/00005300.txt
00005700,front,neutral,level_1,Surprise,0.8501,0.1496,0.7862,0.0093,0.0,0.0002,0.0673,0.0005,0.0598,0.0127,0.8501,result_output/front/neutral/level_1/00005700.txt
00007200,front,neutral,level_1,Surprise,0.7659,0.1198,0.7331,0.0073,0.0,0.0002,0.1247,0.0002,0.0736,0.028,0.7659,result_output/front/neutral/level_1/00007200.txt
00002500,front,neutral,level_1,Surprise,0.7833,0.164,0.6963,0.0114,0.0004,0.0005,0.0635,0.0042,0.1173,0.0195,0.7833,result_output/front/neutral/level_1/00002500.txt
00002000,front,neutral,level_1,Surprise,0.7663,0.1289,0.7699,0.0146,0.0001,0.0005,0.1097,0.0013,0.0864,0.0211,0.7663,result_output/front/neutral/level_1/00002000.txt
00002700,front,neutral,level_1,Surprise,0.7151,0.1163,0.6235,0.0129,0.0002,0.0006,0.069,0.0022,0.1622,0.0378,0.7151,result_output/front/neutral/level_1/00002700.txt
00002200,front,neutral,level_1,Surprise,0.7641,0.1269,0.7914,0.0132,0.0,0.0003,0.1393,0.0005,0.0626,0.0199,0.7641,result_output/front/neutral/level_1/00002200.txt
00009100,front,neutral,level_1,Surprise,0.6154,0.0571,0.6677,0.0075,0.0,0.0003,0.2166,0.0003,0.1058,0.054,0.6154,result_output/front/neutral/level_1/00009100.txt
00001400,front,neutral,level_1,Surprise,0.8355,0.1857,0.7362,0.0204,0.0003,0.0008,0.0431,0.0041,0.0865,0.0092,0.8355,result_output/front/neutral/level_1/00001400.txt
00001800,front,neutral,level_1,Surprise,0.7643,0.1327,0.7535,0.0197,0.0002,0.0011,0.096,0.002,0.0985,0.0184,0.7643,result_output/front/neutral/level_1/00001800.txt
00009600,front,neutral,level_1,Sad,0.4473,-0.2953,-0.0315,0.0091,0.0015,0.0001,0.0746,0.0026,0.3257,0.4473,0.1391,result_output/front/neutral/level_1/00009600.txt
00004200,front,neutral,level_1,Surprise,0.7705,0.115,0.6642,0.0075,0.0002,0.0002,0.0738,0.0014,0.1124,0.0339,0.7705,result_output/front/neutral/level_1/00004200.txt
00005500,front,neutral,level_1,Surprise,0.7982,0.1086,0.6881,0.0083,0.0001,0.0002,0.0731,0.0004,0.0917,0.0282,0.7982,result_output/front/neutral/level_1/00005500.txt
00006100,front,neutral,level_1,Surprise,0.844,0.1621,0.7261,0.0096,0.0002,0.0002,0.0506,0.0026,0.0801,0.0128,0.844,result_output/front/neutral/level_1/00006100.txt
00001200,front,neutral,level_1,Surprise,0.8533,0.2402,0.7223,0.0187,0.0006,0.001,0.0317,0.0113,0.0776,0.0058,0.8533,result_output/front/neutral/level_1/00001200.txt
00000900,front,neutral,level_1,Surprise,0.7676,0.1264,0.8158,0.0218,0.0,0.0006,0.1356,0.0009,0.058,0.0155,0.7676,result_output/front/neutral/level_1/00000900.txt
