image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,sad,level_3,Disgust,0.7562,-0.675,0.2147,0.0114,0.0013,0.7562,0.0502,0.0029,0.0115,0.1613,0.0051,result_output/front/sad/level_3/00003100.txt
00000100,front,sad,level_3,Sad,0.5203,-0.6835,-0.042,0.0063,0.0002,0.3629,0.1009,0.0007,0.0053,0.5203,0.0032,result_output/front/sad/level_3/00000100.txt
00008800,front,sad,level_3,Disgust,0.8492,-0.6692,0.3778,0.0073,0.0004,0.8492,0.0714,0.0004,0.007,0.0517,0.0126,result_output/front/sad/level_3/00008800.txt
00007500,front,sad,level_3,Disgust,0.9285,-0.6858,0.4197,0.008,0.0005,0.9285,0.0225,0.0006,0.0057,0.0298,0.0046,result_output/front/sad/level_3/00007500.txt
00008200,front,sad,level_3,Sad,0.3405,-0.4319,0.1549,0.0078,0.0017,0.1699,0.2,0.0037,0.1142,0.3405,0.1622,result_output/front/sad/level_3/00008200.txt
00005400,front,sad,level_3,Disgust,0.9016,-0.6931,0.3824,0.0077,0.0003,0.9016,0.0375,0.0004,0.0055,0.0411,0.0059,result_output/front/sad/level_3/00005400.txt
00010000,front,sad,level_3,Disgust,0.8354,-0.6498,0.3335,0.006,0.0009,0.8354,0.0638,0.0013,0.0107,0.0729,0.0092,result_output/front/sad/level_3/00010000.txt
00010700,front,sad,level_3,Disgust,0.6148,-0.5267,0.4889,0.0054,0.0003,0.6148,0.3056,0.0004,0.0052,0.0476,0.0208,result_output/front/sad/level_3/00010700.txt
00003700,front,sad,level_3,Disgust,0.6837,-0.6648,0.312,0.0224,0.0009,0.6837,0.1293,0.0014,0.0129,0.1305,0.019,result_output/front/sad/level_3/00003700.txt
00000700,front,sad,level_3,Disgust,0.7997,-0.7017,0.2175,0.005,0.0001,0.7997,0.0625,0.0002,0.0028,0.1274,0.0022,result_output/front/sad/level_3/00000700.txt
00011000,front,sad,level_3,Fear,0.8676,-0.1688,0.6955,0.0073,0.0,0.0286,0.8676,0.0002,0.0025,0.0485,0.0452,result_output/front/sad/level_3/00011000.txt
00005600,front,sad,level_3,Disgust,0.6395,-0.6306,0.1932,0.0133,0.0011,0.6395,0.0674,0.0016,0.0357,0.223,0.0183,result_output/front/sad/level_3/00005600.txt
00001600,front,sad,level_3,Fear,0.8227,-0.1164,0.662,0.0266,0.0,0.0097,0.8227,0.0006,0.0027,0.0745,0.0631,result_output/front/sad/level_3/00001600.txt
00004900,front,sad,level_3,Disgust,0.9352,-0.6878,0.3734,0.0058,0.0003,0.9352,0.016,0.0004,0.0042,0.0359,0.0021,result_output/front/sad/level_3/00004900.txt
00001500,front,sad,level_3,Fear,0.8459,-0.1081,0.6911,0.0245,0.0,0.011,0.8459,0.0005,0.0021,0.0603,0.0557,result_output/front/sad/level_3/00001500.txt
00001300,front,sad,level_3,Fear,0.8266,-0.1609,0.6552,0.0235,0.0,0.0215,0.8266,0.0004,0.0023,0.0741,0.0515,result_output/front/sad/level_3/00001300.txt
00003000,front,sad,level_3,Disgust,0.8236,-0.6664,0.2508,0.008,0.0011,0.8236,0.0392,0.0021,0.0093,0.1125,0.0043,result_output/front/sad/level_3/00003000.txt
00010500,front,sad,level_3,Disgust,0.7331,-0.5916,0.3722,0.0045,0.0008,0.7331,0.1635,0.0011,0.008,0.0742,0.0147,result_output/front/sad/level_3/00010500.txt
00008600,front,sad,level_3,Disgust,0.8716,-0.5907,0.3856,0.0074,0.0005,0.8716,0.0433,0.0004,0.0154,0.0407,0.0207,result_output/front/sad/level_3/00008600.txt
00011600,front,sad,level_3,Sad,0.4931,-0.5489,0.0923,0.0072,0.0001,0.1274,0.3545,0.0001,0.005,0.4931,0.0126,result_output/front/sad/level_3/00011600.txt
00002800,front,sad,level_3,Disgust,0.8381,-0.6725,0.2563,0.0069,0.0006,0.8381,0.038,0.001,0.0076,0.1039,0.0039,result_output/front/sad/level_3/00002800.txt
00011100,front,sad,level_3,Fear,0.8712,-0.138,0.6643,0.0061,0.0,0.0127,0.8712,0.0002,0.002,0.0618,0.046,result_output/front/sad/level_3/00011100.txt
00006900,front,sad,level_3,Disgust,0.9332,-0.6736,0.444,0.0156,0.0011,0.9332,0.0086,0.0014,0.0114,0.0239,0.0046,result_output/front/sad/level_3/00006900.txt
00005800,front,sad,level_3,Disgust,0.7406,-0.6315,0.2328,0.0064,0.0005,0.7406,0.0656,0.0007,0.0172,0.1581,0.011,result_output/front/sad/level_3/00005800.txt
00007300,front,sad,level_3,Disgust,0.7872,-0.5906,0.3358,0.0185,0.0017,0.7872,0.0318,0.0017,0.0504,0.0766,0.0321,result_output/front/sad/level_3/00007300.txt
00011700,front,sad,level_3,Sad,0.4379,-0.5883,0.1091,0.011,0.0002,0.2333,0.2975,0.0003,0.0064,0.4379,0.0134,result_output/front/sad/level_3/00011700.txt
00000300,front,sad,level_3,Sad,0.5177,-0.6983,-0.0449,0.0076,0.0003,0.3764,0.0895,0.0007,0.0052,0.5177,0.0028,result_output/front/sad/level_3/00000300.txt
00008400,front,sad,level_3,Surprise,0.3225,-0.2517,0.1004,0.0063,0.0023,0.0461,0.1149,0.004,0.1847,0.3191,0.3225,result_output/front/sad/level_3/00008400.txt
00000800,front,sad,level_3,Disgust,0.8153,-0.7012,0.2642,0.0059,0.0002,0.8153,0.0669,0.0003,0.0035,0.1046,0.0033,result_output/front/sad/level_3/00000800.txt
00010400,front,sad,level_3,Disgust,0.6426,-0.5442,0.3622,0.004,0.0008,0.6426,0.2301,0.0014,0.009,0.0937,0.0184,result_output/front/sad/level_3/00010400.txt
00005900,front,sad,level_3,Disgust,0.7446,-0.6323,0.2256,0.005,0.0003,0.7446,0.0716,0.0004,0.0119,0.157,0.0091,result_output/front/sad/level_3/00005900.txt
00009800,front,sad,level_3,Disgust,0.9293,-0.6704,0.3904,0.0048,0.0002,0.9293,0.0326,0.0001,0.0029,0.0251,0.005,result_output/front/sad/level_3/00009800.txt
00011800,front,sad,level_3,Sad,0.4355,-0.5303,0.133,0.008,0.0002,0.1694,0.3661,0.0004,0.0057,0.4355,0.0147,result_output/front/sad/level_3/00011800.txt
00000500,front,sad,level_3,Disgust,0.6706,-0.6935,0.1174,0.0059,0.0002,0.6706,0.0806,0.0004,0.0036,0.2361,0.0027,result_output/front/sad/level_3/00000500.txt
00006000,front,sad,level_3,Disgust,0.9075,-0.6399,0.3282,0.0043,0.0003,0.9075,0.0229,0.0003,0.0062,0.0552,0.0032,result_output/front/sad/level_3/00006000.txt
00008500,front,sad,level_3,Surprise,0.2947,-0.2694,0.2351,0.0106,0.0011,0.1279,0.1832,0.002,0.1488,0.2318,0.2947,result_output/front/sad/level_3/00008500.txt
00006700,front,sad,level_3,Disgust,0.9126,-0.69,0.4783,0.0256,0.0018,0.9126,0.0117,0.0038,0.0127,0.0253,0.0064,result_output/front/sad/level_3/00006700.txt
00002100,front,sad,level_3,Disgust,0.6859,-0.6145,0.2094,0.0126,0.0032,0.6859,0.0636,0.0079,0.0257,0.1894,0.0116,result_output/front/sad/level_3/00002100.txt
00007800,front,sad,level_3,Disgust,0.7941,-0.5791,0.3363,0.0119,0.0073,0.7941,0.0536,0.0175,0.0207,0.08,0.0149,result_output/front/sad/level_3/00007800.txt
00010600,front,sad,level_3,Disgust,0.7358,-0.596,0.4367,0.0056,0.0006,0.7358,0.1856,0.0008,0.0058,0.0506,0.0152,result_output/front/sad/level_3/00010600.txt
00006300,front,sad,level_3,Disgust,0.8872,-0.6868,0.379,0.0099,0.001,0.8872,0.0308,0.0017,0.0094,0.0541,0.0058,result_output/front/sad/level_3/00006300.txt
00004700,front,sad,level_3,Disgust,0.8108,-0.6429,0.2682,0.007,0.0004,0.8108,0.0488,0.0004,0.0126,0.1106,0.0094,result_output/front/sad/level_3/00004700.txt
00008900,front,sad,level_3,Disgust,0.9237,-0.6847,0.4013,0.0057,0.0004,0.9237,0.0325,0.0003,0.0041,0.0281,0.0053,result_output/front/sad/level_3/00008900.txt
00002300,front,sad,level_3,Disgust,0.8123,-0.6131,0.2557,0.0073,0.0012,0.8123,0.0428,0.0025,0.0124,0.1167,0.0048,result_output/front/sad/level_3/00002300.txt
00007400,front,sad,level_3,Disgust,0.8998,-0.6333,0.4044,0.0117,0.0011,0.8998,0.0194,0.0011,0.0185,0.0377,0.0106,result_output/front/sad/level_3/00007400.txt
00000600,front,sad,level_3,Disgust,0.6315,-0.6935,0.1113,0.006,0.0002,0.6315,0.0991,0.0003,0.0028,0.2575,0.0027,result_output/front/sad/level_3/00000600.txt
00007000,front,sad,level_3,Disgust,0.7473,-0.5846,0.3588,0.024,0.0031,0.7473,0.0357,0.0041,0.0632,0.0829,0.0397,result_output/front/sad/level_3/00007000.txt
