image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,front,surprised,level_1,Surprise,0.8456,0.1411,0.7498,0.0012,0.0002,0.0001,0.0816,0.0016,0.0536,0.0162,0.8456,result_output/front/surprised/level_1/00003100.txt
00000100,front,surprised,level_1,Surprise,0.9015,0.2044,0.8442,0.0079,0.0003,0.0019,0.0442,0.0026,0.0385,0.0031,0.9015,result_output/front/surprised/level_1/00000100.txt
00008800,front,surprised,level_1,Surprise,0.692,0.0895,0.8639,0.0022,0.0,0.0,0.2765,0.0002,0.0195,0.0095,0.692,result_output/front/surprised/level_1/00008800.txt
00007500,front,surprised,level_1,Surprise,0.7875,0.1288,0.8861,0.0032,0.0,0.0001,0.1795,0.0005,0.0229,0.0064,0.7875,result_output/front/surprised/level_1/00007500.txt
00008200,front,surprised,level_1,Surprise,0.8445,0.1583,0.8894,0.002,0.0,0.0,0.1304,0.0004,0.0181,0.0046,0.8445,result_output/front/surprised/level_1/00008200.txt
00005400,front,surprised,level_1,Surprise,0.8896,0.153,0.805,0.0011,0.0001,0.0,0.0655,0.0004,0.0326,0.0108,0.8896,result_output/front/surprised/level_1/00005400.txt
00003700,front,surprised,level_1,Surprise,0.8218,0.1382,0.8997,0.0115,0.0001,0.0004,0.1332,0.0016,0.0266,0.0048,0.8218,result_output/front/surprised/level_1/00003700.txt
00000700,front,surprised,level_1,Surprise,0.7862,0.1623,0.8962,0.0038,0.0,0.0002,0.1908,0.0001,0.0138,0.005,0.7862,result_output/front/surprised/level_1/00000700.txt
00005600,front,surprised,level_1,Surprise,0.9268,0.2253,0.8957,0.0011,0.0,0.0,0.0576,0.0002,0.012,0.0022,0.9268,result_output/front/surprised/level_1/00005600.txt
00001600,front,surprised,level_1,Surprise,0.8937,0.1911,0.8755,0.0035,0.0001,0.0002,0.0748,0.0018,0.023,0.0029,0.8937,result_output/front/surprised/level_1/00001600.txt
00004900,front,surprised,level_1,Surprise,0.88,0.1672,0.8595,0.0103,0.0003,0.0013,0.0693,0.0035,0.0322,0.0031,0.88,result_output/front/surprised/level_1/00004900.txt
00001500,front,surprised,level_1,Surprise,0.9091,0.2043,0.8479,0.0035,0.0004,0.0003,0.0554,0.0043,0.0245,0.0025,0.9091,result_output/front/surprised/level_1/00001500.txt
00001300,front,surprised,level_1,Surprise,0.9202,0.2266,0.8273,0.0027,0.0006,0.0001,0.0476,0.0074,0.0195,0.0019,0.9202,result_output/front/surprised/level_1/00001300.txt
00003000,front,surprised,level_1,Surprise,0.8568,0.1652,0.792,0.0016,0.0003,0.0001,0.088,0.0027,0.0415,0.0092,0.8568,result_output/front/surprised/level_1/00003000.txt
00008600,front,surprised,level_1,Surprise,0.734,0.0936,0.8701,0.0023,0.0,0.0,0.2367,0.0002,0.0186,0.0083,0.734,result_output/front/surprised/level_1/00008600.txt
00002800,front,surprised,level_1,Surprise,0.8925,0.2023,0.828,0.0029,0.0003,0.0002,0.0589,0.0039,0.0361,0.0051,0.8925,result_output/front/surprised/level_1/00002800.txt
00006900,front,surprised,level_1,Surprise,0.8996,0.2003,0.9092,0.0011,0.0,0.0,0.0869,0.0001,0.0101,0.0021,0.8996,result_output/front/surprised/level_1/00006900.txt
00005800,front,surprised,level_1,Surprise,0.8982,0.1946,0.901,0.0037,0.0001,0.0001,0.0753,0.0012,0.0189,0.0025,0.8982,result_output/front/surprised/level_1/00005800.txt
00007300,front,surprised,level_1,Surprise,0.9352,0.2408,0.9189,0.0007,0.0,0.0,0.0544,0.0001,0.0081,0.0015,0.9352,result_output/front/surprised/level_1/00007300.txt
00000300,front,surprised,level_1,Surprise,0.8788,0.1739,0.8572,0.0114,0.0002,0.0021,0.0638,0.0025,0.0378,0.0033,0.8788,result_output/front/surprised/level_1/00000300.txt
00008400,front,surprised,level_1,Surprise,0.7573,0.1101,0.8972,0.0022,0.0,0.0,0.2227,0.0001,0.0128,0.0048,0.7573,result_output/front/surprised/level_1/00008400.txt
00000800,front,surprised,level_1,Surprise,0.8296,0.1812,0.912,0.0031,0.0,0.0001,0.1529,0.0002,0.0106,0.0036,0.8296,result_output/front/surprised/level_1/00000800.txt
00005900,front,surprised,level_1,Surprise,0.8805,0.1738,0.8843,0.0048,0.0002,0.0002,0.0918,0.0023,0.018,0.0021,0.8805,result_output/front/surprised/level_1/00005900.txt
00000500,front,surprised,level_1,Surprise,0.8014,0.1417,0.9167,0.007,0.0,0.0004,0.1646,0.0004,0.0216,0.0046,0.8014,result_output/front/surprised/level_1/00000500.txt
00006000,front,surprised,level_1,Surprise,0.8827,0.1702,0.8607,0.0033,0.0002,0.0001,0.0891,0.0022,0.0196,0.0028,0.8827,result_output/front/surprised/level_1/00006000.txt
00008500,front,surprised,level_1,Surprise,0.7152,0.0977,0.8981,0.0021,0.0,0.0,0.2672,0.0001,0.0108,0.0046,0.7152,result_output/front/surprised/level_1/00008500.txt
00006700,front,surprised,level_1,Surprise,0.871,0.1693,0.8971,0.0015,0.0,0.0,0.1089,0.0002,0.0146,0.0038,0.871,result_output/front/surprised/level_1/00006700.txt
00002100,front,surprised,level_1,Surprise,0.7352,0.1061,0.8727,0.0207,0.0004,0.0009,0.2147,0.0062,0.019,0.0029,0.7352,result_output/front/surprised/level_1/00002100.txt
00007800,front,surprised,level_1,Surprise,0.7278,0.101,0.8874,0.0053,0.0001,0.0001,0.2446,0.0012,0.0165,0.0042,0.7278,result_output/front/surprised/level_1/00007800.txt
00006300,front,surprised,level_1,Surprise,0.8914,0.1674,0.8136,0.0015,0.0002,0.0,0.0757,0.0011,0.0249,0.0052,0.8914,result_output/front/surprised/level_1/00006300.txt
00004700,front,surprised,level_1,Surprise,0.8769,0.1798,0.8905,0.0045,0.0001,0.0002,0.0923,0.0018,0.0211,0.0031,0.8769,result_output/front/surprised/level_1/00004700.txt
00008900,front,surprised,level_1,Surprise,0.6876,0.0912,0.8726,0.0025,0.0,0.0001,0.2829,0.0003,0.0188,0.0079,0.6876,result_output/front/surprised/level_1/00008900.txt
00002300,front,surprised,level_1,Surprise,0.633,0.088,0.8976,0.0089,0.0,0.0001,0.3455,0.0007,0.0088,0.0029,0.633,result_output/front/surprised/level_1/00002300.txt
00007400,front,surprised,level_1,Surprise,0.8664,0.156,0.8859,0.002,0.0,0.0001,0.1041,0.0001,0.0211,0.006,0.8664,result_output/front/surprised/level_1/00007400.txt
00000600,front,surprised,level_1,Surprise,0.7751,0.1315,0.8853,0.006,0.0,0.0002,0.1867,0.0003,0.024,0.0077,0.7751,result_output/front/surprised/level_1/00000600.txt
00007000,front,surprised,level_1,Surprise,0.9361,0.2361,0.8974,0.0008,0.0,0.0,0.0542,0.0001,0.0076,0.0012,0.9361,result_output/front/surprised/level_1/00007000.txt
