image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_30,angry,level_2,Disgust,0.7912,-0.603,0.4905,0.1435,0.0033,0.7912,0.0093,0.0047,0.026,0.0188,0.0032,result_output/left_30/angry/level_2/00003100.txt
00000100,left_30,angry,level_2,Disgust,0.8317,-0.64,0.519,0.134,0.0026,0.8317,0.0074,0.0055,0.01,0.007,0.0018,result_output/left_30/angry/level_2/00000100.txt
00008800,left_30,angry,level_2,Anger,0.21,-0.3172,0.3103,0.21,0.0048,0.2026,0.1112,0.0083,0.197,0.1073,0.1589,result_output/left_30/angry/level_2/00008800.txt
00007500,left_30,angry,level_2,Neutral,0.2867,-0.2608,0.2665,0.222,0.0035,0.1726,0.0532,0.0131,0.2867,0.0955,0.1534,result_output/left_30/angry/level_2/00007500.txt
00008200,left_30,angry,level_2,Anger,0.3488,-0.4289,0.4476,0.3488,0.0009,0.1918,0.1541,0.0021,0.0915,0.0976,0.113,result_output/left_30/angry/level_2/00008200.txt
00005400,left_30,angry,level_2,Disgust,0.5912,-0.5309,0.3919,0.2137,0.0055,0.5912,0.0299,0.0099,0.0812,0.051,0.0175,result_output/left_30/angry/level_2/00005400.txt
00010000,left_30,angry,level_2,Disgust,0.6067,-0.5381,0.3808,0.1839,0.0026,0.6067,0.0316,0.004,0.0863,0.0697,0.0152,result_output/left_30/angry/level_2/00010000.txt
00010700,left_30,angry,level_2,Sad,0.2276,-0.3817,0.2155,0.1656,0.0005,0.1535,0.1776,0.0009,0.1747,0.2276,0.0996,result_output/left_30/angry/level_2/00010700.txt
00003700,left_30,angry,level_2,Disgust,0.3218,-0.4493,0.2697,0.249,0.0026,0.3218,0.0793,0.0043,0.1514,0.1438,0.0477,result_output/left_30/angry/level_2/00003700.txt
00000700,left_30,angry,level_2,Disgust,0.6692,-0.6532,0.5482,0.2607,0.0014,0.6692,0.0247,0.0024,0.0145,0.0189,0.0082,result_output/left_30/angry/level_2/00000700.txt
00011000,left_30,angry,level_2,Sad,0.5335,-0.56,-0.0241,0.1074,0.0005,0.1336,0.1246,0.0006,0.0855,0.5335,0.0142,result_output/left_30/angry/level_2/00011000.txt
00005600,left_30,angry,level_2,Disgust,0.8328,-0.6152,0.5026,0.127,0.0027,0.8328,0.0054,0.0039,0.016,0.0104,0.0018,result_output/left_30/angry/level_2/00005600.txt
00001600,left_30,angry,level_2,Disgust,0.7795,-0.6432,0.5374,0.1781,0.0023,0.7795,0.0084,0.0045,0.0141,0.0095,0.0036,result_output/left_30/angry/level_2/00001600.txt
00004900,left_30,angry,level_2,Neutral,0.243,-0.3125,0.2482,0.2244,0.0038,0.1944,0.0839,0.0112,0.243,0.1252,0.114,result_output/left_30/angry/level_2/00004900.txt
00001500,left_30,angry,level_2,Disgust,0.5904,-0.6021,0.5268,0.3004,0.0035,0.5904,0.0291,0.0093,0.0294,0.0205,0.0174,result_output/left_30/angry/level_2/00001500.txt
00001300,left_30,angry,level_2,Anger,0.5447,-0.44,0.744,0.5447,0.0002,0.1272,0.2139,0.0021,0.0139,0.0227,0.0753,result_output/left_30/angry/level_2/00001300.txt
00003000,left_30,angry,level_2,Disgust,0.6523,-0.5899,0.4843,0.232,0.0034,0.6523,0.0211,0.006,0.0405,0.0345,0.0101,result_output/left_30/angry/level_2/00003000.txt
00010500,left_30,angry,level_2,Disgust,0.4163,-0.4727,0.4049,0.2233,0.0009,0.4163,0.1008,0.0015,0.1037,0.0857,0.0678,result_output/left_30/angry/level_2/00010500.txt
00008600,left_30,angry,level_2,Anger,0.2135,-0.2936,0.3378,0.2135,0.0026,0.1452,0.1437,0.0052,0.1731,0.123,0.1937,result_output/left_30/angry/level_2/00008600.txt
00002800,left_30,angry,level_2,Anger,0.4147,-0.5575,0.5642,0.4147,0.0012,0.3225,0.1206,0.0041,0.0359,0.0488,0.0522,result_output/left_30/angry/level_2/00002800.txt
00011100,left_30,angry,level_2,Sad,0.647,-0.4609,-0.2861,0.0764,0.0008,0.0101,0.0149,0.0008,0.2455,0.647,0.0045,result_output/left_30/angry/level_2/00011100.txt
00006900,left_30,angry,level_2,Disgust,0.6788,-0.5663,0.4366,0.1956,0.0067,0.6788,0.0169,0.0112,0.0556,0.0262,0.009,result_output/left_30/angry/level_2/00006900.txt
00005800,left_30,angry,level_2,Disgust,0.8491,-0.6332,0.5219,0.1199,0.0023,0.8491,0.0047,0.0038,0.0113,0.0075,0.0015,result_output/left_30/angry/level_2/00005800.txt
00007300,left_30,angry,level_2,Disgust,0.2936,-0.3377,0.2644,0.2137,0.0079,0.2936,0.0507,0.0207,0.2438,0.0876,0.082,result_output/left_30/angry/level_2/00007300.txt
00000300,left_30,angry,level_2,Disgust,0.8372,-0.647,0.5275,0.1324,0.0025,0.8372,0.0062,0.0053,0.0084,0.0065,0.0015,result_output/left_30/angry/level_2/00000300.txt
00008400,left_30,angry,level_2,Surprise,0.2956,-0.2942,0.4914,0.2257,0.0002,0.0796,0.2118,0.0011,0.0946,0.0913,0.2956,result_output/left_30/angry/level_2/00008400.txt
00000800,left_30,angry,level_2,Anger,0.4968,-0.5611,0.6412,0.4968,0.0005,0.2278,0.1769,0.0016,0.0135,0.041,0.042,result_output/left_30/angry/level_2/00000800.txt
00010400,left_30,angry,level_2,Disgust,0.2778,-0.431,0.4443,0.2601,0.0007,0.2778,0.145,0.0017,0.1051,0.093,0.1166,result_output/left_30/angry/level_2/00010400.txt
00005900,left_30,angry,level_2,Disgust,0.7896,-0.5866,0.4655,0.1345,0.0031,0.7896,0.0075,0.0046,0.037,0.0198,0.0038,result_output/left_30/angry/level_2/00005900.txt
00009800,left_30,angry,level_2,Disgust,0.7131,-0.5629,0.4047,0.1526,0.0031,0.7131,0.0147,0.004,0.0578,0.0492,0.0055,result_output/left_30/angry/level_2/00009800.txt
