image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_30,fear,level_3,Fear,0.8624,-0.0672,0.877,0.0485,0.0001,0.0011,0.8624,0.0007,0.0013,0.0014,0.0845,result_output/left_30/fear/level_3/00003100.txt
00000100,left_30,fear,level_3,Fear,0.5987,0.0059,0.8353,0.0404,0.0036,0.002,0.5987,0.0137,0.0139,0.0052,0.3224,result_output/left_30/fear/level_3/00000100.txt
00008800,left_30,fear,level_3,Fear,0.6903,-0.0564,0.8315,0.0505,0.0008,0.0043,0.6903,0.0031,0.0178,0.0073,0.2258,result_output/left_30/fear/level_3/00008800.txt
00007500,left_30,fear,level_3,Surprise,0.5079,0.062,0.8597,0.0317,0.0005,0.0006,0.4478,0.0034,0.0065,0.0016,0.5079,result_output/left_30/fear/level_3/00007500.txt
00008200,left_30,fear,level_3,Fear,0.4879,0.0344,0.8718,0.0302,0.0002,0.0008,0.4879,0.0015,0.0092,0.0021,0.468,result_output/left_30/fear/level_3/00008200.txt
00005400,left_30,fear,level_3,Fear,0.504,0.0202,0.8467,0.0386,0.0002,0.0019,0.504,0.0021,0.0203,0.0048,0.428,result_output/left_30/fear/level_3/00005400.txt
00010000,left_30,fear,level_3,Fear,0.6772,0.0047,0.8803,0.0607,0.0,0.0003,0.6772,0.0003,0.0008,0.0005,0.2601,result_output/left_30/fear/level_3/00010000.txt
00010700,left_30,fear,level_3,Fear,0.7842,-0.0393,0.8789,0.0609,0.0,0.0004,0.7842,0.0003,0.0007,0.0006,0.1528,result_output/left_30/fear/level_3/00010700.txt
00003700,left_30,fear,level_3,Fear,0.7154,-0.0896,0.8316,0.0289,0.0005,0.0058,0.7154,0.0012,0.0249,0.0099,0.2135,result_output/left_30/fear/level_3/00003700.txt
00000700,left_30,fear,level_3,Fear,0.7883,-0.0542,0.8634,0.0794,0.0,0.0006,0.7883,0.0004,0.0009,0.0009,0.1293,result_output/left_30/fear/level_3/00000700.txt
00011000,left_30,fear,level_3,Fear,0.7884,-0.0393,0.8738,0.0603,0.0,0.0004,0.7884,0.0005,0.0007,0.0006,0.1492,result_output/left_30/fear/level_3/00011000.txt
00005600,left_30,fear,level_3,Fear,0.5457,-0.0528,0.7836,0.1031,0.0034,0.0158,0.5457,0.0141,0.0261,0.0057,0.2861,result_output/left_30/fear/level_3/00005600.txt
00001600,left_30,fear,level_3,Fear,0.6841,-0.027,0.8486,0.0459,0.0008,0.0019,0.6841,0.0035,0.0115,0.004,0.2483,result_output/left_30/fear/level_3/00001600.txt
00004900,left_30,fear,level_3,Fear,0.6622,-0.0307,0.8376,0.031,0.0008,0.0009,0.6622,0.003,0.0152,0.0063,0.2806,result_output/left_30/fear/level_3/00004900.txt
