image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_30,happy,level_3,Happy,0.5856,0.6457,0.3147,0.0015,0.0473,0.0003,0.0058,0.5856,0.0065,0.0008,0.3522,result_output/left_30/happy/level_3/00003100.txt
00000100,left_30,happy,level_3,Happy,0.7558,0.7534,0.2414,0.0013,0.033,0.0002,0.0046,0.7558,0.0046,0.0012,0.1992,result_output/left_30/happy/level_3/00000100.txt
00008800,left_30,happy,level_3,Happy,0.5672,0.6751,0.3754,0.002,0.033,0.0004,0.0071,0.5672,0.0066,0.0012,0.3825,result_output/left_30/happy/level_3/00008800.txt
00007500,left_30,happy,level_3,Happy,0.5884,0.6804,0.3074,0.0019,0.0345,0.0006,0.006,0.5884,0.0114,0.0018,0.3554,result_output/left_30/happy/level_3/00007500.txt
00008200,left_30,happy,level_3,Happy,0.6416,0.6938,0.3076,0.0019,0.0376,0.0005,0.0064,0.6416,0.0072,0.0014,0.3034,result_output/left_30/happy/level_3/00008200.txt
00005400,left_30,happy,level_3,Happy,0.5455,0.57,0.3103,0.0023,0.0705,0.0013,0.0083,0.5455,0.0175,0.003,0.3516,result_output/left_30/happy/level_3/00005400.txt
00003700,left_30,happy,level_3,Happy,0.5788,0.607,0.412,0.0041,0.0507,0.0009,0.0151,0.5788,0.0051,0.0009,0.3444,result_output/left_30/happy/level_3/00003700.txt
00000700,left_30,happy,level_3,Surprise,0.669,0.6335,0.6242,0.0023,0.0056,0.0001,0.0133,0.3062,0.003,0.0006,0.669,result_output/left_30/happy/level_3/00000700.txt
00005600,left_30,happy,level_3,Happy,0.5037,0.6109,0.3621,0.002,0.044,0.0007,0.0072,0.5037,0.0128,0.0019,0.4277,result_output/left_30/happy/level_3/00005600.txt
00001600,left_30,happy,level_3,Happy,0.6416,0.6396,0.3168,0.0022,0.0554,0.0005,0.0083,0.6416,0.0051,0.0008,0.2859,result_output/left_30/happy/level_3/00001600.txt
00004900,left_30,happy,level_3,Happy,0.6785,0.7004,0.2764,0.0019,0.0409,0.0004,0.0053,0.6785,0.0073,0.0012,0.2645,result_output/left_30/happy/level_3/00004900.txt
00001500,left_30,happy,level_3,Happy,0.6711,0.693,0.2706,0.0015,0.0447,0.0003,0.0045,0.6711,0.006,0.0009,0.271,result_output/left_30/happy/level_3/00001500.txt
00001300,left_30,happy,level_3,Happy,0.6192,0.6649,0.3206,0.0019,0.0438,0.0004,0.0062,0.6192,0.006,0.0009,0.3216,result_output/left_30/happy/level_3/00001300.txt
00003000,left_30,happy,level_3,Happy,0.6058,0.6535,0.2865,0.0013,0.0486,0.0003,0.005,0.6058,0.007,0.0009,0.3312,result_output/left_30/happy/level_3/00003000.txt
00008600,left_30,happy,level_3,Happy,0.6198,0.6835,0.3228,0.002,0.0408,0.0006,0.0063,0.6198,0.0078,0.0014,0.3214,result_output/left_30/happy/level_3/00008600.txt
00002800,left_30,happy,level_3,Happy,0.575,0.6221,0.3313,0.0021,0.0489,0.0005,0.0076,0.575,0.0073,0.0009,0.3577,result_output/left_30/happy/level_3/00002800.txt
00006900,left_30,happy,level_3,Surprise,0.5188,0.6011,0.4616,0.0033,0.0263,0.0007,0.0099,0.4283,0.0113,0.0015,0.5188,result_output/left_30/happy/level_3/00006900.txt
00005800,left_30,happy,level_3,Surprise,0.5318,0.6421,0.4535,0.0018,0.0226,0.0003,0.0069,0.427,0.0085,0.0012,0.5318,result_output/left_30/happy/level_3/00005800.txt
00007300,left_30,happy,level_3,Happy,0.5446,0.6449,0.3301,0.0022,0.0362,0.0007,0.007,0.5446,0.0135,0.0018,0.394,result_output/left_30/happy/level_3/00007300.txt
00000300,left_30,happy,level_3,Happy,0.69,0.7382,0.2981,0.0019,0.027,0.0002,0.0062,0.69,0.0054,0.0014,0.2679,result_output/left_30/happy/level_3/00000300.txt
00008400,left_30,happy,level_3,Happy,0.6151,0.6873,0.3353,0.0022,0.0355,0.0005,0.0069,0.6151,0.0073,0.0013,0.3314,result_output/left_30/happy/level_3/00008400.txt
00000800,left_30,happy,level_3,Surprise,0.6973,0.6224,0.6605,0.0025,0.0049,0.0001,0.0137,0.2784,0.0025,0.0004,0.6973,result_output/left_30/happy/level_3/00000800.txt
00005900,left_30,happy,level_3,Happy,0.5103,0.66,0.3631,0.0019,0.0313,0.0004,0.006,0.5103,0.012,0.0018,0.4364,result_output/left_30/happy/level_3/00005900.txt
00009800,left_30,happy,level_3,Happy,0.6022,0.7047,0.3421,0.0011,0.0313,0.0001,0.0047,0.6022,0.005,0.0008,0.3548,result_output/left_30/happy/level_3/00009800.txt
00000500,left_30,happy,level_3,Surprise,0.572,0.6536,0.5228,0.0016,0.0115,0.0001,0.0084,0.4017,0.0039,0.0007,0.572,result_output/left_30/happy/level_3/00000500.txt
00006000,left_30,happy,level_3,Happy,0.539,0.6212,0.3195,0.0026,0.0442,0.001,0.0075,0.539,0.0182,0.0028,0.3846,result_output/left_30/happy/level_3/00006000.txt
00008500,left_30,happy,level_3,Happy,0.6377,0.704,0.3113,0.0018,0.0365,0.0004,0.0056,0.6377,0.0073,0.0014,0.3094,result_output/left_30/happy/level_3/00008500.txt
00006700,left_30,happy,level_3,Surprise,0.5247,0.5183,0.4583,0.0044,0.0409,0.002,0.0131,0.3904,0.0216,0.0029,0.5247,result_output/left_30/happy/level_3/00006700.txt
00002100,left_30,happy,level_3,Happy,0.5954,0.652,0.3843,0.0017,0.0422,0.0002,0.0077,0.5954,0.0033,0.0005,0.349,result_output/left_30/happy/level_3/00002100.txt
