image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_30,neutral,level_1,Surprise,0.6667,0.1503,0.5383,0.0108,0.0008,0.0015,0.0604,0.0086,0.2145,0.0367,0.6667,result_output/left_30/neutral/level_1/00003100.txt
00000100,left_30,neutral,level_1,Surprise,0.5036,0.0623,0.4502,0.0386,0.0007,0.0392,0.0607,0.0046,0.3206,0.032,0.5036,result_output/left_30/neutral/level_1/00000100.txt
00008800,left_30,neutral,level_1,Surprise,0.6967,0.1073,0.7756,0.0127,0.0,0.0014,0.1862,0.0005,0.0799,0.0225,0.6967,result_output/left_30/neutral/level_1/00008800.txt
00007500,left_30,neutral,level_1,Surprise,0.8046,0.1505,0.7376,0.0126,0.0002,0.0008,0.0667,0.0024,0.0962,0.0166,0.8046,result_output/left_30/neutral/level_1/00007500.txt
00008200,left_30,neutral,level_1,Neutral,0.4458,0.0216,0.3252,0.0342,0.0017,0.0654,0.0558,0.0072,0.4458,0.0461,0.3439,result_output/left_30/neutral/level_1/00008200.txt
00005400,left_30,neutral,level_1,Surprise,0.4406,0.0605,0.2222,0.0081,0.016,0.0012,0.033,0.0421,0.3789,0.0801,0.4406,result_output/left_30/neutral/level_1/00005400.txt
00010000,left_30,neutral,level_1,Neutral,0.6324,-0.1351,-0.1681,0.0083,0.0128,0.0002,0.0081,0.0181,0.6324,0.2207,0.0993,result_output/left_30/neutral/level_1/00010000.txt
00003700,left_30,neutral,level_1,Neutral,0.4412,-0.0235,0.3307,0.0509,0.0025,0.1009,0.0394,0.0104,0.4412,0.0338,0.3209,result_output/left_30/neutral/level_1/00003700.txt
00000700,left_30,neutral,level_1,Surprise,0.6926,0.121,0.8269,0.0345,0.0001,0.0024,0.216,0.0018,0.0391,0.0134,0.6926,result_output/left_30/neutral/level_1/00000700.txt
00005600,left_30,neutral,level_1,Surprise,0.6195,0.1214,0.4489,0.0092,0.0028,0.0017,0.0517,0.0152,0.255,0.0449,0.6195,result_output/left_30/neutral/level_1/00005600.txt
00001600,left_30,neutral,level_1,Surprise,0.4887,0.0758,0.4463,0.0325,0.0005,0.0298,0.074,0.0031,0.33,0.0414,0.4887,result_output/left_30/neutral/level_1/00001600.txt
00004900,left_30,neutral,level_1,Neutral,0.4961,-0.0045,0.2605,0.0312,0.0091,0.1022,0.0313,0.0287,0.4961,0.038,0.2634,result_output/left_30/neutral/level_1/00004900.txt
00001500,left_30,neutral,level_1,Surprise,0.4201,0.0554,0.3676,0.0343,0.001,0.0424,0.0542,0.0047,0.3984,0.0449,0.4201,result_output/left_30/neutral/level_1/00001500.txt
00001300,left_30,neutral,level_1,Neutral,0.4743,0.01,0.2829,0.03,0.0093,0.0981,0.0301,0.0297,0.4743,0.0304,0.2981,result_output/left_30/neutral/level_1/00001300.txt
