image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_30,sad,level_1,Disgust,0.829,-0.6508,0.4781,0.1007,0.0021,0.829,0.0163,0.0021,0.0193,0.0271,0.0034,result_output/left_30/sad/level_1/00003100.txt
00000100,left_30,sad,level_1,Disgust,0.9095,-0.6718,0.5214,0.0664,0.0013,0.9095,0.0059,0.0017,0.0071,0.0066,0.0015,result_output/left_30/sad/level_1/00000100.txt
00008800,left_30,sad,level_1,Disgust,0.8322,-0.6458,0.4604,0.0802,0.0017,0.8322,0.0252,0.0022,0.021,0.033,0.0046,result_output/left_30/sad/level_1/00008800.txt
00007500,left_30,sad,level_1,Surprise,0.3484,-0.155,0.2212,0.0424,0.0003,0.0332,0.15,0.0016,0.2195,0.2046,0.3484,result_output/left_30/sad/level_1/00007500.txt
00008200,left_30,sad,level_1,Surprise,0.3065,-0.1749,0.3406,0.0811,0.0006,0.1324,0.1108,0.0026,0.2504,0.1155,0.3065,result_output/left_30/sad/level_1/00008200.txt
00005400,left_30,sad,level_1,Disgust,0.7373,-0.4964,0.4078,0.042,0.0032,0.7373,0.0248,0.0044,0.1123,0.0402,0.0358,result_output/left_30/sad/level_1/00005400.txt
00010000,left_30,sad,level_1,Disgust,0.3187,-0.4259,0.2074,0.0447,0.0019,0.3187,0.1261,0.0034,0.1768,0.2131,0.1154,result_output/left_30/sad/level_1/00010000.txt
00010700,left_30,sad,level_1,Sad,0.8839,-0.6707,-0.4655,0.0078,0.0004,0.0012,0.0201,0.0005,0.0775,0.8839,0.0087,result_output/left_30/sad/level_1/00010700.txt
00003700,left_30,sad,level_1,Sad,0.5142,-0.5529,0.01,0.1217,0.0009,0.1098,0.12,0.0013,0.0986,0.5142,0.0336,result_output/left_30/sad/level_1/00003700.txt
00000700,left_30,sad,level_1,Disgust,0.8432,-0.6531,0.4978,0.1094,0.0027,0.8432,0.0116,0.0032,0.0127,0.0143,0.0029,result_output/left_30/sad/level_1/00000700.txt
00011000,left_30,sad,level_1,Sad,0.8972,-0.6874,-0.5047,0.008,0.0004,0.0008,0.0119,0.0004,0.0761,0.8972,0.0052,result_output/left_30/sad/level_1/00011000.txt
00005600,left_30,sad,level_1,Disgust,0.7806,-0.5319,0.4386,0.0473,0.005,0.7806,0.018,0.0089,0.0902,0.0285,0.0215,result_output/left_30/sad/level_1/00005600.txt
00001600,left_30,sad,level_1,Disgust,0.8718,-0.6533,0.5067,0.0855,0.0016,0.8718,0.0093,0.0019,0.0148,0.012,0.0031,result_output/left_30/sad/level_1/00001600.txt
00004900,left_30,sad,level_1,Sad,0.4669,-0.3983,-0.0592,0.0494,0.0008,0.0724,0.1102,0.0022,0.2142,0.4669,0.0839,result_output/left_30/sad/level_1/00004900.txt
00001500,left_30,sad,level_1,Disgust,0.6692,-0.6453,0.5342,0.2269,0.0016,0.6692,0.0354,0.0027,0.0231,0.0229,0.0184,result_output/left_30/sad/level_1/00001500.txt
00001300,left_30,sad,level_1,Anger,0.462,-0.4698,0.6843,0.462,0.0003,0.163,0.1837,0.0025,0.0225,0.0396,0.1263,result_output/left_30/sad/level_1/00001300.txt
00003000,left_30,sad,level_1,Disgust,0.8382,-0.6508,0.494,0.1137,0.002,0.8382,0.0104,0.0016,0.0134,0.0183,0.0024,result_output/left_30/sad/level_1/00003000.txt
00010500,left_30,sad,level_1,Sad,0.8524,-0.6323,-0.4487,0.0078,0.0005,0.0016,0.0207,0.0006,0.1041,0.8524,0.0123,result_output/left_30/sad/level_1/00010500.txt
00008600,left_30,sad,level_1,Disgust,0.8595,-0.6457,0.4688,0.0788,0.0014,0.8595,0.0128,0.0014,0.0186,0.0239,0.0036,result_output/left_30/sad/level_1/00008600.txt
00002800,left_30,sad,level_1,Disgust,0.5722,-0.6599,0.4915,0.2561,0.0019,0.5722,0.0743,0.0022,0.0223,0.0532,0.0178,result_output/left_30/sad/level_1/00002800.txt
00006900,left_30,sad,level_1,Disgust,0.7585,-0.5255,0.4289,0.0564,0.0044,0.7585,0.0192,0.0077,0.0997,0.032,0.0221,result_output/left_30/sad/level_1/00006900.txt
00005800,left_30,sad,level_1,Disgust,0.8072,-0.5497,0.4415,0.0488,0.0047,0.8072,0.0139,0.0087,0.0762,0.0255,0.0151,result_output/left_30/sad/level_1/00005800.txt
00007300,left_30,sad,level_1,Neutral,0.3479,-0.1559,0.109,0.0442,0.0007,0.0526,0.0841,0.0027,0.3479,0.2287,0.2392,result_output/left_30/sad/level_1/00007300.txt
00000300,left_30,sad,level_1,Disgust,0.9075,-0.6571,0.5183,0.0696,0.0014,0.9075,0.0047,0.0017,0.0071,0.0067,0.0012,result_output/left_30/sad/level_1/00000300.txt
