image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_60,contempt,level_3,Disgust,0.7615,-0.4604,0.4269,0.0641,0.002,0.7615,0.0065,0.0025,0.0928,0.0232,0.0474,result_output/left_60/contempt/level_3/00003100.txt
00000100,left_60,contempt,level_3,Disgust,0.7492,-0.4481,0.4719,0.0867,0.0105,0.7492,0.0086,0.0181,0.0814,0.0082,0.0373,result_output/left_60/contempt/level_3/00000100.txt
00008800,left_60,contempt,level_3,Disgust,0.7613,-0.4748,0.4201,0.0762,0.0021,0.7613,0.0063,0.0021,0.0942,0.0262,0.0315,result_output/left_60/contempt/level_3/00008800.txt
00007500,left_60,contempt,level_3,Disgust,0.8,-0.4861,0.4903,0.0692,0.0083,0.8,0.0085,0.0148,0.0638,0.0065,0.0289,result_output/left_60/contempt/level_3/00007500.txt
00008200,left_60,contempt,level_3,Disgust,0.8106,-0.5049,0.5056,0.0754,0.0069,0.8106,0.0079,0.0129,0.0551,0.0056,0.0256,result_output/left_60/contempt/level_3/00008200.txt
00005400,left_60,contempt,level_3,Disgust,0.6833,-0.4319,0.4623,0.1087,0.0061,0.6833,0.0155,0.013,0.1003,0.0123,0.0609,result_output/left_60/contempt/level_3/00005400.txt
00003700,left_60,contempt,level_3,Disgust,0.7847,-0.4858,0.4889,0.0969,0.0091,0.7847,0.0059,0.0188,0.0588,0.0068,0.019,result_output/left_60/contempt/level_3/00003700.txt
00000700,left_60,contempt,level_3,Disgust,0.7684,-0.4501,0.4782,0.0782,0.0113,0.7684,0.0077,0.0227,0.0719,0.0065,0.0332,result_output/left_60/contempt/level_3/00000700.txt
00005600,left_60,contempt,level_3,Disgust,0.685,-0.4255,0.4516,0.1022,0.0076,0.685,0.0145,0.0169,0.1056,0.0129,0.0552,result_output/left_60/contempt/level_3/00005600.txt
00001600,left_60,contempt,level_3,Disgust,0.8424,-0.5469,0.514,0.0711,0.0044,0.8424,0.0062,0.0061,0.0465,0.0068,0.0165,result_output/left_60/contempt/level_3/00001600.txt
00004900,left_60,contempt,level_3,Disgust,0.6484,-0.4032,0.4364,0.1007,0.0087,0.6484,0.0156,0.0161,0.1245,0.0155,0.0705,result_output/left_60/contempt/level_3/00004900.txt
00001500,left_60,contempt,level_3,Disgust,0.7999,-0.487,0.478,0.0697,0.0068,0.7999,0.0074,0.0094,0.0727,0.0088,0.0253,result_output/left_60/contempt/level_3/00001500.txt
00001300,left_60,contempt,level_3,Disgust,0.8053,-0.5058,0.5044,0.0721,0.0068,0.8053,0.0097,0.0118,0.058,0.0061,0.0302,result_output/left_60/contempt/level_3/00001300.txt
00003000,left_60,contempt,level_3,Disgust,0.7732,-0.4747,0.4377,0.0711,0.0021,0.7732,0.0062,0.0024,0.086,0.0203,0.0386,result_output/left_60/contempt/level_3/00003000.txt
00008600,left_60,contempt,level_3,Disgust,0.8012,-0.5094,0.4931,0.0715,0.0066,0.8012,0.0099,0.0109,0.0658,0.0082,0.0259,result_output/left_60/contempt/level_3/00008600.txt
00002800,left_60,contempt,level_3,Disgust,0.7216,-0.4466,0.4438,0.0654,0.0033,0.7216,0.015,0.0053,0.1117,0.02,0.0577,result_output/left_60/contempt/level_3/00002800.txt
00006900,left_60,contempt,level_3,Disgust,0.7302,-0.4463,0.4633,0.0879,0.0039,0.7302,0.0119,0.0067,0.0992,0.0114,0.0489,result_output/left_60/contempt/level_3/00006900.txt
00005800,left_60,contempt,level_3,Surprise,0.3231,-0.0933,0.3423,0.0926,0.0109,0.2284,0.0113,0.0222,0.2829,0.0285,0.3231,result_output/left_60/contempt/level_3/00005800.txt
00007300,left_60,contempt,level_3,Disgust,0.8079,-0.5431,0.5304,0.1063,0.0044,0.8079,0.0068,0.0082,0.0435,0.0056,0.0173,result_output/left_60/contempt/level_3/00007300.txt
00000300,left_60,contempt,level_3,Disgust,0.8166,-0.5391,0.522,0.0936,0.0059,0.8166,0.0066,0.0099,0.0428,0.0056,0.0189,result_output/left_60/contempt/level_3/00000300.txt
00008400,left_60,contempt,level_3,Disgust,0.7597,-0.4638,0.4878,0.0905,0.0095,0.7597,0.0086,0.0183,0.0723,0.0074,0.0337,result_output/left_60/contempt/level_3/00008400.txt
00000800,left_60,contempt,level_3,Disgust,0.7569,-0.4631,0.4938,0.0989,0.0072,0.7569,0.0086,0.0187,0.0697,0.0071,0.0329,result_output/left_60/contempt/level_3/00000800.txt
00005900,left_60,contempt,level_3,Disgust,0.3594,-0.2,0.3295,0.1015,0.0066,0.3594,0.012,0.0109,0.2738,0.0336,0.2021,result_output/left_60/contempt/level_3/00005900.txt
00000500,left_60,contempt,level_3,Disgust,0.8126,-0.5263,0.5111,0.0878,0.008,0.8126,0.0065,0.0134,0.0464,0.0057,0.0196,result_output/left_60/contempt/level_3/00000500.txt
00006000,left_60,contempt,level_3,Disgust,0.3342,-0.156,0.372,0.0807,0.007,0.3342,0.0113,0.012,0.2485,0.0262,0.2802,result_output/left_60/contempt/level_3/00006000.txt
00008500,left_60,contempt,level_3,Disgust,0.7508,-0.4563,0.4852,0.0898,0.0099,0.7508,0.0099,0.0188,0.076,0.0073,0.0376,result_output/left_60/contempt/level_3/00008500.txt
00006700,left_60,contempt,level_3,Disgust,0.7877,-0.5092,0.4983,0.0942,0.0055,0.7877,0.0083,0.0091,0.065,0.0081,0.0222,result_output/left_60/contempt/level_3/00006700.txt
00002100,left_60,contempt,level_3,Disgust,0.8046,-0.4889,0.4975,0.0713,0.0049,0.8046,0.0083,0.0086,0.0653,0.0066,0.0304,result_output/left_60/contempt/level_3/00002100.txt
00007800,left_60,contempt,level_3,Disgust,0.8421,-0.5265,0.5133,0.0608,0.0062,0.8421,0.0077,0.0101,0.0471,0.0049,0.021,result_output/left_60/contempt/level_3/00007800.txt
00006300,left_60,contempt,level_3,Disgust,0.7861,-0.5137,0.5069,0.0952,0.0044,0.7861,0.0097,0.008,0.0599,0.0072,0.0295,result_output/left_60/contempt/level_3/00006300.txt
00004700,left_60,contempt,level_3,Disgust,0.7452,-0.4677,0.4916,0.0996,0.0058,0.7452,0.0114,0.0116,0.0761,0.0083,0.042,result_output/left_60/contempt/level_3/00004700.txt
00008900,left_60,contempt,level_3,Disgust,0.7835,-0.4811,0.4202,0.0599,0.0021,0.7835,0.006,0.002,0.0861,0.0251,0.0353,result_output/left_60/contempt/level_3/00008900.txt
00002300,left_60,contempt,level_3,Disgust,0.7891,-0.4964,0.4972,0.0957,0.0054,0.7891,0.0067,0.0107,0.063,0.0073,0.0221,result_output/left_60/contempt/level_3/00002300.txt
00007400,left_60,contempt,level_3,Disgust,0.8125,-0.5161,0.5151,0.0781,0.0047,0.8125,0.0089,0.0093,0.0519,0.0058,0.0287,result_output/left_60/contempt/level_3/00007400.txt
00000600,left_60,contempt,level_3,Disgust,0.8054,-0.5055,0.4992,0.0756,0.0097,0.8054,0.0078,0.0174,0.0523,0.0058,0.0259,result_output/left_60/contempt/level_3/00000600.txt
00007000,left_60,contempt,level_3,Disgust,0.7075,-0.4394,0.4732,0.0983,0.0043,0.7075,0.0138,0.0079,0.0982,0.0109,0.059,result_output/left_60/contempt/level_3/00007000.txt
00002600,left_60,contempt,level_3,Disgust,0.8353,-0.557,0.5239,0.0771,0.0032,0.8353,0.0086,0.0054,0.0445,0.0059,0.02,result_output/left_60/contempt/level_3/00002600.txt
