image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_60,disgusted,level_1,Disgust,0.6746,-0.4113,0.4158,0.1161,0.0079,0.6746,0.0058,0.0092,0.1425,0.0156,0.0284,result_output/left_60/disgusted/level_1/00003100.txt
00000100,left_60,disgusted,level_1,Disgust,0.7271,-0.4384,0.4508,0.11,0.0108,0.7271,0.0059,0.0173,0.0966,0.0088,0.0235,result_output/left_60/disgusted/level_1/00000100.txt
00008800,left_60,disgusted,level_1,Neutral,0.4035,-0.1754,0.2122,0.1445,0.0011,0.1392,0.0256,0.0025,0.4035,0.0864,0.1973,result_output/left_60/disgusted/level_1/00008800.txt
00007500,left_60,disgusted,level_1,Disgust,0.7803,-0.4894,0.4675,0.0974,0.0059,0.7803,0.0043,0.0071,0.0802,0.0099,0.0148,result_output/left_60/disgusted/level_1/00007500.txt
00008200,left_60,disgusted,level_1,Disgust,0.7863,-0.4866,0.4698,0.0896,0.0038,0.7863,0.0044,0.0044,0.0828,0.011,0.0176,result_output/left_60/disgusted/level_1/00008200.txt
00005400,left_60,disgusted,level_1,Disgust,0.6982,-0.4486,0.4217,0.1131,0.0036,0.6982,0.0071,0.0044,0.1288,0.0184,0.0266,result_output/left_60/disgusted/level_1/00005400.txt
00010000,left_60,disgusted,level_1,Disgust,0.627,-0.3852,0.402,0.1198,0.0094,0.627,0.01,0.0178,0.1601,0.0155,0.0403,result_output/left_60/disgusted/level_1/00010000.txt
00010700,left_60,disgusted,level_1,Disgust,0.3904,-0.3334,0.2051,0.1488,0.002,0.3904,0.013,0.002,0.2643,0.1035,0.0759,result_output/left_60/disgusted/level_1/00010700.txt
00003700,left_60,disgusted,level_1,Disgust,0.7278,-0.4432,0.4303,0.1025,0.0064,0.7278,0.0051,0.0077,0.1157,0.0139,0.0211,result_output/left_60/disgusted/level_1/00003700.txt
00000700,left_60,disgusted,level_1,Disgust,0.6681,-0.383,0.4168,0.1118,0.0133,0.6681,0.0063,0.0243,0.1341,0.0113,0.0308,result_output/left_60/disgusted/level_1/00000700.txt
00011000,left_60,disgusted,level_1,Neutral,0.3076,-0.3369,0.1106,0.1606,0.0018,0.3061,0.012,0.0013,0.3076,0.1588,0.0518,result_output/left_60/disgusted/level_1/00011000.txt
00005600,left_60,disgusted,level_1,Disgust,0.7196,-0.483,0.447,0.1255,0.0019,0.7196,0.0079,0.0022,0.1007,0.0178,0.0245,result_output/left_60/disgusted/level_1/00005600.txt
00001600,left_60,disgusted,level_1,Disgust,0.7269,-0.4439,0.4122,0.0981,0.008,0.7269,0.0056,0.0091,0.1183,0.0158,0.0182,result_output/left_60/disgusted/level_1/00001600.txt
00004900,left_60,disgusted,level_1,Disgust,0.7019,-0.454,0.3942,0.1064,0.0032,0.7019,0.0072,0.0034,0.1289,0.026,0.0228,result_output/left_60/disgusted/level_1/00004900.txt
00001500,left_60,disgusted,level_1,Disgust,0.7134,-0.4291,0.418,0.1027,0.009,0.7134,0.0056,0.0113,0.1227,0.0139,0.0214,result_output/left_60/disgusted/level_1/00001500.txt
00001300,left_60,disgusted,level_1,Disgust,0.7656,-0.4623,0.4553,0.0983,0.0085,0.7656,0.0042,0.0111,0.0867,0.0091,0.0163,result_output/left_60/disgusted/level_1/00001300.txt
00003000,left_60,disgusted,level_1,Disgust,0.6384,-0.3955,0.3928,0.1186,0.0081,0.6384,0.0069,0.0108,0.1656,0.019,0.0326,result_output/left_60/disgusted/level_1/00003000.txt
00010500,left_60,disgusted,level_1,Disgust,0.4102,-0.3339,0.2108,0.1455,0.0022,0.4102,0.0116,0.0019,0.2663,0.0961,0.0662,result_output/left_60/disgusted/level_1/00010500.txt
00008600,left_60,disgusted,level_1,Neutral,0.4491,-0.1284,0.1874,0.1114,0.002,0.1382,0.0214,0.0048,0.4491,0.0757,0.1973,result_output/left_60/disgusted/level_1/00008600.txt
00002800,left_60,disgusted,level_1,Disgust,0.735,-0.4465,0.4562,0.1089,0.0073,0.735,0.0051,0.009,0.1024,0.0103,0.0221,result_output/left_60/disgusted/level_1/00002800.txt
00006900,left_60,disgusted,level_1,Disgust,0.8232,-0.5629,0.5259,0.1096,0.0036,0.8232,0.003,0.0043,0.0416,0.0064,0.0083,result_output/left_60/disgusted/level_1/00006900.txt
00005800,left_60,disgusted,level_1,Disgust,0.5647,-0.3906,0.351,0.13,0.0026,0.5647,0.0134,0.0033,0.203,0.0382,0.0449,result_output/left_60/disgusted/level_1/00005800.txt
00007300,left_60,disgusted,level_1,Disgust,0.7858,-0.4891,0.4693,0.0924,0.0052,0.7858,0.0045,0.0065,0.0806,0.0095,0.0156,result_output/left_60/disgusted/level_1/00007300.txt
00000300,left_60,disgusted,level_1,Disgust,0.7216,-0.4442,0.457,0.1212,0.0095,0.7216,0.0066,0.0179,0.0921,0.0083,0.0229,result_output/left_60/disgusted/level_1/00000300.txt
00008400,left_60,disgusted,level_1,Disgust,0.7294,-0.4687,0.4374,0.1048,0.0029,0.7294,0.0079,0.0034,0.1108,0.0169,0.024,result_output/left_60/disgusted/level_1/00008400.txt
00000800,left_60,disgusted,level_1,Disgust,0.6628,-0.3859,0.4196,0.1212,0.0115,0.6628,0.0064,0.022,0.1323,0.0114,0.0323,result_output/left_60/disgusted/level_1/00000800.txt
00010400,left_60,disgusted,level_1,Disgust,0.3962,-0.3424,0.2207,0.1638,0.0023,0.3962,0.0123,0.0023,0.2613,0.0942,0.0677,result_output/left_60/disgusted/level_1/00010400.txt
00005900,left_60,disgusted,level_1,Disgust,0.5022,-0.3474,0.3282,0.1315,0.0017,0.5022,0.0157,0.0025,0.2382,0.0436,0.0647,result_output/left_60/disgusted/level_1/00005900.txt
00009800,left_60,disgusted,level_1,Disgust,0.6442,-0.4025,0.4051,0.1303,0.0103,0.6442,0.0084,0.0196,0.1405,0.0153,0.0315,result_output/left_60/disgusted/level_1/00009800.txt
