image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,left_60,surprised,level_3,Surprise,0.856,0.188,0.8223,0.0166,0.0003,0.0009,0.0681,0.0067,0.0474,0.0041,0.856,result_output/left_60/surprised/level_3/00003100.txt
00000100,left_60,surprised,level_3,Surprise,0.95,0.2701,0.945,0.0033,0.0,0.0,0.0407,0.0004,0.0051,0.0005,0.95,result_output/left_60/surprised/level_3/00000100.txt
00008800,left_60,surprised,level_3,Surprise,0.8238,0.1686,0.6331,0.0222,0.0066,0.0015,0.0379,0.0213,0.0811,0.0056,0.8238,result_output/left_60/surprised/level_3/00008800.txt
00007500,left_60,surprised,level_3,Surprise,0.8412,0.1822,0.6591,0.0109,0.0058,0.0009,0.0416,0.0251,0.0692,0.0053,0.8412,result_output/left_60/surprised/level_3/00007500.txt
00008200,left_60,surprised,level_3,Surprise,0.8374,0.243,0.6192,0.0168,0.0021,0.0023,0.0146,0.0172,0.1045,0.005,0.8374,result_output/left_60/surprised/level_3/00008200.txt
00005400,left_60,surprised,level_3,Surprise,0.852,0.2184,0.5982,0.0043,0.0065,0.0003,0.0216,0.0273,0.0825,0.0056,0.852,result_output/left_60/surprised/level_3/00005400.txt
00010000,left_60,surprised,level_3,Surprise,0.8654,0.2068,0.9373,0.0118,0.0,0.0001,0.1167,0.0004,0.0051,0.0006,0.8654,result_output/left_60/surprised/level_3/00010000.txt
00010700,left_60,surprised,level_3,Surprise,0.8869,0.2145,0.908,0.0075,0.0001,0.0001,0.0953,0.0014,0.008,0.0008,0.8869,result_output/left_60/surprised/level_3/00010700.txt
00003700,left_60,surprised,level_3,Surprise,0.803,0.1351,0.8265,0.0209,0.0002,0.0016,0.1026,0.0031,0.0615,0.0071,0.803,result_output/left_60/surprised/level_3/00003700.txt
00000700,left_60,surprised,level_3,Surprise,0.9167,0.2348,0.9499,0.0053,0.0,0.0,0.0689,0.0005,0.0076,0.001,0.9167,result_output/left_60/surprised/level_3/00000700.txt
00011000,left_60,surprised,level_3,Surprise,0.82,0.1877,0.9158,0.0121,0.0,0.0001,0.1583,0.001,0.0074,0.001,0.82,result_output/left_60/surprised/level_3/00011000.txt
00005600,left_60,surprised,level_3,Surprise,0.8342,0.2013,0.5997,0.009,0.0065,0.0007,0.0279,0.0253,0.0906,0.0058,0.8342,result_output/left_60/surprised/level_3/00005600.txt
