image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_30,neutral,level_1,Surprise,0.8499,0.1967,0.7612,0.02,0.0002,0.0007,0.0424,0.0051,0.0735,0.0082,0.8499,result_output/right_30/neutral/level_1/00003100.txt
00000100,right_30,neutral,level_1,Surprise,0.8414,0.1667,0.8264,0.029,0.0001,0.0005,0.0652,0.0038,0.0537,0.0062,0.8414,result_output/right_30/neutral/level_1/00000100.txt
00008800,right_30,neutral,level_1,Surprise,0.8224,0.1559,0.8756,0.0104,0.0,0.0003,0.1233,0.0008,0.0354,0.0074,0.8224,result_output/right_30/neutral/level_1/00008800.txt
00007500,right_30,neutral,level_1,Surprise,0.9237,0.2157,0.8656,0.0077,0.0,0.0001,0.0401,0.0008,0.0249,0.0027,0.9237,result_output/right_30/neutral/level_1/00007500.txt
00008200,right_30,neutral,level_1,Surprise,0.8166,0.1935,0.7799,0.0262,0.0002,0.0009,0.0713,0.0097,0.0676,0.0077,0.8166,result_output/right_30/neutral/level_1/00008200.txt
00005400,right_30,neutral,level_1,Surprise,0.8515,0.1886,0.6792,0.0117,0.0002,0.0002,0.0311,0.0035,0.0915,0.0103,0.8515,result_output/right_30/neutral/level_1/00005400.txt
00010000,right_30,neutral,level_1,Surprise,0.4972,0.0286,0.417,0.0118,0.0007,0.001,0.1056,0.0052,0.2822,0.0963,0.4972,result_output/right_30/neutral/level_1/00010000.txt
00003700,right_30,neutral,level_1,Surprise,0.7829,0.16,0.7576,0.059,0.0002,0.0019,0.0586,0.0093,0.0799,0.008,0.7829,result_output/right_30/neutral/level_1/00003700.txt
00000700,right_30,neutral,level_1,Surprise,0.8926,0.1941,0.8967,0.0164,0.0,0.0001,0.0673,0.0014,0.019,0.0032,0.8926,result_output/right_30/neutral/level_1/00000700.txt
00005600,right_30,neutral,level_1,Surprise,0.9036,0.2152,0.8014,0.0126,0.0001,0.0002,0.0348,0.0032,0.0416,0.0039,0.9036,result_output/right_30/neutral/level_1/00005600.txt
00001600,right_30,neutral,level_1,Surprise,0.7843,0.1579,0.7732,0.036,0.0002,0.0017,0.0755,0.0059,0.085,0.0114,0.7843,result_output/right_30/neutral/level_1/00001600.txt
00004900,right_30,neutral,level_1,Surprise,0.8078,0.2464,0.6765,0.0311,0.0008,0.0022,0.038,0.0278,0.0859,0.0064,0.8078,result_output/right_30/neutral/level_1/00004900.txt
00001500,right_30,neutral,level_1,Surprise,0.8541,0.1899,0.8161,0.0236,0.0001,0.0008,0.0535,0.0045,0.0571,0.0063,0.8541,result_output/right_30/neutral/level_1/00001500.txt
00001300,right_30,neutral,level_1,Surprise,0.786,0.2239,0.6706,0.0354,0.0007,0.0028,0.0393,0.0202,0.1067,0.0088,0.786,result_output/right_30/neutral/level_1/00001300.txt
00003000,right_30,neutral,level_1,Surprise,0.8429,0.2013,0.7553,0.0219,0.0002,0.0009,0.043,0.0061,0.0765,0.0085,0.8429,result_output/right_30/neutral/level_1/00003000.txt
00008600,right_30,neutral,level_1,Surprise,0.8505,0.1657,0.8741,0.0152,0.0,0.0004,0.0874,0.0009,0.0394,0.0062,0.8505,result_output/right_30/neutral/level_1/00008600.txt
00002800,right_30,neutral,level_1,Surprise,0.8111,0.1942,0.7257,0.0255,0.0003,0.0011,0.0489,0.0083,0.0944,0.0104,0.8111,result_output/right_30/neutral/level_1/00002800.txt
00006900,right_30,neutral,level_1,Surprise,0.7389,0.1382,0.7025,0.0343,0.0002,0.0039,0.0802,0.0045,0.1226,0.0153,0.7389,result_output/right_30/neutral/level_1/00006900.txt
