image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_30,disgusted,level_2,Disgust,0.8276,-0.683,0.627,0.153,0.0008,0.8276,0.0058,0.0049,0.0032,0.0021,0.0027,result_output/right_30/disgusted/level_2/00003100.txt
00000100,right_30,disgusted,level_2,Disgust,0.8559,-0.6725,0.5678,0.1221,0.0014,0.8559,0.0058,0.0063,0.0041,0.0026,0.0019,result_output/right_30/disgusted/level_2/00000100.txt
00008800,right_30,disgusted,level_2,Disgust,0.5287,-0.5431,0.4072,0.334,0.0028,0.5287,0.0128,0.0024,0.0464,0.0663,0.0065,result_output/right_30/disgusted/level_2/00008800.txt
00007500,right_30,disgusted,level_2,Disgust,0.9125,-0.699,0.591,0.0806,0.0006,0.9125,0.0019,0.0024,0.0008,0.0006,0.0005,result_output/right_30/disgusted/level_2/00007500.txt
00008200,right_30,disgusted,level_2,Disgust,0.7378,-0.6724,0.5897,0.2307,0.001,0.7378,0.0132,0.0041,0.0047,0.0045,0.004,result_output/right_30/disgusted/level_2/00008200.txt
00005400,right_30,disgusted,level_2,Disgust,0.8824,-0.6881,0.5774,0.1068,0.0008,0.8824,0.004,0.0028,0.0011,0.0014,0.0006,result_output/right_30/disgusted/level_2/00005400.txt
00010000,right_30,disgusted,level_2,Disgust,0.7215,-0.6754,0.4321,0.201,0.0016,0.7215,0.0141,0.0015,0.0121,0.0451,0.0029,result_output/right_30/disgusted/level_2/00010000.txt
00003700,right_30,disgusted,level_2,Disgust,0.8555,-0.6751,0.5866,0.1215,0.0016,0.8555,0.0049,0.0085,0.0037,0.0023,0.0019,result_output/right_30/disgusted/level_2/00003700.txt
00000700,right_30,disgusted,level_2,Disgust,0.8232,-0.6752,0.6043,0.1505,0.0015,0.8232,0.0067,0.0101,0.0033,0.0021,0.0026,result_output/right_30/disgusted/level_2/00000700.txt
00005600,right_30,disgusted,level_2,Disgust,0.8779,-0.6863,0.5756,0.1105,0.0009,0.8779,0.0042,0.0032,0.0012,0.0016,0.0006,result_output/right_30/disgusted/level_2/00005600.txt
00001600,right_30,disgusted,level_2,Disgust,0.8456,-0.6708,0.5905,0.128,0.0016,0.8456,0.0062,0.0099,0.0038,0.0021,0.0028,result_output/right_30/disgusted/level_2/00001600.txt
00004900,right_30,disgusted,level_2,Disgust,0.8886,-0.6942,0.5788,0.0996,0.001,0.8886,0.0036,0.0041,0.0012,0.0013,0.0006,result_output/right_30/disgusted/level_2/00004900.txt
00001500,right_30,disgusted,level_2,Disgust,0.8041,-0.6768,0.6048,0.1673,0.0015,0.8041,0.0084,0.0102,0.0036,0.0022,0.0027,result_output/right_30/disgusted/level_2/00001500.txt
00001300,right_30,disgusted,level_2,Disgust,0.8474,-0.6944,0.6177,0.1341,0.0009,0.8474,0.0057,0.0063,0.0023,0.0015,0.0018,result_output/right_30/disgusted/level_2/00001300.txt
00003000,right_30,disgusted,level_2,Disgust,0.8397,-0.6938,0.6269,0.1453,0.0007,0.8397,0.0045,0.0041,0.0024,0.0016,0.0017,result_output/right_30/disgusted/level_2/00003000.txt
00010500,right_30,disgusted,level_2,Disgust,0.7229,-0.6448,0.4436,0.1927,0.0021,0.7229,0.0117,0.0024,0.0188,0.0457,0.0035,result_output/right_30/disgusted/level_2/00010500.txt
00008600,right_30,disgusted,level_2,Disgust,0.6065,-0.5711,0.542,0.304,0.0019,0.6065,0.0216,0.0077,0.0271,0.0155,0.0158,result_output/right_30/disgusted/level_2/00008600.txt
00002800,right_30,disgusted,level_2,Disgust,0.8642,-0.6803,0.5874,0.1166,0.0014,0.8642,0.0043,0.0077,0.0026,0.0021,0.0012,result_output/right_30/disgusted/level_2/00002800.txt
00006900,right_30,disgusted,level_2,Disgust,0.8643,-0.7029,0.6061,0.1216,0.001,0.8643,0.0039,0.0061,0.0012,0.0012,0.0007,result_output/right_30/disgusted/level_2/00006900.txt
00005800,right_30,disgusted,level_2,Disgust,0.8028,-0.6743,0.5751,0.1701,0.0015,0.8028,0.0106,0.0057,0.003,0.0049,0.0015,result_output/right_30/disgusted/level_2/00005800.txt
00007300,right_30,disgusted,level_2,Disgust,0.9028,-0.7023,0.5964,0.0878,0.0007,0.9028,0.0025,0.0039,0.001,0.0008,0.0005,result_output/right_30/disgusted/level_2/00007300.txt
00000300,right_30,disgusted,level_2,Disgust,0.8474,-0.6918,0.6015,0.1339,0.0011,0.8474,0.0055,0.0067,0.0022,0.0016,0.0015,result_output/right_30/disgusted/level_2/00000300.txt
00008400,right_30,disgusted,level_2,Disgust,0.7073,-0.6517,0.5852,0.2472,0.0011,0.7073,0.0164,0.0053,0.0085,0.0062,0.0079,result_output/right_30/disgusted/level_2/00008400.txt
00000800,right_30,disgusted,level_2,Disgust,0.8991,-0.6923,0.5901,0.0901,0.0009,0.8991,0.0026,0.0042,0.0014,0.0008,0.0008,result_output/right_30/disgusted/level_2/00000800.txt
00010400,right_30,disgusted,level_2,Disgust,0.7292,-0.6472,0.411,0.1802,0.002,0.7292,0.0105,0.002,0.0188,0.054,0.0032,result_output/right_30/disgusted/level_2/00010400.txt
00005900,right_30,disgusted,level_2,Disgust,0.7365,-0.6496,0.5685,0.2213,0.002,0.7365,0.0141,0.0079,0.0064,0.0091,0.0027,result_output/right_30/disgusted/level_2/00005900.txt
00009800,right_30,disgusted,level_2,Disgust,0.7605,-0.6393,0.431,0.168,0.0018,0.7605,0.0075,0.0018,0.0156,0.0424,0.0025,result_output/right_30/disgusted/level_2/00009800.txt
00000500,right_30,disgusted,level_2,Disgust,0.8435,-0.6901,0.61,0.1374,0.0011,0.8435,0.0052,0.0073,0.0023,0.0017,0.0015,result_output/right_30/disgusted/level_2/00000500.txt
00006000,right_30,disgusted,level_2,Disgust,0.7165,-0.6448,0.5682,0.2417,0.0019,0.7165,0.0133,0.0062,0.0069,0.011,0.0026,result_output/right_30/disgusted/level_2/00006000.txt
00008500,right_30,disgusted,level_2,Disgust,0.6116,-0.6156,0.5869,0.3232,0.0015,0.6116,0.0229,0.0075,0.0123,0.007,0.0141,result_output/right_30/disgusted/level_2/00008500.txt
00006700,right_30,disgusted,level_2,Disgust,0.9104,-0.7027,0.5994,0.0819,0.0006,0.9104,0.002,0.003,0.0009,0.0006,0.0005,result_output/right_30/disgusted/level_2/00006700.txt
00002100,right_30,disgusted,level_2,Disgust,0.8542,-0.6847,0.6117,0.1267,0.0011,0.8542,0.0046,0.0075,0.0025,0.0016,0.0018,result_output/right_30/disgusted/level_2/00002100.txt
00007800,right_30,disgusted,level_2,Disgust,0.9104,-0.6726,0.5598,0.0763,0.0013,0.9104,0.0031,0.0044,0.0022,0.0012,0.0011,result_output/right_30/disgusted/level_2/00007800.txt
00006300,right_30,disgusted,level_2,Disgust,0.8754,-0.6723,0.5574,0.1057,0.0015,0.8754,0.0052,0.0056,0.0029,0.0025,0.0013,result_output/right_30/disgusted/level_2/00006300.txt
00004700,right_30,disgusted,level_2,Disgust,0.8633,-0.6541,0.5614,0.1075,0.0024,0.8633,0.0053,0.0095,0.006,0.0028,0.0032,result_output/right_30/disgusted/level_2/00004700.txt
00008900,right_30,disgusted,level_2,Disgust,0.5644,-0.5242,0.3339,0.2483,0.0043,0.5644,0.01,0.0039,0.0741,0.086,0.009,result_output/right_30/disgusted/level_2/00008900.txt
00002300,right_30,disgusted,level_2,Disgust,0.8404,-0.6841,0.5996,0.1391,0.0013,0.8404,0.0052,0.0074,0.0028,0.0025,0.0014,result_output/right_30/disgusted/level_2/00002300.txt
00007400,right_30,disgusted,level_2,Disgust,0.9119,-0.7022,0.5914,0.0802,0.0007,0.9119,0.0021,0.003,0.0009,0.0007,0.0005,result_output/right_30/disgusted/level_2/00007400.txt
00000600,right_30,disgusted,level_2,Disgust,0.8357,-0.6819,0.6028,0.1404,0.0013,0.8357,0.0065,0.009,0.003,0.002,0.0022,result_output/right_30/disgusted/level_2/00000600.txt
00007000,right_30,disgusted,level_2,Disgust,0.9099,-0.7019,0.5984,0.0817,0.0007,0.9099,0.002,0.0038,0.0008,0.0007,0.0004,result_output/right_30/disgusted/level_2/00007000.txt
00002600,right_30,disgusted,level_2,Disgust,0.8724,-0.6754,0.5889,0.1095,0.0014,0.8724,0.0035,0.0074,0.0027,0.0018,0.0012,result_output/right_30/disgusted/level_2/00002600.txt
00003900,right_30,disgusted,level_2,Disgust,0.8524,-0.6709,0.5911,0.1248,0.0016,0.8524,0.0046,0.0083,0.004,0.0022,0.0022,result_output/right_30/disgusted/level_2/00003900.txt
00005300,right_30,disgusted,level_2,Disgust,0.8885,-0.6934,0.5815,0.1017,0.0008,0.8885,0.0036,0.0028,0.001,0.0011,0.0005,result_output/right_30/disgusted/level_2/00005300.txt
00005700,right_30,disgusted,level_2,Disgust,0.8636,-0.679,0.5718,0.1232,0.0009,0.8636,0.0054,0.0028,0.0013,0.0023,0.0006,result_output/right_30/disgusted/level_2/00005700.txt
00007200,right_30,disgusted,level_2,Disgust,0.9178,-0.6992,0.5935,0.0747,0.0007,0.9178,0.0017,0.0032,0.0008,0.0006,0.0004,result_output/right_30/disgusted/level_2/00007200.txt
00002500,right_30,disgusted,level_2,Disgust,0.8431,-0.6746,0.5917,0.1329,0.0016,0.8431,0.0052,0.0097,0.0034,0.0025,0.0016,result_output/right_30/disgusted/level_2/00002500.txt
00002000,right_30,disgusted,level_2,Disgust,0.8284,-0.6937,0.6221,0.1522,0.001,0.8284,0.0057,0.0073,0.0021,0.0017,0.0017,result_output/right_30/disgusted/level_2/00002000.txt
00002700,right_30,disgusted,level_2,Disgust,0.8903,-0.6756,0.5884,0.0942,0.0013,0.8903,0.0029,0.0063,0.0023,0.0015,0.0012,result_output/right_30/disgusted/level_2/00002700.txt
00002200,right_30,disgusted,level_2,Disgust,0.8427,-0.6737,0.5996,0.1329,0.0015,0.8427,0.0051,0.0103,0.0033,0.0019,0.0022,result_output/right_30/disgusted/level_2/00002200.txt
00009100,right_30,disgusted,level_2,Disgust,0.9326,-0.6649,0.559,0.06,0.001,0.9326,0.0015,0.0026,0.0011,0.0008,0.0004,result_output/right_30/disgusted/level_2/00009100.txt
00001400,right_30,disgusted,level_2,Disgust,0.8228,-0.6802,0.6127,0.1523,0.0012,0.8228,0.0072,0.0087,0.0032,0.002,0.0027,result_output/right_30/disgusted/level_2/00001400.txt
00001800,right_30,disgusted,level_2,Disgust,0.9052,-0.6851,0.5815,0.0831,0.001,0.9052,0.0026,0.0043,0.0018,0.001,0.001,result_output/right_30/disgusted/level_2/00001800.txt
00009600,right_30,disgusted,level_2,Disgust,0.9387,-0.6128,0.5356,0.0536,0.0012,0.9387,0.001,0.0017,0.0015,0.0021,0.0002,result_output/right_30/disgusted/level_2/00009600.txt
00004200,right_30,disgusted,level_2,Disgust,0.4223,-0.4621,0.4949,0.3432,0.0021,0.4223,0.0436,0.0097,0.0734,0.032,0.0736,result_output/right_30/disgusted/level_2/00004200.txt
00005500,right_30,disgusted,level_2,Disgust,0.8869,-0.6921,0.5824,0.1037,0.0007,0.8869,0.0036,0.0024,0.0009,0.0012,0.0005,result_output/right_30/disgusted/level_2/00005500.txt
00006100,right_30,disgusted,level_2,Disgust,0.5335,-0.5734,0.5306,0.3721,0.0033,0.5335,0.0261,0.0098,0.0196,0.0286,0.007,result_output/right_30/disgusted/level_2/00006100.txt
00001200,right_30,disgusted,level_2,Disgust,0.8316,-0.684,0.6195,0.146,0.0011,0.8316,0.0064,0.008,0.0027,0.0018,0.0024,result_output/right_30/disgusted/level_2/00001200.txt
00000900,right_30,disgusted,level_2,Disgust,0.8755,-0.6888,0.599,0.1088,0.0011,0.8755,0.0038,0.0063,0.002,0.0012,0.0013,result_output/right_30/disgusted/level_2/00000900.txt
00009200,right_30,disgusted,level_2,Disgust,0.9271,-0.6704,0.5692,0.0655,0.0009,0.9271,0.0015,0.0026,0.0011,0.0009,0.0004,result_output/right_30/disgusted/level_2/00009200.txt
00007900,right_30,disgusted,level_2,Disgust,0.8763,-0.6603,0.5497,0.0995,0.0018,0.8763,0.006,0.0068,0.0045,0.0024,0.0026,result_output/right_30/disgusted/level_2/00007900.txt
00001000,right_30,disgusted,level_2,Disgust,0.8283,-0.6813,0.6016,0.1475,0.0014,0.8283,0.0064,0.0096,0.0028,0.0022,0.0018,result_output/right_30/disgusted/level_2/00001000.txt
00008100,right_30,disgusted,level_2,Disgust,0.8084,-0.6701,0.5669,0.1641,0.0013,0.8084,0.0095,0.0053,0.0048,0.0032,0.0034,result_output/right_30/disgusted/level_2/00008100.txt
00010300,right_30,disgusted,level_2,Disgust,0.7021,-0.6489,0.3844,0.1864,0.002,0.7021,0.0133,0.0021,0.0222,0.0679,0.004,result_output/right_30/disgusted/level_2/00010300.txt
00005200,right_30,disgusted,level_2,Disgust,0.8937,-0.6932,0.581,0.0969,0.0008,0.8937,0.0033,0.0028,0.0009,0.001,0.0005,result_output/right_30/disgusted/level_2/00005200.txt
00001100,right_30,disgusted,level_2,Disgust,0.837,-0.6911,0.6073,0.1422,0.0012,0.837,0.0057,0.0082,0.0023,0.0019,0.0015,result_output/right_30/disgusted/level_2/00001100.txt
00004500,right_30,disgusted,level_2,Disgust,0.7254,-0.5882,0.5339,0.1916,0.0028,0.7254,0.0166,0.0131,0.0241,0.0105,0.0159,result_output/right_30/disgusted/level_2/00004500.txt
