image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_30,surprised,level_2,Fear,0.5561,0.0309,0.9075,0.019,0.0,0.0,0.5561,0.0003,0.0014,0.0006,0.4225,result_output/right_30/surprised/level_2/00003100.txt
00000100,right_30,surprised,level_2,Fear,0.4767,0.0417,0.8519,0.0577,0.0002,0.0012,0.4767,0.005,0.0054,0.0012,0.4528,result_output/right_30/surprised/level_2/00000100.txt
00008800,right_30,surprised,level_2,Surprise,0.7379,0.1044,0.9029,0.0069,0.0,0.0,0.2481,0.0003,0.0057,0.0011,0.7379,result_output/right_30/surprised/level_2/00008800.txt
00007500,right_30,surprised,level_2,Surprise,0.6368,0.1088,0.8391,0.0142,0.0001,0.0002,0.336,0.0046,0.0067,0.0014,0.6368,result_output/right_30/surprised/level_2/00007500.txt
00008200,right_30,surprised,level_2,Fear,0.6116,0.0081,0.8991,0.0147,0.0,0.0001,0.6116,0.0003,0.0021,0.0008,0.3704,result_output/right_30/surprised/level_2/00008200.txt
00005400,right_30,surprised,level_2,Surprise,0.586,0.0633,0.8616,0.014,0.0,0.0002,0.3904,0.001,0.0068,0.0014,0.586,result_output/right_30/surprised/level_2/00005400.txt
00010000,right_30,surprised,level_2,Fear,0.5368,0.0312,0.9008,0.0254,0.0,0.0001,0.5368,0.0004,0.0017,0.0005,0.4351,result_output/right_30/surprised/level_2/00010000.txt
00010700,right_30,surprised,level_2,Surprise,0.6332,0.1019,0.8959,0.0119,0.0,0.0,0.3526,0.0005,0.0014,0.0003,0.6332,result_output/right_30/surprised/level_2/00010700.txt
00003700,right_30,surprised,level_2,Surprise,0.5292,0.049,0.8689,0.023,0.0,0.0002,0.4395,0.0009,0.0057,0.0014,0.5292,result_output/right_30/surprised/level_2/00003700.txt
00000700,right_30,surprised,level_2,Surprise,0.505,0.065,0.9105,0.0141,0.0,0.0,0.4789,0.0004,0.0012,0.0004,0.505,result_output/right_30/surprised/level_2/00000700.txt
00011000,right_30,surprised,level_2,Surprise,0.5841,0.0905,0.8901,0.0122,0.0,0.0,0.4017,0.0005,0.0012,0.0003,0.5841,result_output/right_30/surprised/level_2/00011000.txt
00005600,right_30,surprised,level_2,Surprise,0.6538,0.1071,0.8608,0.0142,0.0,0.0001,0.324,0.0015,0.0054,0.0009,0.6538,result_output/right_30/surprised/level_2/00005600.txt
00001600,right_30,surprised,level_2,Surprise,0.5465,0.0864,0.8651,0.0184,0.0,0.0001,0.4277,0.0022,0.0041,0.0009,0.5465,result_output/right_30/surprised/level_2/00001600.txt
00004900,right_30,surprised,level_2,Fear,0.6875,-0.0079,0.8914,0.0428,0.0,0.0001,0.6875,0.0008,0.0019,0.0008,0.266,result_output/right_30/surprised/level_2/00004900.txt
00001500,right_30,surprised,level_2,Fear,0.4927,0.0538,0.8726,0.0158,0.0,0.0001,0.4927,0.0013,0.0026,0.0009,0.4866,result_output/right_30/surprised/level_2/00001500.txt
00001300,right_30,surprised,level_2,Surprise,0.6166,0.0957,0.9025,0.0106,0.0,0.0,0.3711,0.0004,0.001,0.0003,0.6166,result_output/right_30/surprised/level_2/00001300.txt
00003000,right_30,surprised,level_2,Surprise,0.6232,0.0942,0.9035,0.0183,0.0,0.0,0.3563,0.0004,0.0015,0.0003,0.6232,result_output/right_30/surprised/level_2/00003000.txt
00010500,right_30,surprised,level_2,Surprise,0.5329,0.0662,0.9072,0.0197,0.0,0.0001,0.4451,0.0003,0.0015,0.0004,0.5329,result_output/right_30/surprised/level_2/00010500.txt
00008600,right_30,surprised,level_2,Surprise,0.6821,0.0875,0.9076,0.0083,0.0,0.0,0.3053,0.0003,0.0033,0.0007,0.6821,result_output/right_30/surprised/level_2/00008600.txt
00002800,right_30,surprised,level_2,Fear,0.6423,0.0036,0.9019,0.0208,0.0,0.0001,0.6423,0.0003,0.0015,0.0008,0.3342,result_output/right_30/surprised/level_2/00002800.txt
00011100,right_30,surprised,level_2,Surprise,0.5313,0.0716,0.8917,0.0149,0.0,0.0,0.4518,0.0005,0.0011,0.0003,0.5313,result_output/right_30/surprised/level_2/00011100.txt
00006900,right_30,surprised,level_2,Surprise,0.7212,0.0997,0.8763,0.0099,0.0,0.0001,0.2588,0.0006,0.008,0.0015,0.7212,result_output/right_30/surprised/level_2/00006900.txt
00005800,right_30,surprised,level_2,Fear,0.4945,0.0496,0.8751,0.0259,0.0,0.0002,0.4945,0.0011,0.0035,0.0008,0.4739,result_output/right_30/surprised/level_2/00005800.txt
00007300,right_30,surprised,level_2,Surprise,0.6032,0.1085,0.861,0.0261,0.0001,0.0003,0.3596,0.005,0.0048,0.0009,0.6032,result_output/right_30/surprised/level_2/00007300.txt
00000300,right_30,surprised,level_2,Fear,0.5605,0.0179,0.8718,0.0439,0.0,0.0004,0.5605,0.0016,0.0048,0.0014,0.3874,result_output/right_30/surprised/level_2/00000300.txt
00008400,right_30,surprised,level_2,Fear,0.4949,0.0325,0.8898,0.0145,0.0,0.0001,0.4949,0.0005,0.0028,0.0009,0.4863,result_output/right_30/surprised/level_2/00008400.txt
00000800,right_30,surprised,level_2,Surprise,0.6778,0.1219,0.908,0.0122,0.0,0.0,0.3084,0.0003,0.0011,0.0002,0.6778,result_output/right_30/surprised/level_2/00000800.txt
00010400,right_30,surprised,level_2,Surprise,0.5204,0.0546,0.9139,0.0262,0.0,0.0001,0.4505,0.0002,0.0021,0.0005,0.5204,result_output/right_30/surprised/level_2/00010400.txt
00005900,right_30,surprised,level_2,Fear,0.641,0.0007,0.8796,0.0525,0.0,0.0003,0.641,0.0012,0.0031,0.0011,0.3008,result_output/right_30/surprised/level_2/00005900.txt
