image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,angry,level_2,Anger,0.7485,-0.543,0.5822,0.7485,0.0006,0.05,0.082,0.0014,0.0235,0.0627,0.0312,result_output/right_60/angry/level_2/00003100.txt
00000100,right_60,angry,level_2,Anger,0.7118,-0.5826,0.5593,0.7118,0.001,0.0949,0.0837,0.0015,0.0181,0.0731,0.0159,result_output/right_60/angry/level_2/00000100.txt
00008800,right_60,angry,level_2,Anger,0.6108,-0.3733,0.5972,0.6108,0.0002,0.0216,0.1038,0.0008,0.0376,0.051,0.1741,result_output/right_60/angry/level_2/00008800.txt
00007500,right_60,angry,level_2,Anger,0.6327,-0.416,0.5345,0.6327,0.0007,0.0334,0.0857,0.0022,0.0499,0.0672,0.1282,result_output/right_60/angry/level_2/00007500.txt
00008200,right_60,angry,level_2,Anger,0.6348,-0.3306,0.702,0.6348,0.0001,0.0143,0.1362,0.0014,0.0257,0.0375,0.15,result_output/right_60/angry/level_2/00008200.txt
00005400,right_60,angry,level_2,Anger,0.7394,-0.5117,0.6143,0.7394,0.0012,0.0566,0.089,0.0023,0.0229,0.0468,0.0417,result_output/right_60/angry/level_2/00005400.txt
00010000,right_60,angry,level_2,Anger,0.6844,-0.4256,0.6081,0.6844,0.0004,0.0283,0.085,0.002,0.0371,0.053,0.1098,result_output/right_60/angry/level_2/00010000.txt
00010700,right_60,angry,level_2,Anger,0.6096,-0.4533,0.5069,0.6096,0.0003,0.0514,0.1017,0.0009,0.0551,0.086,0.095,result_output/right_60/angry/level_2/00010700.txt
00003700,right_60,angry,level_2,Anger,0.6315,-0.4492,0.4984,0.6315,0.0006,0.0366,0.0891,0.0011,0.0495,0.0849,0.1067,result_output/right_60/angry/level_2/00003700.txt
00000700,right_60,angry,level_2,Anger,0.7326,-0.4533,0.6984,0.7326,0.0002,0.0146,0.1434,0.0008,0.013,0.0543,0.0412,result_output/right_60/angry/level_2/00000700.txt
00011000,right_60,angry,level_2,Sad,0.3708,-0.5556,0.0947,0.3665,0.0004,0.0675,0.1185,0.0004,0.0516,0.3708,0.0244,result_output/right_60/angry/level_2/00011000.txt
00005600,right_60,angry,level_2,Anger,0.6941,-0.4542,0.6259,0.6941,0.0011,0.0421,0.0971,0.006,0.0304,0.0545,0.0748,result_output/right_60/angry/level_2/00005600.txt
00001600,right_60,angry,level_2,Anger,0.7434,-0.5151,0.6555,0.7434,0.0012,0.059,0.0889,0.0046,0.0201,0.041,0.0419,result_output/right_60/angry/level_2/00001600.txt
