image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,contempt,level_1,Anger,0.5755,-0.3893,0.6799,0.5755,0.001,0.1814,0.0805,0.0131,0.0263,0.0062,0.1159,result_output/right_60/contempt/level_1/00003100.txt
00000100,right_60,contempt,level_1,Disgust,0.7658,-0.6201,0.6414,0.1763,0.0012,0.7658,0.0207,0.0066,0.0085,0.002,0.0189,result_output/right_60/contempt/level_1/00000100.txt
00008800,right_60,contempt,level_1,Disgust,0.8905,-0.6502,0.5627,0.0763,0.0018,0.8905,0.0103,0.0028,0.0099,0.0031,0.0053,result_output/right_60/contempt/level_1/00008800.txt
00007500,right_60,contempt,level_1,Disgust,0.871,-0.65,0.5678,0.0964,0.0018,0.871,0.0056,0.0077,0.0087,0.003,0.0057,result_output/right_60/contempt/level_1/00007500.txt
00008200,right_60,contempt,level_1,Disgust,0.7991,-0.5975,0.5894,0.1282,0.0025,0.7991,0.0238,0.0092,0.0131,0.0023,0.0217,result_output/right_60/contempt/level_1/00008200.txt
00005400,right_60,contempt,level_1,Disgust,0.5027,-0.513,0.6574,0.3444,0.0009,0.5027,0.0584,0.0069,0.0199,0.0043,0.0625,result_output/right_60/contempt/level_1/00005400.txt
00003700,right_60,contempt,level_1,Disgust,0.6645,-0.5368,0.638,0.2343,0.002,0.6645,0.0271,0.0135,0.0158,0.0028,0.04,result_output/right_60/contempt/level_1/00003700.txt
00000700,right_60,contempt,level_1,Anger,0.6464,-0.4427,0.8302,0.6464,0.0002,0.1415,0.116,0.0056,0.0065,0.0021,0.0817,result_output/right_60/contempt/level_1/00000700.txt
00005600,right_60,contempt,level_1,Anger,0.3747,-0.367,0.6245,0.3747,0.0026,0.3458,0.0888,0.0267,0.0338,0.0051,0.1225,result_output/right_60/contempt/level_1/00005600.txt
00001600,right_60,contempt,level_1,Disgust,0.7491,-0.5524,0.5739,0.1504,0.0037,0.7491,0.0254,0.0159,0.0203,0.0036,0.0316,result_output/right_60/contempt/level_1/00001600.txt
00004900,right_60,contempt,level_1,Disgust,0.8611,-0.6946,0.5965,0.1168,0.0012,0.8611,0.0091,0.0035,0.0032,0.0012,0.0038,result_output/right_60/contempt/level_1/00004900.txt
00001500,right_60,contempt,level_1,Disgust,0.6733,-0.5131,0.5933,0.1874,0.0039,0.6733,0.0394,0.0184,0.0216,0.0038,0.0522,result_output/right_60/contempt/level_1/00001500.txt
00001300,right_60,contempt,level_1,Disgust,0.7269,-0.5169,0.5727,0.1495,0.0055,0.7269,0.0278,0.0211,0.0233,0.0036,0.0423,result_output/right_60/contempt/level_1/00001300.txt
00003000,right_60,contempt,level_1,Anger,0.5335,-0.2546,0.6626,0.5335,0.0011,0.089,0.0686,0.0188,0.0439,0.0074,0.2377,result_output/right_60/contempt/level_1/00003000.txt
00008600,right_60,contempt,level_1,Disgust,0.8481,-0.6398,0.5674,0.1013,0.0027,0.8481,0.0185,0.0057,0.0108,0.0028,0.01,result_output/right_60/contempt/level_1/00008600.txt
00002800,right_60,contempt,level_1,Anger,0.5438,-0.3735,0.6817,0.5438,0.0009,0.1996,0.0601,0.0108,0.031,0.0063,0.1475,result_output/right_60/contempt/level_1/00002800.txt
00006900,right_60,contempt,level_1,Anger,0.4457,-0.1728,0.6817,0.4457,0.0009,0.0566,0.1115,0.0186,0.0438,0.0072,0.3156,result_output/right_60/contempt/level_1/00006900.txt
00005800,right_60,contempt,level_1,Surprise,0.4493,-0.017,0.7582,0.3875,0.0004,0.0072,0.1019,0.0174,0.0317,0.0047,0.4493,result_output/right_60/contempt/level_1/00005800.txt
00007300,right_60,contempt,level_1,Disgust,0.5814,-0.4746,0.6004,0.2534,0.0033,0.5814,0.0529,0.0212,0.0251,0.0044,0.0582,result_output/right_60/contempt/level_1/00007300.txt
