image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,fear,level_3,Fear,0.8133,-0.1187,0.8599,0.1248,0.0,0.0017,0.8133,0.0006,0.0021,0.0037,0.0537,result_output/right_60/fear/level_3/00003100.txt
00000100,right_60,fear,level_3,Fear,0.7857,-0.103,0.8203,0.1159,0.0001,0.0007,0.7857,0.0017,0.0042,0.0061,0.0857,result_output/right_60/fear/level_3/00000100.txt
00008800,right_60,fear,level_3,Fear,0.6842,-0.131,0.8471,0.1758,0.0002,0.0025,0.6842,0.0013,0.0054,0.004,0.1267,result_output/right_60/fear/level_3/00008800.txt
00007500,right_60,fear,level_3,Surprise,0.5475,0.0925,0.8344,0.0588,0.0001,0.0002,0.3851,0.0019,0.005,0.0013,0.5475,result_output/right_60/fear/level_3/00007500.txt
00008200,right_60,fear,level_3,Surprise,0.5272,0.0514,0.8618,0.0741,0.0,0.0002,0.3916,0.0005,0.0051,0.0012,0.5272,result_output/right_60/fear/level_3/00008200.txt
00005400,right_60,fear,level_3,Fear,0.4636,0.0305,0.8095,0.1009,0.0003,0.0009,0.4636,0.0034,0.0075,0.0023,0.4211,result_output/right_60/fear/level_3/00005400.txt
00010000,right_60,fear,level_3,Fear,0.69,-0.074,0.8827,0.1284,0.0,0.0016,0.69,0.0004,0.0021,0.0012,0.1762,result_output/right_60/fear/level_3/00010000.txt
00010700,right_60,fear,level_3,Fear,0.6969,-0.1101,0.8827,0.1694,0.0,0.0006,0.6969,0.0004,0.0012,0.001,0.1305,result_output/right_60/fear/level_3/00010700.txt
00003700,right_60,fear,level_3,Fear,0.6456,-0.0485,0.8348,0.0969,0.0001,0.0006,0.6456,0.0011,0.0062,0.0032,0.2463,result_output/right_60/fear/level_3/00003700.txt
00000700,right_60,fear,level_3,Fear,0.6487,-0.0738,0.8815,0.1679,0.0,0.0004,0.6487,0.0005,0.0011,0.0007,0.1808,result_output/right_60/fear/level_3/00000700.txt
00011000,right_60,fear,level_3,Fear,0.6985,-0.0676,0.8795,0.1346,0.0,0.0012,0.6985,0.0007,0.0019,0.0013,0.1618,result_output/right_60/fear/level_3/00011000.txt
00005600,right_60,fear,level_3,Fear,0.6386,-0.114,0.8349,0.2024,0.0003,0.0027,0.6386,0.0036,0.0057,0.0042,0.1425,result_output/right_60/fear/level_3/00005600.txt
00001600,right_60,fear,level_3,Fear,0.7717,-0.1277,0.8267,0.1323,0.0001,0.0011,0.7717,0.0012,0.0048,0.0062,0.0826,result_output/right_60/fear/level_3/00001600.txt
00004900,right_60,fear,level_3,Fear,0.6782,-0.0889,0.8113,0.116,0.0003,0.001,0.6782,0.0015,0.0095,0.0059,0.1877,result_output/right_60/fear/level_3/00004900.txt
00001500,right_60,fear,level_3,Fear,0.7495,-0.1529,0.8273,0.1663,0.0001,0.0015,0.7495,0.001,0.0047,0.0059,0.0711,result_output/right_60/fear/level_3/00001500.txt
