image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,happy,level_1,Happy,0.801,0.816,0.1934,0.0072,0.0085,0.0006,0.0136,0.801,0.0064,0.0034,0.1593,result_output/right_60/happy/level_1/00003100.txt
00000100,right_60,happy,level_1,Happy,0.8372,0.8473,0.1779,0.0043,0.0071,0.0003,0.012,0.8372,0.0042,0.0027,0.1322,result_output/right_60/happy/level_1/00000100.txt
00008800,right_60,happy,level_1,Happy,0.5582,0.6383,0.3339,0.0099,0.0183,0.0007,0.0212,0.5582,0.0137,0.0043,0.3737,result_output/right_60/happy/level_1/00008800.txt
00007500,right_60,happy,level_1,Surprise,0.487,0.6239,0.4435,0.0112,0.011,0.0004,0.0213,0.4554,0.0108,0.0029,0.487,result_output/right_60/happy/level_1/00007500.txt
00008200,right_60,happy,level_1,Surprise,0.4807,0.5137,0.437,0.0112,0.0307,0.0007,0.0263,0.4268,0.0184,0.0052,0.4807,result_output/right_60/happy/level_1/00008200.txt
00005400,right_60,happy,level_1,Happy,0.7082,0.7822,0.276,0.008,0.0089,0.0004,0.0148,0.7082,0.0069,0.0026,0.2502,result_output/right_60/happy/level_1/00005400.txt
00010000,right_60,happy,level_1,Happy,0.7863,0.8163,0.209,0.0069,0.0079,0.0004,0.0111,0.7863,0.0075,0.003,0.1768,result_output/right_60/happy/level_1/00010000.txt
00010700,right_60,happy,level_1,Happy,0.7693,0.8139,0.2281,0.0051,0.0087,0.0004,0.0096,0.7693,0.0067,0.0026,0.1976,result_output/right_60/happy/level_1/00010700.txt
00003700,right_60,happy,level_1,Happy,0.6026,0.7555,0.3703,0.0062,0.0072,0.0002,0.0149,0.6026,0.0064,0.002,0.3605,result_output/right_60/happy/level_1/00003700.txt
00000700,right_60,happy,level_1,Happy,0.8444,0.8429,0.1699,0.0038,0.0103,0.0003,0.0103,0.8444,0.0035,0.0021,0.1253,result_output/right_60/happy/level_1/00000700.txt
00011000,right_60,happy,level_1,Happy,0.6913,0.7788,0.2954,0.0062,0.0076,0.0003,0.0152,0.6913,0.0059,0.0023,0.2713,result_output/right_60/happy/level_1/00011000.txt
00005600,right_60,happy,level_1,Happy,0.6949,0.7575,0.2679,0.0071,0.0141,0.0005,0.0126,0.6949,0.0075,0.0025,0.2609,result_output/right_60/happy/level_1/00005600.txt
00001600,right_60,happy,level_1,Happy,0.8425,0.8523,0.1727,0.0038,0.0071,0.0002,0.0105,0.8425,0.0034,0.0022,0.1304,result_output/right_60/happy/level_1/00001600.txt
00004900,right_60,happy,level_1,Happy,0.7348,0.7847,0.2505,0.0086,0.0116,0.0005,0.013,0.7348,0.0078,0.0028,0.2209,result_output/right_60/happy/level_1/00004900.txt
00001500,right_60,happy,level_1,Happy,0.8678,0.8523,0.1505,0.0045,0.0078,0.0003,0.0096,0.8678,0.0042,0.0026,0.1033,result_output/right_60/happy/level_1/00001500.txt
00001300,right_60,happy,level_1,Happy,0.8545,0.8423,0.1558,0.0043,0.0092,0.0003,0.0093,0.8545,0.0046,0.0027,0.1151,result_output/right_60/happy/level_1/00001300.txt
00003000,right_60,happy,level_1,Happy,0.786,0.8224,0.2058,0.0062,0.0068,0.0004,0.0139,0.786,0.0059,0.0033,0.1775,result_output/right_60/happy/level_1/00003000.txt
00010500,right_60,happy,level_1,Happy,0.8081,0.8228,0.1906,0.007,0.0087,0.0006,0.0116,0.8081,0.0071,0.0035,0.1535,result_output/right_60/happy/level_1/00010500.txt
00008600,right_60,happy,level_1,Happy,0.5762,0.7103,0.351,0.0075,0.011,0.0004,0.0159,0.5762,0.0105,0.003,0.3755,result_output/right_60/happy/level_1/00008600.txt
00002800,right_60,happy,level_1,Happy,0.7831,0.8021,0.1977,0.007,0.0105,0.0006,0.0137,0.7831,0.0067,0.0033,0.1751,result_output/right_60/happy/level_1/00002800.txt
00011100,right_60,happy,level_1,Happy,0.7648,0.7984,0.2295,0.0069,0.0091,0.0005,0.0126,0.7648,0.0073,0.0029,0.1959,result_output/right_60/happy/level_1/00011100.txt
00006900,right_60,happy,level_1,Happy,0.5785,0.705,0.3462,0.0087,0.0105,0.0005,0.0185,0.5785,0.0093,0.0028,0.3712,result_output/right_60/happy/level_1/00006900.txt
00005800,right_60,happy,level_1,Happy,0.7365,0.7597,0.2329,0.0094,0.016,0.0008,0.0133,0.7365,0.0096,0.0037,0.2108,result_output/right_60/happy/level_1/00005800.txt
