image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,neutral,level_1,Surprise,0.8717,0.183,0.7643,0.0348,0.0002,0.0003,0.0447,0.0034,0.0415,0.0034,0.8717,result_output/right_60/neutral/level_1/00003100.txt
00000100,right_60,neutral,level_1,Surprise,0.7882,0.114,0.8277,0.0834,0.0,0.0009,0.0804,0.0019,0.0405,0.0047,0.7882,result_output/right_60/neutral/level_1/00000100.txt
00008800,right_60,neutral,level_1,Surprise,0.7191,0.0906,0.8659,0.0633,0.0,0.0008,0.1846,0.0008,0.0274,0.0039,0.7191,result_output/right_60/neutral/level_1/00008800.txt
00007500,right_60,neutral,level_1,Surprise,0.8894,0.1692,0.8367,0.0307,0.0,0.0002,0.0507,0.0007,0.026,0.0021,0.8894,result_output/right_60/neutral/level_1/00007500.txt
00008200,right_60,neutral,level_1,Surprise,0.7485,0.1059,0.8033,0.0933,0.0001,0.0011,0.1003,0.0049,0.0467,0.0052,0.7485,result_output/right_60/neutral/level_1/00008200.txt
00005400,right_60,neutral,level_1,Surprise,0.8391,0.159,0.7309,0.0526,0.0002,0.0006,0.0463,0.0031,0.0536,0.0045,0.8391,result_output/right_60/neutral/level_1/00005400.txt
00010000,right_60,neutral,level_1,Surprise,0.6456,0.0899,0.5847,0.0707,0.0003,0.002,0.0966,0.0044,0.1623,0.0181,0.6456,result_output/right_60/neutral/level_1/00010000.txt
00003700,right_60,neutral,level_1,Surprise,0.7429,0.1088,0.7805,0.1293,0.0001,0.0017,0.0604,0.0065,0.0541,0.0049,0.7429,result_output/right_60/neutral/level_1/00003700.txt
00000700,right_60,neutral,level_1,Surprise,0.842,0.144,0.8637,0.0592,0.0,0.0004,0.0696,0.0018,0.0245,0.0024,0.842,result_output/right_60/neutral/level_1/00000700.txt
00005600,right_60,neutral,level_1,Surprise,0.8611,0.1677,0.7513,0.0429,0.0002,0.0005,0.0401,0.0025,0.0487,0.0041,0.8611,result_output/right_60/neutral/level_1/00005600.txt
