image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,right_60,sad,level_1,Anger,0.4556,-0.5333,0.3758,0.4556,0.0003,0.0911,0.1885,0.0004,0.0233,0.2141,0.0267,result_output/right_60/sad/level_1/00003100.txt
00000100,right_60,sad,level_1,Disgust,0.4263,-0.6363,0.447,0.3349,0.0007,0.4263,0.1215,0.0008,0.0128,0.092,0.011,result_output/right_60/sad/level_1/00000100.txt
00008800,right_60,sad,level_1,Anger,0.4561,-0.5278,0.3825,0.4561,0.0004,0.0814,0.1853,0.0009,0.0417,0.1906,0.0435,result_output/right_60/sad/level_1/00008800.txt
00007500,right_60,sad,level_1,Anger,0.5253,-0.39,0.525,0.5253,0.0003,0.0487,0.1168,0.0013,0.0611,0.0769,0.1696,result_output/right_60/sad/level_1/00007500.txt
00008200,right_60,sad,level_1,Anger,0.4913,-0.316,0.5564,0.4913,0.0002,0.0351,0.1185,0.0012,0.0591,0.0584,0.2362,result_output/right_60/sad/level_1/00008200.txt
00005400,right_60,sad,level_1,Anger,0.3382,-0.2565,0.5524,0.3382,0.0005,0.0724,0.2007,0.004,0.0885,0.0693,0.2264,result_output/right_60/sad/level_1/00005400.txt
00010000,right_60,sad,level_1,Surprise,0.3293,-0.1667,0.498,0.1557,0.0001,0.03,0.2926,0.0014,0.0885,0.1024,0.3293,result_output/right_60/sad/level_1/00010000.txt
00010700,right_60,sad,level_1,Sad,0.7086,-0.5608,-0.1501,0.0636,0.0001,0.0055,0.1474,0.0002,0.0482,0.7086,0.0265,result_output/right_60/sad/level_1/00010700.txt
00003700,right_60,sad,level_1,Anger,0.3627,-0.5104,0.2003,0.3627,0.0002,0.0265,0.1627,0.0003,0.0414,0.3616,0.0445,result_output/right_60/sad/level_1/00003700.txt
00000700,right_60,sad,level_1,Anger,0.546,-0.4517,0.5814,0.546,0.0003,0.034,0.2495,0.001,0.0182,0.1094,0.0417,result_output/right_60/sad/level_1/00000700.txt
00011000,right_60,sad,level_1,Sad,0.7113,-0.5764,-0.1579,0.0789,0.0002,0.0065,0.1313,0.0002,0.0477,0.7113,0.024,result_output/right_60/sad/level_1/00011000.txt
00005600,right_60,sad,level_1,Anger,0.3613,-0.4182,0.5135,0.3613,0.0007,0.1219,0.25,0.0045,0.0618,0.1036,0.0962,result_output/right_60/sad/level_1/00005600.txt
00001600,right_60,sad,level_1,Anger,0.4642,-0.4867,0.4236,0.4642,0.0003,0.0433,0.225,0.0006,0.0228,0.2092,0.0348,result_output/right_60/sad/level_1/00001600.txt
00004900,right_60,sad,level_1,Anger,0.3893,-0.473,0.3192,0.3893,0.0003,0.0333,0.1872,0.001,0.057,0.2601,0.0718,result_output/right_60/sad/level_1/00004900.txt
00001500,right_60,sad,level_1,Anger,0.5412,-0.355,0.6772,0.5412,0.0,0.0111,0.2945,0.0003,0.0108,0.0805,0.0617,result_output/right_60/sad/level_1/00001500.txt
00001300,right_60,sad,level_1,Anger,0.4939,-0.3585,0.6327,0.4939,0.0001,0.0093,0.315,0.0006,0.0126,0.1022,0.0663,result_output/right_60/sad/level_1/00001300.txt
00003000,right_60,sad,level_1,Anger,0.5088,-0.4338,0.4788,0.5088,0.0001,0.023,0.2351,0.0003,0.0229,0.1637,0.0461,result_output/right_60/sad/level_1/00003000.txt
00010500,right_60,sad,level_1,Sad,0.7014,-0.5246,-0.1807,0.0451,0.0001,0.007,0.1398,0.0002,0.0665,0.7014,0.04,result_output/right_60/sad/level_1/00010500.txt
00008600,right_60,sad,level_1,Anger,0.4425,-0.4856,0.4201,0.4425,0.0003,0.052,0.2094,0.0009,0.0344,0.2021,0.0582,result_output/right_60/sad/level_1/00008600.txt
00002800,right_60,sad,level_1,Anger,0.5427,-0.4098,0.5465,0.5427,0.0001,0.0151,0.2442,0.0002,0.0175,0.1285,0.0516,result_output/right_60/sad/level_1/00002800.txt
00006900,right_60,sad,level_1,Anger,0.3535,-0.4321,0.5036,0.3535,0.0004,0.1054,0.2647,0.0023,0.058,0.1239,0.0918,result_output/right_60/sad/level_1/00006900.txt
00005800,right_60,sad,level_1,Anger,0.3167,-0.4934,0.4757,0.3167,0.0004,0.2979,0.1395,0.0019,0.0707,0.0892,0.0838,result_output/right_60/sad/level_1/00005800.txt
00007300,right_60,sad,level_1,Anger,0.4592,-0.3731,0.4103,0.4592,0.0002,0.0592,0.0798,0.0011,0.1102,0.1059,0.1844,result_output/right_60/sad/level_1/00007300.txt
00000300,right_60,sad,level_1,Anger,0.3389,-0.5748,0.4706,0.3389,0.0007,0.3289,0.1969,0.0007,0.0126,0.1061,0.0151,result_output/right_60/sad/level_1/00000300.txt
00008400,right_60,sad,level_1,Anger,0.6433,-0.4349,0.5883,0.6433,0.0002,0.0491,0.11,0.0008,0.0344,0.0542,0.1081,result_output/right_60/sad/level_1/00008400.txt
00000800,right_60,sad,level_1,Anger,0.6073,-0.4779,0.6177,0.6073,0.0002,0.0357,0.2011,0.0012,0.0169,0.0936,0.0439,result_output/right_60/sad/level_1/00000800.txt
00010400,right_60,sad,level_1,Sad,0.5993,-0.4697,-0.1181,0.0777,0.0002,0.0147,0.1456,0.0004,0.0893,0.5993,0.0727,result_output/right_60/sad/level_1/00010400.txt
00005900,right_60,sad,level_1,Anger,0.3764,-0.509,0.5398,0.3764,0.0004,0.2004,0.2281,0.0015,0.043,0.0853,0.0649,result_output/right_60/sad/level_1/00005900.txt
00009800,right_60,sad,level_1,Surprise,0.3616,-0.1384,0.5815,0.1999,0.0002,0.0286,0.2595,0.0022,0.0785,0.0697,0.3616,result_output/right_60/sad/level_1/00009800.txt
00000500,right_60,sad,level_1,Anger,0.4882,-0.5341,0.5029,0.4882,0.0003,0.1258,0.2207,0.0006,0.0162,0.1248,0.0233,result_output/right_60/sad/level_1/00000500.txt
00006000,right_60,sad,level_1,Anger,0.3999,-0.4004,0.3583,0.3999,0.0002,0.0599,0.1307,0.0009,0.0974,0.1605,0.1505,result_output/right_60/sad/level_1/00006000.txt
00008500,right_60,sad,level_1,Anger,0.5679,-0.4802,0.5203,0.5679,0.0003,0.0729,0.1272,0.0013,0.045,0.0921,0.0933,result_output/right_60/sad/level_1/00008500.txt
00006700,right_60,sad,level_1,Anger,0.4013,-0.4356,0.4899,0.4013,0.0002,0.0695,0.2373,0.0011,0.0484,0.1459,0.0964,result_output/right_60/sad/level_1/00006700.txt
00002100,right_60,sad,level_1,Anger,0.3785,-0.4471,0.4017,0.3785,0.0001,0.0452,0.2906,0.0003,0.0151,0.2448,0.0253,result_output/right_60/sad/level_1/00002100.txt
00007800,right_60,sad,level_1,Anger,0.4856,-0.3823,0.5188,0.4856,0.0001,0.0275,0.1628,0.0011,0.0502,0.1037,0.169,result_output/right_60/sad/level_1/00007800.txt
00010600,right_60,sad,level_1,Sad,0.708,-0.5502,-0.1528,0.0419,0.0001,0.0049,0.1639,0.0002,0.0493,0.708,0.0315,result_output/right_60/sad/level_1/00010600.txt
00006300,right_60,sad,level_1,Anger,0.3484,-0.2586,0.4287,0.3484,0.0001,0.0294,0.0771,0.0007,0.1344,0.0897,0.32,result_output/right_60/sad/level_1/00006300.txt
00004700,right_60,sad,level_1,Sad,0.3318,-0.4438,0.3175,0.298,0.0003,0.0292,0.2769,0.0005,0.0243,0.3318,0.0391,result_output/right_60/sad/level_1/00004700.txt
00008900,right_60,sad,level_1,Anger,0.3735,-0.538,0.3014,0.3735,0.0004,0.0827,0.1988,0.0006,0.0288,0.2857,0.0296,result_output/right_60/sad/level_1/00008900.txt
00002300,right_60,sad,level_1,Anger,0.3894,-0.5933,0.3334,0.3894,0.0006,0.2052,0.1594,0.0006,0.0175,0.2137,0.0136,result_output/right_60/sad/level_1/00002300.txt
00007400,right_60,sad,level_1,Anger,0.4588,-0.3681,0.4218,0.4588,0.0003,0.0552,0.0788,0.0012,0.103,0.1024,0.2003,result_output/right_60/sad/level_1/00007400.txt
00000600,right_60,sad,level_1,Anger,0.4907,-0.4723,0.5127,0.4907,0.0002,0.0497,0.2538,0.0007,0.0179,0.154,0.033,result_output/right_60/sad/level_1/00000600.txt
00007000,right_60,sad,level_1,Anger,0.416,-0.3578,0.513,0.416,0.0005,0.0802,0.1814,0.0031,0.0747,0.0926,0.1514,result_output/right_60/sad/level_1/00007000.txt
00002600,right_60,sad,level_1,Anger,0.4154,-0.5235,0.4427,0.4154,0.0004,0.1399,0.2432,0.0006,0.0162,0.1638,0.0205,result_output/right_60/sad/level_1/00002600.txt
00003900,right_60,sad,level_1,Anger,0.5003,-0.5279,0.3217,0.5003,0.0003,0.044,0.1492,0.0003,0.0337,0.2397,0.0325,result_output/right_60/sad/level_1/00003900.txt
00005300,right_60,sad,level_1,Anger,0.33,-0.2693,0.5578,0.33,0.0003,0.0459,0.2641,0.0022,0.0644,0.084,0.2091,result_output/right_60/sad/level_1/00005300.txt
00005700,right_60,sad,level_1,Anger,0.3324,-0.4793,0.4777,0.3324,0.0005,0.1507,0.2659,0.0021,0.0521,0.1257,0.0706,result_output/right_60/sad/level_1/00005700.txt
00007200,right_60,sad,level_1,Anger,0.4269,-0.4304,0.3818,0.4269,0.0004,0.0877,0.1065,0.0013,0.0988,0.1443,0.1343,result_output/right_60/sad/level_1/00007200.txt
00002500,right_60,sad,level_1,Anger,0.3572,-0.5767,0.3996,0.3572,0.0007,0.2587,0.1925,0.0007,0.0162,0.1586,0.0154,result_output/right_60/sad/level_1/00002500.txt
00002000,right_60,sad,level_1,Anger,0.4318,-0.4919,0.4052,0.4318,0.0003,0.0742,0.2371,0.0004,0.0189,0.2125,0.0248,result_output/right_60/sad/level_1/00002000.txt
00002700,right_60,sad,level_1,Anger,0.4256,-0.4044,0.4998,0.4256,0.0002,0.0193,0.3076,0.0005,0.0171,0.1854,0.0444,result_output/right_60/sad/level_1/00002700.txt
00002200,right_60,sad,level_1,Anger,0.4115,-0.5655,0.3543,0.4115,0.0004,0.1579,0.1821,0.0005,0.018,0.2121,0.0176,result_output/right_60/sad/level_1/00002200.txt
00009100,right_60,sad,level_1,Anger,0.3528,-0.5387,0.357,0.3528,0.0003,0.1343,0.2204,0.0005,0.0305,0.2252,0.0359,result_output/right_60/sad/level_1/00009100.txt
00001400,right_60,sad,level_1,Anger,0.522,-0.344,0.7032,0.522,0.0,0.0082,0.3245,0.0005,0.0094,0.0749,0.0605,result_output/right_60/sad/level_1/00001400.txt
00001800,right_60,sad,level_1,Fear,0.3698,-0.4124,0.4992,0.3358,0.0003,0.0603,0.3698,0.0006,0.0134,0.1929,0.0269,result_output/right_60/sad/level_1/00001800.txt
00009600,right_60,sad,level_1,Anger,0.3193,-0.2738,0.5044,0.3193,0.0002,0.0367,0.2038,0.0018,0.0801,0.1061,0.252,result_output/right_60/sad/level_1/00009600.txt
00004200,right_60,sad,level_1,Anger,0.4195,-0.6732,0.2238,0.4195,0.0004,0.2345,0.0533,0.0006,0.032,0.2458,0.0139,result_output/right_60/sad/level_1/00004200.txt
00005500,right_60,sad,level_1,Anger,0.3315,-0.3717,0.5093,0.3315,0.0005,0.1293,0.2117,0.0036,0.0814,0.0955,0.1464,result_output/right_60/sad/level_1/00005500.txt
00006100,right_60,sad,level_1,Anger,0.3979,-0.3573,0.3702,0.3979,0.0002,0.0649,0.0942,0.0008,0.1206,0.1293,0.1919,result_output/right_60/sad/level_1/00006100.txt
00001200,right_60,sad,level_1,Anger,0.4645,-0.3614,0.6265,0.4645,0.0001,0.0119,0.3366,0.0006,0.0126,0.1098,0.0638,result_output/right_60/sad/level_1/00001200.txt
00000900,right_60,sad,level_1,Anger,0.5169,-0.3422,0.6679,0.5169,0.0001,0.0082,0.3022,0.0007,0.0124,0.0823,0.0772,result_output/right_60/sad/level_1/00000900.txt
00009200,right_60,sad,level_1,Anger,0.3222,-0.4727,0.3703,0.3222,0.0002,0.0646,0.2771,0.0006,0.0371,0.2429,0.0554,result_output/right_60/sad/level_1/00009200.txt
00007900,right_60,sad,level_1,Anger,0.4835,-0.3532,0.5638,0.4835,0.0001,0.0227,0.1842,0.0009,0.0439,0.0803,0.1844,result_output/right_60/sad/level_1/00007900.txt
00001000,right_60,sad,level_1,Anger,0.5329,-0.3468,0.7101,0.5329,0.0001,0.0114,0.2966,0.001,0.013,0.0599,0.085,result_output/right_60/sad/level_1/00001000.txt
00008100,right_60,sad,level_1,Anger,0.5282,-0.3314,0.5821,0.5282,0.0002,0.03,0.1345,0.0012,0.0492,0.0531,0.2038,result_output/right_60/sad/level_1/00008100.txt
00010300,right_60,sad,level_1,Sad,0.3568,-0.3832,0.2288,0.1365,0.0001,0.022,0.3318,0.0004,0.0617,0.3568,0.0907,result_output/right_60/sad/level_1/00010300.txt
00005200,right_60,sad,level_1,Surprise,0.3037,-0.2332,0.4678,0.2833,0.0004,0.0616,0.1382,0.002,0.1165,0.0943,0.3037,result_output/right_60/sad/level_1/00005200.txt
00001100,right_60,sad,level_1,Anger,0.4836,-0.3029,0.6958,0.4836,0.0001,0.0058,0.353,0.0006,0.0099,0.0663,0.0807,result_output/right_60/sad/level_1/00001100.txt
00004500,right_60,sad,level_1,Anger,0.3723,-0.5135,0.3071,0.3723,0.0002,0.0608,0.2111,0.0004,0.0271,0.2935,0.0346,result_output/right_60/sad/level_1/00004500.txt
00003300,right_60,sad,level_1,Fear,0.3148,-0.4431,0.367,0.306,0.0002,0.0475,0.3148,0.0003,0.0174,0.287,0.0268,result_output/right_60/sad/level_1/00003300.txt
00005100,right_60,sad,level_1,Surprise,0.3401,-0.2072,0.4691,0.2829,0.0004,0.0676,0.0957,0.0021,0.1364,0.0748,0.3401,result_output/right_60/sad/level_1/00005100.txt
00009500,right_60,sad,level_1,Fear,0.3203,-0.3436,0.4483,0.2946,0.0002,0.0211,0.3203,0.0012,0.0477,0.1928,0.1223,result_output/right_60/sad/level_1/00009500.txt
00007700,right_60,sad,level_1,Anger,0.5107,-0.3964,0.5003,0.5107,0.0001,0.0284,0.1415,0.0011,0.0547,0.103,0.1604,result_output/right_60/sad/level_1/00007700.txt
00003600,right_60,sad,level_1,Anger,0.394,-0.5228,0.2308,0.394,0.0003,0.0371,0.1572,0.0003,0.0421,0.3266,0.0423,result_output/right_60/sad/level_1/00003600.txt
00006400,right_60,sad,level_1,Surprise,0.3751,-0.2004,0.5274,0.3536,0.0002,0.0288,0.0802,0.0012,0.1104,0.0506,0.3751,result_output/right_60/sad/level_1/00006400.txt
00009400,right_60,sad,level_1,Anger,0.4584,-0.4733,0.4219,0.4584,0.0002,0.0467,0.1926,0.001,0.0476,0.1772,0.0763,result_output/right_60/sad/level_1/00009400.txt
00010200,right_60,sad,level_1,Anger,0.2451,-0.3865,0.2799,0.2451,0.0002,0.0774,0.2081,0.0009,0.1078,0.2205,0.1401,result_output/right_60/sad/level_1/00010200.txt
00006500,right_60,sad,level_1,Anger,0.4273,-0.2877,0.5353,0.4273,0.0002,0.0463,0.1209,0.0012,0.0795,0.0669,0.2577,result_output/right_60/sad/level_1/00006500.txt
00010100,right_60,sad,level_1,Surprise,0.2608,-0.2598,0.4045,0.1801,0.0002,0.0554,0.2568,0.0013,0.1014,0.1441,0.2608,result_output/right_60/sad/level_1/00010100.txt
00001700,right_60,sad,level_1,Anger,0.3938,-0.4977,0.417,0.3938,0.0003,0.0796,0.2523,0.0007,0.0191,0.2266,0.0276,result_output/right_60/sad/level_1/00001700.txt
00006800,right_60,sad,level_1,Anger,0.3848,-0.4241,0.4705,0.3848,0.0005,0.1381,0.1658,0.003,0.0857,0.1101,0.1122,result_output/right_60/sad/level_1/00006800.txt
00010900,right_60,sad,level_1,Sad,0.7944,-0.6053,-0.2716,0.0451,0.0001,0.0046,0.0958,0.0001,0.0406,0.7944,0.0193,result_output/right_60/sad/level_1/00010900.txt
00004300,right_60,sad,level_1,Anger,0.4772,-0.5206,0.3706,0.4772,0.0002,0.0641,0.188,0.0004,0.0253,0.2161,0.0287,result_output/right_60/sad/level_1/00004300.txt
00007100,right_60,sad,level_1,Anger,0.4225,-0.4214,0.4071,0.4225,0.0003,0.0477,0.1634,0.0014,0.0745,0.1588,0.1313,result_output/right_60/sad/level_1/00007100.txt
00004100,right_60,sad,level_1,Anger,0.4335,-0.6706,0.294,0.4335,0.0006,0.2899,0.0419,0.001,0.0315,0.188,0.0137,result_output/right_60/sad/level_1/00004100.txt
