image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,angry,level_1,Anger,0.4627,-0.554,0.2306,0.4627,0.001,0.0683,0.122,0.0004,0.0428,0.2795,0.0233,result_output/top/angry/level_1/00003100.txt
00000100,top,angry,level_1,Disgust,0.4525,-0.6374,0.493,0.4504,0.0006,0.4525,0.0416,0.0003,0.0061,0.0448,0.0038,result_output/top/angry/level_1/00000100.txt
00008800,top,angry,level_1,Anger,0.4606,-0.5425,0.249,0.4606,0.0007,0.0325,0.1389,0.0003,0.039,0.2958,0.0321,result_output/top/angry/level_1/00008800.txt
00007500,top,angry,level_1,Anger,0.3877,-0.361,0.3581,0.3877,0.0001,0.0025,0.242,0.0,0.0403,0.212,0.1154,result_output/top/angry/level_1/00007500.txt
00008200,top,angry,level_1,Anger,0.3578,-0.3547,0.2904,0.3578,0.0,0.0025,0.207,0.0,0.0512,0.2411,0.1403,result_output/top/angry/level_1/00008200.txt
00005400,top,angry,level_1,Anger,0.4491,-0.5541,0.306,0.4491,0.001,0.1131,0.1527,0.0005,0.0308,0.2313,0.0215,result_output/top/angry/level_1/00005400.txt
00010000,top,angry,level_1,Fear,0.3446,-0.3376,0.335,0.3165,0.0,0.0035,0.3446,0.0,0.0192,0.2698,0.0464,result_output/top/angry/level_1/00010000.txt
00010700,top,angry,level_1,Sad,0.6505,-0.5801,-0.084,0.198,0.0004,0.0117,0.1109,0.0001,0.0226,0.6505,0.0057,result_output/top/angry/level_1/00010700.txt
00003700,top,angry,level_1,Anger,0.4948,-0.5267,0.16,0.4948,0.0003,0.014,0.0954,0.0001,0.0373,0.3314,0.0268,result_output/top/angry/level_1/00003700.txt
00000700,top,angry,level_1,Anger,0.7545,-0.4729,0.5522,0.7545,0.0001,0.0288,0.1227,0.0,0.0057,0.0763,0.0119,result_output/top/angry/level_1/00000700.txt
00011000,top,angry,level_1,Sad,0.5589,-0.593,-0.0349,0.2831,0.0005,0.0275,0.0929,0.0002,0.0296,0.5589,0.0074,result_output/top/angry/level_1/00011000.txt
00005600,top,angry,level_1,Anger,0.4966,-0.6024,0.3553,0.4966,0.0016,0.1534,0.1211,0.0007,0.024,0.1902,0.0125,result_output/top/angry/level_1/00005600.txt
