image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,contempt,level_2,Contempt,0.6167,-0.1785,0.5643,0.0014,0.6167,0.0306,0.024,0.1716,0.0071,0.0019,0.1467,result_output/top/contempt/level_2/00003100.txt
00000100,top,contempt,level_2,Contempt,0.4508,-0.1256,0.5541,0.0033,0.4508,0.0718,0.0408,0.2222,0.0108,0.003,0.1972,result_output/top/contempt/level_2/00000100.txt
00008800,top,contempt,level_2,Surprise,0.3182,-0.1058,0.5839,0.0091,0.173,0.1847,0.1055,0.1876,0.0176,0.0044,0.3182,result_output/top/contempt/level_2/00008800.txt
00007500,top,contempt,level_2,Contempt,0.4451,-0.2473,0.6031,0.0037,0.4451,0.098,0.068,0.1215,0.0121,0.0027,0.2487,result_output/top/contempt/level_2/00007500.txt
00008200,top,contempt,level_2,Surprise,0.2973,-0.2545,0.6495,0.0407,0.0997,0.2951,0.1112,0.1327,0.0202,0.003,0.2973,result_output/top/contempt/level_2/00008200.txt
00005400,top,contempt,level_2,Contempt,0.4644,-0.2066,0.5828,0.0027,0.4644,0.0758,0.0478,0.1541,0.0194,0.004,0.2318,result_output/top/contempt/level_2/00005400.txt
00010000,top,contempt,level_2,Surprise,0.3247,-0.1021,0.6208,0.0039,0.1911,0.1853,0.2079,0.0637,0.012,0.0114,0.3247,result_output/top/contempt/level_2/00010000.txt
00003700,top,contempt,level_2,Contempt,0.4931,-0.2096,0.5706,0.0027,0.4931,0.0901,0.0461,0.1677,0.012,0.0033,0.185,result_output/top/contempt/level_2/00003700.txt
00000700,top,contempt,level_2,Contempt,0.4577,-0.1917,0.5841,0.0054,0.4577,0.0786,0.0469,0.2021,0.0133,0.0034,0.1925,result_output/top/contempt/level_2/00000700.txt
00005600,top,contempt,level_2,Contempt,0.3965,-0.1761,0.6378,0.0023,0.3965,0.069,0.0863,0.0909,0.0147,0.0051,0.3352,result_output/top/contempt/level_2/00005600.txt
00001600,top,contempt,level_2,Contempt,0.6925,-0.1861,0.5639,0.0009,0.6925,0.0211,0.017,0.1587,0.0044,0.0014,0.104,result_output/top/contempt/level_2/00001600.txt
00004900,top,contempt,level_2,Contempt,0.3723,-0.0959,0.5716,0.0037,0.3723,0.0604,0.045,0.2181,0.017,0.0034,0.2802,result_output/top/contempt/level_2/00004900.txt
00001500,top,contempt,level_2,Contempt,0.6819,-0.1848,0.5612,0.0011,0.6819,0.0203,0.0165,0.1643,0.005,0.0015,0.1093,result_output/top/contempt/level_2/00001500.txt
00001300,top,contempt,level_2,Contempt,0.5045,-0.0953,0.5926,0.0022,0.5045,0.0215,0.0387,0.1981,0.007,0.0019,0.226,result_output/top/contempt/level_2/00001300.txt
00003000,top,contempt,level_2,Contempt,0.6248,-0.2053,0.5645,0.0016,0.6248,0.0346,0.0207,0.1751,0.0086,0.002,0.1326,result_output/top/contempt/level_2/00003000.txt
00008600,top,contempt,level_2,Disgust,0.285,-0.1434,0.5819,0.0288,0.1016,0.285,0.0843,0.1974,0.0244,0.0045,0.274,result_output/top/contempt/level_2/00008600.txt
00002800,top,contempt,level_2,Contempt,0.5501,-0.1523,0.5409,0.002,0.5501,0.0444,0.0252,0.2075,0.011,0.0025,0.1574,result_output/top/contempt/level_2/00002800.txt
00006900,top,contempt,level_2,Surprise,0.3289,-0.2137,0.6204,0.0219,0.1161,0.2458,0.1216,0.1318,0.0294,0.0045,0.3289,result_output/top/contempt/level_2/00006900.txt
00005800,top,contempt,level_2,Surprise,0.3005,-0.2059,0.5831,0.006,0.2631,0.1833,0.0668,0.1459,0.0296,0.0048,0.3005,result_output/top/contempt/level_2/00005800.txt
00007300,top,contempt,level_2,Surprise,0.3985,-0.1506,0.6308,0.0027,0.3219,0.0763,0.0802,0.0976,0.0182,0.0045,0.3985,result_output/top/contempt/level_2/00007300.txt
00000300,top,contempt,level_2,Contempt,0.4329,-0.1584,0.5591,0.0044,0.4329,0.0936,0.0517,0.2158,0.0115,0.0033,0.1868,result_output/top/contempt/level_2/00000300.txt
00008400,top,contempt,level_2,Disgust,0.4211,-0.2932,0.6378,0.0663,0.0562,0.4211,0.0949,0.1249,0.0166,0.0027,0.2173,result_output/top/contempt/level_2/00008400.txt
00000800,top,contempt,level_2,Surprise,0.3607,-0.1149,0.6423,0.0113,0.278,0.0699,0.0703,0.1935,0.0135,0.0029,0.3607,result_output/top/contempt/level_2/00000800.txt
00005900,top,contempt,level_2,Surprise,0.28,-0.2524,0.6,0.0148,0.1841,0.2694,0.0944,0.1352,0.0192,0.0029,0.28,result_output/top/contempt/level_2/00005900.txt
00009800,top,contempt,level_2,Surprise,0.281,-0.1446,0.6243,0.0027,0.2564,0.1856,0.1916,0.0586,0.0107,0.0133,0.281,result_output/top/contempt/level_2/00009800.txt
00000500,top,contempt,level_2,Contempt,0.4172,-0.1513,0.5837,0.0055,0.4172,0.0756,0.0529,0.209,0.0134,0.0034,0.223,result_output/top/contempt/level_2/00000500.txt
00006000,top,contempt,level_2,Surprise,0.3035,-0.1708,0.5892,0.0078,0.2478,0.1605,0.0879,0.1677,0.0209,0.0039,0.3035,result_output/top/contempt/level_2/00006000.txt
00008500,top,contempt,level_2,Surprise,0.2975,-0.1628,0.6192,0.0566,0.0656,0.2834,0.0902,0.1745,0.0276,0.0046,0.2975,result_output/top/contempt/level_2/00008500.txt
00006700,top,contempt,level_2,Disgust,0.3305,-0.2747,0.5986,0.0132,0.1168,0.3305,0.1189,0.0972,0.0257,0.0039,0.2939,result_output/top/contempt/level_2/00006700.txt
00002100,top,contempt,level_2,Contempt,0.6123,-0.2211,0.584,0.0016,0.6123,0.049,0.0321,0.1494,0.0075,0.0027,0.1454,result_output/top/contempt/level_2/00002100.txt
00007800,top,contempt,level_2,Surprise,0.2826,-0.2227,0.5969,0.0128,0.2321,0.2008,0.0859,0.1587,0.0232,0.0039,0.2826,result_output/top/contempt/level_2/00007800.txt
00006300,top,contempt,level_2,Contempt,0.459,-0.161,0.6372,0.0014,0.459,0.0486,0.0497,0.0881,0.0124,0.0043,0.3365,result_output/top/contempt/level_2/00006300.txt
00004700,top,contempt,level_2,Contempt,0.6041,-0.2173,0.5668,0.0017,0.6041,0.0496,0.0289,0.1604,0.0088,0.0024,0.1441,result_output/top/contempt/level_2/00004700.txt
00008900,top,contempt,level_2,Surprise,0.2985,-0.1201,0.5828,0.0041,0.2226,0.1621,0.123,0.1668,0.0167,0.0061,0.2985,result_output/top/contempt/level_2/00008900.txt
00002300,top,contempt,level_2,Contempt,0.5045,-0.172,0.5861,0.0026,0.5045,0.055,0.0457,0.1729,0.0108,0.0032,0.2052,result_output/top/contempt/level_2/00002300.txt
00007400,top,contempt,level_2,Surprise,0.4169,-0.1292,0.627,0.0031,0.2864,0.0738,0.0892,0.109,0.0178,0.0039,0.4169,result_output/top/contempt/level_2/00007400.txt
00000600,top,contempt,level_2,Contempt,0.4175,-0.2257,0.5804,0.007,0.4175,0.1273,0.0502,0.1897,0.0144,0.0034,0.1905,result_output/top/contempt/level_2/00000600.txt
00007000,top,contempt,level_2,Surprise,0.3162,-0.2376,0.6037,0.015,0.1207,0.2768,0.1315,0.1144,0.0222,0.0032,0.3162,result_output/top/contempt/level_2/00007000.txt
00002600,top,contempt,level_2,Surprise,0.3404,-0.1389,0.6303,0.0117,0.2544,0.0996,0.0848,0.1876,0.0177,0.0039,0.3404,result_output/top/contempt/level_2/00002600.txt
00003900,top,contempt,level_2,Contempt,0.3971,-0.1355,0.5847,0.0048,0.3971,0.07,0.0458,0.2075,0.0158,0.0032,0.2557,result_output/top/contempt/level_2/00003900.txt
00005300,top,contempt,level_2,Contempt,0.5032,-0.2235,0.5865,0.0035,0.5032,0.0677,0.039,0.1665,0.0152,0.0028,0.2021,result_output/top/contempt/level_2/00005300.txt
00005700,top,contempt,level_2,Contempt,0.3684,-0.2206,0.5995,0.0041,0.3684,0.1217,0.083,0.1271,0.0152,0.0034,0.2771,result_output/top/contempt/level_2/00005700.txt
00007200,top,contempt,level_2,Surprise,0.3501,-0.1699,0.6153,0.0039,0.3331,0.0812,0.0906,0.1205,0.0171,0.0036,0.3501,result_output/top/contempt/level_2/00007200.txt
