image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,disgusted,level_3,Disgust,0.9354,-0.7049,0.5554,0.059,0.0004,0.9354,0.0023,0.0016,0.0002,0.001,0.0001,result_output/top/disgusted/level_3/00003100.txt
00000100,top,disgusted,level_3,Disgust,0.9511,-0.7202,0.4836,0.0444,0.0002,0.9511,0.0028,0.0002,0.0001,0.0011,0.0001,result_output/top/disgusted/level_3/00000100.txt
00008800,top,disgusted,level_3,Disgust,0.9172,-0.7161,0.5702,0.0795,0.0003,0.9172,0.0015,0.0007,0.0001,0.0005,0.0001,result_output/top/disgusted/level_3/00008800.txt
00007500,top,disgusted,level_3,Disgust,0.9109,-0.7224,0.5756,0.0855,0.0003,0.9109,0.0016,0.0007,0.0001,0.0007,0.0001,result_output/top/disgusted/level_3/00007500.txt
00008200,top,disgusted,level_3,Disgust,0.9271,-0.7219,0.577,0.0693,0.0003,0.9271,0.0015,0.0011,0.0001,0.0005,0.0001,result_output/top/disgusted/level_3/00008200.txt
00005400,top,disgusted,level_3,Disgust,0.6591,-0.6099,0.4547,0.2761,0.0039,0.6591,0.0128,0.0023,0.01,0.0345,0.0012,result_output/top/disgusted/level_3/00005400.txt
00010000,top,disgusted,level_3,Disgust,0.9431,-0.7109,0.5478,0.0544,0.0003,0.9431,0.001,0.0006,0.0001,0.0004,0.0,result_output/top/disgusted/level_3/00010000.txt
00010700,top,disgusted,level_3,Disgust,0.9759,-0.6916,0.442,0.0207,0.0001,0.9759,0.0018,0.0001,0.0001,0.0012,0.0,result_output/top/disgusted/level_3/00010700.txt
00003700,top,disgusted,level_3,Disgust,0.9281,-0.7057,0.5619,0.0653,0.0006,0.9281,0.0024,0.002,0.0002,0.0013,0.0001,result_output/top/disgusted/level_3/00003700.txt
00000700,top,disgusted,level_3,Disgust,0.9187,-0.7087,0.4983,0.075,0.0002,0.9187,0.004,0.0002,0.0002,0.0017,0.0001,result_output/top/disgusted/level_3/00000700.txt
00011000,top,disgusted,level_3,Disgust,0.9855,-0.676,0.4321,0.0112,0.0001,0.9855,0.0017,0.0001,0.0001,0.0013,0.0,result_output/top/disgusted/level_3/00011000.txt
00005600,top,disgusted,level_3,Disgust,0.8309,-0.671,0.4986,0.1454,0.0014,0.8309,0.0082,0.0014,0.0029,0.0092,0.0007,result_output/top/disgusted/level_3/00005600.txt
00001600,top,disgusted,level_3,Disgust,0.941,-0.6742,0.5022,0.0528,0.0005,0.941,0.0025,0.0006,0.0004,0.0022,0.0001,result_output/top/disgusted/level_3/00001600.txt
00004900,top,disgusted,level_3,Disgust,0.9321,-0.7042,0.5559,0.0624,0.0005,0.9321,0.002,0.0016,0.0002,0.0011,0.0001,result_output/top/disgusted/level_3/00004900.txt
00001500,top,disgusted,level_3,Disgust,0.4524,-0.5874,0.3853,0.4268,0.0041,0.4524,0.0147,0.0016,0.0111,0.0886,0.0007,result_output/top/disgusted/level_3/00001500.txt
00001300,top,disgusted,level_3,Disgust,0.5101,-0.5998,0.4068,0.3931,0.0034,0.5101,0.0153,0.0013,0.0087,0.0674,0.0007,result_output/top/disgusted/level_3/00001300.txt
00003000,top,disgusted,level_3,Disgust,0.9264,-0.7052,0.557,0.0676,0.0004,0.9264,0.0027,0.0015,0.0002,0.0011,0.0001,result_output/top/disgusted/level_3/00003000.txt
00010500,top,disgusted,level_3,Disgust,0.9644,-0.7081,0.4752,0.032,0.0002,0.9644,0.0019,0.0003,0.0001,0.0011,0.0,result_output/top/disgusted/level_3/00010500.txt
00008600,top,disgusted,level_3,Disgust,0.8851,-0.7167,0.6061,0.1097,0.0004,0.8851,0.0026,0.0013,0.0001,0.0006,0.0001,result_output/top/disgusted/level_3/00008600.txt
00011600,top,disgusted,level_3,Disgust,0.9808,-0.6821,0.4456,0.0163,0.0001,0.9808,0.0015,0.0001,0.0001,0.001,0.0,result_output/top/disgusted/level_3/00011600.txt
00002800,top,disgusted,level_3,Disgust,0.9333,-0.7224,0.5574,0.0627,0.0002,0.9333,0.0022,0.0007,0.0001,0.0006,0.0001,result_output/top/disgusted/level_3/00002800.txt
00011100,top,disgusted,level_3,Disgust,0.9864,-0.6723,0.4329,0.011,0.0001,0.9864,0.0014,0.0001,0.0001,0.0011,0.0,result_output/top/disgusted/level_3/00011100.txt
00006900,top,disgusted,level_3,Disgust,0.9551,-0.6809,0.5296,0.0424,0.0002,0.9551,0.0013,0.0002,0.0002,0.0006,0.0001,result_output/top/disgusted/level_3/00006900.txt
00005800,top,disgusted,level_3,Disgust,0.9543,-0.6904,0.5259,0.0428,0.0003,0.9543,0.0012,0.0004,0.0002,0.0008,0.0001,result_output/top/disgusted/level_3/00005800.txt
00007300,top,disgusted,level_3,Disgust,0.9587,-0.6831,0.5172,0.0383,0.0002,0.9587,0.0014,0.0002,0.0002,0.0008,0.0001,result_output/top/disgusted/level_3/00007300.txt
00011700,top,disgusted,level_3,Disgust,0.9809,-0.6891,0.4587,0.0166,0.0001,0.9809,0.0012,0.0002,0.0001,0.0008,0.0,result_output/top/disgusted/level_3/00011700.txt
00000300,top,disgusted,level_3,Disgust,0.9446,-0.7245,0.4796,0.0501,0.0002,0.9446,0.0035,0.0002,0.0001,0.0013,0.0001,result_output/top/disgusted/level_3/00000300.txt
00008400,top,disgusted,level_3,Disgust,0.8641,-0.7061,0.6059,0.1286,0.0005,0.8641,0.004,0.0015,0.0002,0.001,0.0001,result_output/top/disgusted/level_3/00008400.txt
00000800,top,disgusted,level_3,Disgust,0.9033,-0.6937,0.4802,0.0865,0.0003,0.9033,0.0062,0.0003,0.0003,0.0029,0.0002,result_output/top/disgusted/level_3/00000800.txt
00010400,top,disgusted,level_3,Disgust,0.9505,-0.7123,0.4943,0.0455,0.0002,0.9505,0.002,0.0005,0.0001,0.0012,0.0001,result_output/top/disgusted/level_3/00010400.txt
00005900,top,disgusted,level_3,Disgust,0.9493,-0.6926,0.5338,0.0481,0.0003,0.9493,0.001,0.0004,0.0002,0.0007,0.0001,result_output/top/disgusted/level_3/00005900.txt
00009800,top,disgusted,level_3,Disgust,0.8208,-0.6643,0.4494,0.1491,0.0011,0.8208,0.0076,0.0007,0.0024,0.0179,0.0003,result_output/top/disgusted/level_3/00009800.txt
00011800,top,disgusted,level_3,Disgust,0.9773,-0.6886,0.4645,0.0196,0.0002,0.9773,0.0015,0.0002,0.0001,0.001,0.0,result_output/top/disgusted/level_3/00011800.txt
00000500,top,disgusted,level_3,Disgust,0.9508,-0.717,0.4903,0.0456,0.0001,0.9508,0.0022,0.0001,0.0001,0.0009,0.0001,result_output/top/disgusted/level_3/00000500.txt
00006000,top,disgusted,level_3,Disgust,0.9479,-0.6905,0.536,0.0497,0.0003,0.9479,0.001,0.0003,0.0002,0.0007,0.0001,result_output/top/disgusted/level_3/00006000.txt
00008500,top,disgusted,level_3,Disgust,0.8739,-0.7102,0.6063,0.1204,0.0004,0.8739,0.003,0.0013,0.0001,0.0008,0.0001,result_output/top/disgusted/level_3/00008500.txt
00006700,top,disgusted,level_3,Disgust,0.9276,-0.7068,0.5623,0.0701,0.0002,0.9276,0.0013,0.0002,0.0001,0.0004,0.0001,result_output/top/disgusted/level_3/00006700.txt
00002100,top,disgusted,level_3,Disgust,0.8958,-0.7215,0.6047,0.099,0.0004,0.8958,0.0024,0.0015,0.0001,0.0006,0.0001,result_output/top/disgusted/level_3/00002100.txt
00007800,top,disgusted,level_3,Disgust,0.8872,-0.7166,0.5932,0.106,0.0006,0.8872,0.003,0.0018,0.0002,0.0011,0.0001,result_output/top/disgusted/level_3/00007800.txt
00010600,top,disgusted,level_3,Disgust,0.9672,-0.6989,0.4772,0.0298,0.0002,0.9672,0.0015,0.0003,0.0001,0.0009,0.0,result_output/top/disgusted/level_3/00010600.txt
00006300,top,disgusted,level_3,Disgust,0.9506,-0.6997,0.5546,0.0481,0.0001,0.9506,0.0008,0.0001,0.0001,0.0002,0.0,result_output/top/disgusted/level_3/00006300.txt
00004700,top,disgusted,level_3,Disgust,0.9325,-0.7035,0.551,0.0617,0.0006,0.9325,0.0021,0.0016,0.0002,0.0012,0.0001,result_output/top/disgusted/level_3/00004700.txt
00008900,top,disgusted,level_3,Disgust,0.9321,-0.6888,0.5324,0.0646,0.0003,0.9321,0.0016,0.0004,0.0002,0.0007,0.0001,result_output/top/disgusted/level_3/00008900.txt
00002300,top,disgusted,level_3,Disgust,0.8955,-0.7145,0.5872,0.0952,0.0007,0.8955,0.0042,0.0027,0.0002,0.0014,0.0001,result_output/top/disgusted/level_3/00002300.txt
00007400,top,disgusted,level_3,Disgust,0.9515,-0.696,0.5372,0.0461,0.0002,0.9515,0.001,0.0004,0.0001,0.0005,0.0,result_output/top/disgusted/level_3/00007400.txt
00000600,top,disgusted,level_3,Disgust,0.9486,-0.7167,0.4931,0.048,0.0001,0.9486,0.0022,0.0001,0.0001,0.0008,0.0001,result_output/top/disgusted/level_3/00000600.txt
00007000,top,disgusted,level_3,Disgust,0.953,-0.686,0.5066,0.0431,0.0002,0.953,0.0021,0.0002,0.0002,0.0011,0.0001,result_output/top/disgusted/level_3/00007000.txt
00002600,top,disgusted,level_3,Disgust,0.9206,-0.7173,0.5717,0.0733,0.0005,0.9206,0.0026,0.0018,0.0002,0.0009,0.0001,result_output/top/disgusted/level_3/00002600.txt
00003900,top,disgusted,level_3,Disgust,0.9188,-0.7051,0.5594,0.0735,0.0006,0.9188,0.0032,0.002,0.0002,0.0015,0.0001,result_output/top/disgusted/level_3/00003900.txt
