image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,fear,level_2,Fear,0.6008,0.0161,0.9303,0.065,0.0,0.0012,0.6008,0.0001,0.0014,0.0004,0.3311,result_output/top/fear/level_2/00003100.txt
00000100,top,fear,level_2,Surprise,0.586,0.0833,0.907,0.0299,0.0,0.0002,0.3803,0.0003,0.0029,0.0004,0.586,result_output/top/fear/level_2/00000100.txt
00008800,top,fear,level_2,Surprise,0.5914,0.0468,0.924,0.0305,0.0,0.0005,0.3738,0.0002,0.0032,0.0004,0.5914,result_output/top/fear/level_2/00008800.txt
00007500,top,fear,level_2,Surprise,0.5793,0.0488,0.8976,0.0311,0.0,0.0003,0.3827,0.0003,0.0055,0.0009,0.5793,result_output/top/fear/level_2/00007500.txt
00008200,top,fear,level_2,Surprise,0.538,0.0646,0.9122,0.0368,0.0,0.0001,0.4237,0.0001,0.0011,0.0002,0.538,result_output/top/fear/level_2/00008200.txt
00005400,top,fear,level_2,Surprise,0.5973,0.0666,0.916,0.0256,0.0,0.0003,0.3724,0.0002,0.0037,0.0005,0.5973,result_output/top/fear/level_2/00005400.txt
00010000,top,fear,level_2,Surprise,0.4527,0.0485,0.8958,0.097,0.0001,0.0014,0.4431,0.0001,0.0043,0.0013,0.4527,result_output/top/fear/level_2/00010000.txt
00010700,top,fear,level_2,Surprise,0.4925,0.0778,0.8926,0.0881,0.0,0.0007,0.4161,0.0001,0.0019,0.0004,0.4925,result_output/top/fear/level_2/00010700.txt
00003700,top,fear,level_2,Surprise,0.5607,0.0532,0.9027,0.0409,0.0,0.0005,0.3927,0.0003,0.0042,0.0006,0.5607,result_output/top/fear/level_2/00003700.txt
00000700,top,fear,level_2,Surprise,0.4776,0.087,0.8932,0.0963,0.0001,0.0007,0.4223,0.0001,0.0022,0.0006,0.4776,result_output/top/fear/level_2/00000700.txt
00011000,top,fear,level_2,Surprise,0.7742,0.16,0.9103,0.0205,0.0,0.0,0.2038,0.0001,0.0011,0.0001,0.7742,result_output/top/fear/level_2/00011000.txt
00005600,top,fear,level_2,Surprise,0.6046,0.1059,0.881,0.0298,0.0,0.0002,0.362,0.0006,0.0025,0.0003,0.6046,result_output/top/fear/level_2/00005600.txt
00001600,top,fear,level_2,Surprise,0.5902,0.0993,0.885,0.027,0.0,0.0002,0.3791,0.0005,0.0027,0.0004,0.5902,result_output/top/fear/level_2/00001600.txt
00004900,top,fear,level_2,Surprise,0.5911,0.0657,0.9127,0.0239,0.0,0.0002,0.38,0.0003,0.0039,0.0006,0.5911,result_output/top/fear/level_2/00004900.txt
00001500,top,fear,level_2,Surprise,0.5897,0.0983,0.8818,0.024,0.0,0.0002,0.3825,0.0006,0.0027,0.0004,0.5897,result_output/top/fear/level_2/00001500.txt
00001300,top,fear,level_2,Surprise,0.543,0.0746,0.9116,0.0313,0.0,0.0001,0.4246,0.0001,0.0008,0.0002,0.543,result_output/top/fear/level_2/00001300.txt
00003000,top,fear,level_2,Fear,0.5102,0.0134,0.9477,0.0438,0.0,0.0003,0.5102,0.0,0.0009,0.0002,0.4445,result_output/top/fear/level_2/00003000.txt
00010500,top,fear,level_2,Surprise,0.6566,0.1351,0.8865,0.0542,0.0,0.0003,0.286,0.0001,0.0025,0.0003,0.6566,result_output/top/fear/level_2/00010500.txt
00008600,top,fear,level_2,Surprise,0.5103,0.0246,0.9132,0.0632,0.0,0.0018,0.4196,0.0002,0.0042,0.0007,0.5103,result_output/top/fear/level_2/00008600.txt
00011600,top,fear,level_2,Surprise,0.5371,0.032,0.9251,0.0325,0.0,0.0003,0.4279,0.0001,0.0018,0.0003,0.5371,result_output/top/fear/level_2/00011600.txt
00002800,top,fear,level_2,Surprise,0.5941,0.0878,0.9007,0.0382,0.0,0.0002,0.3649,0.0002,0.0021,0.0003,0.5941,result_output/top/fear/level_2/00002800.txt
00011100,top,fear,level_2,Surprise,0.7674,0.1588,0.911,0.0147,0.0,0.0,0.2166,0.0001,0.0011,0.0001,0.7674,result_output/top/fear/level_2/00011100.txt
00006900,top,fear,level_2,Surprise,0.5185,0.0355,0.9315,0.0229,0.0,0.0002,0.4552,0.0001,0.0026,0.0005,0.5185,result_output/top/fear/level_2/00006900.txt
00005800,top,fear,level_2,Surprise,0.6293,0.1149,0.88,0.0269,0.0,0.0002,0.3398,0.0009,0.0026,0.0003,0.6293,result_output/top/fear/level_2/00005800.txt
00007300,top,fear,level_2,Surprise,0.6102,0.0803,0.8856,0.0225,0.0,0.0002,0.3609,0.0005,0.0049,0.0007,0.6102,result_output/top/fear/level_2/00007300.txt
00011700,top,fear,level_2,Surprise,0.4905,0.0186,0.9243,0.0329,0.0,0.0005,0.4737,0.0001,0.002,0.0003,0.4905,result_output/top/fear/level_2/00011700.txt
00000300,top,fear,level_2,Surprise,0.5015,0.0469,0.905,0.0576,0.0,0.0003,0.4377,0.0002,0.0024,0.0004,0.5015,result_output/top/fear/level_2/00000300.txt
00008400,top,fear,level_2,Surprise,0.4573,0.0642,0.9122,0.0823,0.0,0.0008,0.4569,0.0001,0.0021,0.0005,0.4573,result_output/top/fear/level_2/00008400.txt
00000800,top,fear,level_2,Surprise,0.4795,0.0945,0.8916,0.0883,0.0,0.0007,0.4279,0.0,0.0025,0.001,0.4795,result_output/top/fear/level_2/00000800.txt
00010400,top,fear,level_2,Surprise,0.5504,0.1026,0.8717,0.0892,0.0001,0.0006,0.3564,0.0001,0.0027,0.0006,0.5504,result_output/top/fear/level_2/00010400.txt
