image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,happy,level_2,Happy,0.8863,0.8973,0.2068,0.0019,0.0059,0.0002,0.0111,0.8863,0.0014,0.0023,0.0909,result_output/top/happy/level_2/00003100.txt
00000100,top,happy,level_2,Happy,0.929,0.9108,0.1481,0.0009,0.0067,0.0001,0.0057,0.929,0.001,0.0016,0.0552,result_output/top/happy/level_2/00000100.txt
00008800,top,happy,level_2,Happy,0.9092,0.8843,0.1576,0.0014,0.0067,0.0001,0.0082,0.9092,0.0016,0.0026,0.0702,result_output/top/happy/level_2/00008800.txt
00007500,top,happy,level_2,Happy,0.7659,0.7791,0.2173,0.0031,0.0153,0.0004,0.0132,0.7659,0.0066,0.0052,0.1902,result_output/top/happy/level_2/00007500.txt
00008200,top,happy,level_2,Happy,0.8901,0.8602,0.1398,0.0008,0.0114,0.0001,0.0054,0.8901,0.0019,0.0023,0.0879,result_output/top/happy/level_2/00008200.txt
00005400,top,happy,level_2,Happy,0.8837,0.8566,0.1522,0.0019,0.0109,0.0002,0.0084,0.8837,0.0027,0.0036,0.0886,result_output/top/happy/level_2/00005400.txt
00010000,top,happy,level_2,Happy,0.8786,0.8708,0.1822,0.0009,0.0083,0.0001,0.0072,0.8786,0.0014,0.0017,0.1018,result_output/top/happy/level_2/00010000.txt
00003700,top,happy,level_2,Happy,0.8745,0.8572,0.1764,0.0006,0.012,0.0,0.0043,0.8745,0.0015,0.0015,0.1056,result_output/top/happy/level_2/00003700.txt
00000700,top,happy,level_2,Happy,0.9055,0.9062,0.1726,0.0012,0.0059,0.0001,0.0089,0.9055,0.0012,0.002,0.0752,result_output/top/happy/level_2/00000700.txt
00005600,top,happy,level_2,Happy,0.9043,0.8731,0.152,0.0017,0.009,0.0002,0.008,0.9043,0.0021,0.003,0.0717,result_output/top/happy/level_2/00005600.txt
00001600,top,happy,level_2,Happy,0.8186,0.8882,0.2861,0.0018,0.0041,0.0001,0.0127,0.8186,0.0014,0.0018,0.1596,result_output/top/happy/level_2/00001600.txt
00004900,top,happy,level_2,Happy,0.918,0.8826,0.1331,0.001,0.011,0.0001,0.0057,0.918,0.0016,0.0027,0.0601,result_output/top/happy/level_2/00004900.txt
00001500,top,happy,level_2,Happy,0.7669,0.8862,0.3619,0.0025,0.0031,0.0001,0.0159,0.7669,0.0013,0.0016,0.2087,result_output/top/happy/level_2/00001500.txt
00001300,top,happy,level_2,Happy,0.7841,0.8859,0.3261,0.0021,0.0035,0.0001,0.0143,0.7841,0.0014,0.0017,0.1929,result_output/top/happy/level_2/00001300.txt
00003000,top,happy,level_2,Happy,0.9016,0.8952,0.1743,0.0012,0.0068,0.0001,0.0078,0.9016,0.0013,0.002,0.0793,result_output/top/happy/level_2/00003000.txt
00010500,top,happy,level_2,Happy,0.905,0.901,0.1572,0.0007,0.0079,0.0001,0.0046,0.905,0.0012,0.0017,0.0789,result_output/top/happy/level_2/00010500.txt
00008600,top,happy,level_2,Happy,0.923,0.8904,0.1353,0.0012,0.0072,0.0001,0.0063,0.923,0.0016,0.0022,0.0583,result_output/top/happy/level_2/00008600.txt
00002800,top,happy,level_2,Happy,0.9246,0.9085,0.1493,0.001,0.0069,0.0001,0.0058,0.9246,0.0011,0.0018,0.0587,result_output/top/happy/level_2/00002800.txt
00006900,top,happy,level_2,Happy,0.8442,0.7962,0.1531,0.002,0.0203,0.0003,0.0089,0.8442,0.005,0.0055,0.1138,result_output/top/happy/level_2/00006900.txt
00005800,top,happy,level_2,Happy,0.9104,0.8746,0.1488,0.0013,0.0085,0.0001,0.0064,0.9104,0.0018,0.0026,0.069,result_output/top/happy/level_2/00005800.txt
00007300,top,happy,level_2,Happy,0.6597,0.5054,0.216,0.0026,0.1255,0.0016,0.0225,0.6597,0.0157,0.0145,0.1579,result_output/top/happy/level_2/00007300.txt
00000300,top,happy,level_2,Happy,0.9295,0.9101,0.1407,0.0009,0.0064,0.0001,0.0065,0.9295,0.001,0.002,0.0536,result_output/top/happy/level_2/00000300.txt
00008400,top,happy,level_2,Happy,0.9115,0.8837,0.1352,0.001,0.0082,0.0001,0.0057,0.9115,0.0016,0.0022,0.0698,result_output/top/happy/level_2/00008400.txt
00000800,top,happy,level_2,Happy,0.8992,0.9141,0.1977,0.0015,0.005,0.0001,0.0112,0.8992,0.0012,0.0024,0.0794,result_output/top/happy/level_2/00000800.txt
00010400,top,happy,level_2,Happy,0.8792,0.8621,0.1822,0.001,0.0089,0.0001,0.0075,0.8792,0.0014,0.0018,0.1001,result_output/top/happy/level_2/00010400.txt
00005900,top,happy,level_2,Happy,0.9159,0.8664,0.1315,0.0011,0.0098,0.0001,0.0056,0.9159,0.0019,0.0025,0.0631,result_output/top/happy/level_2/00005900.txt
00009800,top,happy,level_2,Happy,0.8821,0.8733,0.1771,0.0012,0.0082,0.0001,0.0096,0.8821,0.0015,0.0023,0.095,result_output/top/happy/level_2/00009800.txt
00000500,top,happy,level_2,Happy,0.9239,0.9143,0.1612,0.0009,0.0062,0.0001,0.0067,0.9239,0.001,0.0018,0.0593,result_output/top/happy/level_2/00000500.txt
00006000,top,happy,level_2,Happy,0.8919,0.8414,0.1363,0.0017,0.0127,0.0002,0.0077,0.8919,0.0031,0.0043,0.0784,result_output/top/happy/level_2/00006000.txt
00008500,top,happy,level_2,Happy,0.8929,0.8756,0.1658,0.0009,0.0076,0.0001,0.0057,0.8929,0.0016,0.0016,0.0896,result_output/top/happy/level_2/00008500.txt
00006700,top,happy,level_2,Happy,0.784,0.7905,0.2248,0.0032,0.0153,0.0004,0.0128,0.784,0.0058,0.0053,0.1733,result_output/top/happy/level_2/00006700.txt
00002100,top,happy,level_2,Happy,0.9122,0.8827,0.1499,0.001,0.0097,0.0001,0.0055,0.9122,0.0015,0.0022,0.0678,result_output/top/happy/level_2/00002100.txt
00007800,top,happy,level_2,Happy,0.8857,0.8494,0.1437,0.0015,0.0119,0.0002,0.0078,0.8857,0.0026,0.0034,0.0869,result_output/top/happy/level_2/00007800.txt
00006300,top,happy,level_2,Happy,0.6568,0.4777,0.2296,0.0018,0.1665,0.0018,0.0163,0.6568,0.0114,0.0082,0.1373,result_output/top/happy/level_2/00006300.txt
00004700,top,happy,level_2,Happy,0.9184,0.9008,0.1471,0.0013,0.008,0.0002,0.0072,0.9184,0.0014,0.0025,0.0611,result_output/top/happy/level_2/00004700.txt
00008900,top,happy,level_2,Happy,0.8768,0.8718,0.1992,0.0015,0.0068,0.0001,0.0096,0.8768,0.0017,0.0023,0.1014,result_output/top/happy/level_2/00008900.txt
00002300,top,happy,level_2,Happy,0.8858,0.8625,0.1633,0.001,0.0109,0.0001,0.0059,0.8858,0.0018,0.0022,0.0924,result_output/top/happy/level_2/00002300.txt
00007400,top,happy,level_2,Happy,0.7091,0.6045,0.2053,0.0025,0.0767,0.001,0.0178,0.7091,0.0113,0.0096,0.1721,result_output/top/happy/level_2/00007400.txt
00000600,top,happy,level_2,Happy,0.9203,0.9092,0.1546,0.0013,0.0059,0.0001,0.0081,0.9203,0.0012,0.0021,0.061,result_output/top/happy/level_2/00000600.txt
00007000,top,happy,level_2,Happy,0.8178,0.7298,0.1372,0.0019,0.0414,0.0005,0.0107,0.8178,0.0068,0.0078,0.1132,result_output/top/happy/level_2/00007000.txt
00002600,top,happy,level_2,Happy,0.9159,0.8918,0.1414,0.0011,0.008,0.0001,0.0062,0.9159,0.0014,0.0021,0.0653,result_output/top/happy/level_2/00002600.txt
00003900,top,happy,level_2,Happy,0.8938,0.8504,0.1523,0.0008,0.014,0.0001,0.0047,0.8938,0.002,0.0023,0.0823,result_output/top/happy/level_2/00003900.txt
00005300,top,happy,level_2,Happy,0.867,0.8308,0.1458,0.0016,0.0141,0.0002,0.0074,0.867,0.0035,0.0037,0.1026,result_output/top/happy/level_2/00005300.txt
00005700,top,happy,level_2,Happy,0.9101,0.8794,0.1485,0.0015,0.0085,0.0001,0.0068,0.9101,0.0018,0.0026,0.0686,result_output/top/happy/level_2/00005700.txt
00007200,top,happy,level_2,Happy,0.6696,0.5082,0.1944,0.0021,0.1484,0.0012,0.0175,0.6696,0.0133,0.0128,0.135,result_output/top/happy/level_2/00007200.txt
00002500,top,happy,level_2,Happy,0.9137,0.8833,0.1367,0.0009,0.0098,0.0001,0.0056,0.9137,0.0015,0.0023,0.0662,result_output/top/happy/level_2/00002500.txt
00002000,top,happy,level_2,Happy,0.9128,0.8866,0.1425,0.001,0.0089,0.0001,0.0059,0.9128,0.0015,0.0023,0.0675,result_output/top/happy/level_2/00002000.txt
00002700,top,happy,level_2,Happy,0.9327,0.9018,0.1359,0.0008,0.0072,0.0001,0.0051,0.9327,0.0011,0.0019,0.0511,result_output/top/happy/level_2/00002700.txt
00002200,top,happy,level_2,Happy,0.9181,0.8784,0.1298,0.001,0.0105,0.0001,0.0052,0.9181,0.0016,0.0023,0.0612,result_output/top/happy/level_2/00002200.txt
00009100,top,happy,level_2,Happy,0.8235,0.8576,0.2568,0.0012,0.0073,0.0001,0.0099,0.8235,0.0015,0.0014,0.1551,result_output/top/happy/level_2/00009100.txt
00001400,top,happy,level_2,Happy,0.7401,0.8774,0.3877,0.0028,0.003,0.0001,0.0179,0.7401,0.0013,0.0017,0.2331,result_output/top/happy/level_2/00001400.txt
