image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,neutral,level_1,Surprise,0.3491,-0.172,0.1087,0.0097,0.0004,0.0001,0.0492,0.0006,0.2936,0.2972,0.3491,result_output/top/neutral/level_1/00003100.txt
00000100,top,neutral,level_1,Surprise,0.4668,-0.0754,0.4095,0.0789,0.0002,0.0057,0.0858,0.0006,0.2492,0.1128,0.4668,result_output/top/neutral/level_1/00000100.txt
00008800,top,neutral,level_1,Surprise,0.5194,-0.043,0.5964,0.0163,0.0,0.0002,0.2576,0.0002,0.1133,0.0929,0.5194,result_output/top/neutral/level_1/00008800.txt
00007500,top,neutral,level_1,Surprise,0.6423,-0.009,0.4845,0.0106,0.0001,0.0002,0.1084,0.0002,0.1339,0.1044,0.6423,result_output/top/neutral/level_1/00007500.txt
00008200,top,neutral,level_1,Surprise,0.4991,-0.0055,0.5258,0.0324,0.0005,0.001,0.1562,0.0038,0.2107,0.0964,0.4991,result_output/top/neutral/level_1/00008200.txt
00005400,top,neutral,level_1,Sad,0.5266,-0.3651,-0.1712,0.0156,0.0011,0.0001,0.0201,0.0004,0.3223,0.5266,0.1137,result_output/top/neutral/level_1/00005400.txt
00010000,top,neutral,level_1,Sad,0.7319,-0.5377,-0.3158,0.0121,0.0009,0.0,0.0169,0.0008,0.2212,0.7319,0.0164,result_output/top/neutral/level_1/00010000.txt
00003700,top,neutral,level_1,Surprise,0.6341,0.0485,0.6237,0.0652,0.0003,0.0034,0.0953,0.0021,0.1562,0.0434,0.6341,result_output/top/neutral/level_1/00003700.txt
00000700,top,neutral,level_1,Surprise,0.5754,-0.0238,0.5208,0.0277,0.0,0.0011,0.1441,0.0002,0.1526,0.0988,0.5754,result_output/top/neutral/level_1/00000700.txt
00005600,top,neutral,level_1,Surprise,0.4298,-0.1379,0.2025,0.0135,0.0003,0.0002,0.0627,0.0005,0.2511,0.2419,0.4298,result_output/top/neutral/level_1/00005600.txt
00001600,top,neutral,level_1,Surprise,0.3599,-0.1146,0.2398,0.0434,0.0003,0.002,0.073,0.0007,0.3283,0.1924,0.3599,result_output/top/neutral/level_1/00001600.txt
00004900,top,neutral,level_1,Neutral,0.3902,-0.0409,0.2536,0.1173,0.0033,0.0147,0.0467,0.0129,0.3902,0.0955,0.3194,result_output/top/neutral/level_1/00004900.txt
00001500,top,neutral,level_1,Surprise,0.3687,-0.1264,0.2295,0.0426,0.0003,0.0011,0.0589,0.0006,0.3247,0.2032,0.3687,result_output/top/neutral/level_1/00001500.txt
00001300,top,neutral,level_1,Surprise,0.4213,-0.0332,0.2929,0.0848,0.0014,0.0091,0.0401,0.0036,0.3427,0.097,0.4213,result_output/top/neutral/level_1/00001300.txt
