image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,sad,level_2,Disgust,0.6206,-0.7016,0.2048,0.0244,0.0003,0.6206,0.0979,0.0004,0.0031,0.2511,0.0022,result_output/top/sad/level_2/00003100.txt
00000100,top,sad,level_2,Disgust,0.5121,-0.6323,0.1714,0.0174,0.0004,0.5121,0.1475,0.0005,0.0023,0.3175,0.0023,result_output/top/sad/level_2/00000100.txt
00008800,top,sad,level_2,Sad,0.8141,-0.6535,-0.1749,0.0157,0.0001,0.0204,0.1386,0.0003,0.0037,0.8141,0.0071,result_output/top/sad/level_2/00008800.txt
00007500,top,sad,level_2,Disgust,0.7759,-0.7092,0.2825,0.0351,0.0016,0.7759,0.0331,0.0017,0.0105,0.1389,0.0032,result_output/top/sad/level_2/00007500.txt
00008200,top,sad,level_2,Disgust,0.8209,-0.7121,0.321,0.0298,0.0013,0.8209,0.0261,0.0011,0.0103,0.1067,0.0037,result_output/top/sad/level_2/00008200.txt
00005400,top,sad,level_2,Disgust,0.7466,-0.7219,0.2903,0.0307,0.0006,0.7466,0.0523,0.0004,0.0034,0.1638,0.0022,result_output/top/sad/level_2/00005400.txt
00010000,top,sad,level_2,Disgust,0.7529,-0.6812,0.2146,0.0202,0.0013,0.7529,0.0432,0.0032,0.0071,0.1699,0.0023,result_output/top/sad/level_2/00010000.txt
00010700,top,sad,level_2,Sad,0.5367,-0.427,0.1067,0.0133,0.0,0.007,0.4291,0.0003,0.0016,0.5367,0.012,result_output/top/sad/level_2/00010700.txt
00003700,top,sad,level_2,Disgust,0.7205,-0.7123,0.2961,0.0313,0.0007,0.7205,0.0684,0.0005,0.0038,0.1721,0.0026,result_output/top/sad/level_2/00003700.txt
00000700,top,sad,level_2,Fear,0.4663,-0.4727,0.335,0.031,0.0003,0.195,0.4663,0.0008,0.0041,0.2876,0.0149,result_output/top/sad/level_2/00000700.txt
00011000,top,sad,level_2,Fear,0.6214,-0.3112,0.4039,0.0247,0.0001,0.0192,0.6214,0.0012,0.0044,0.2969,0.0322,result_output/top/sad/level_2/00011000.txt
00005600,top,sad,level_2,Disgust,0.7395,-0.7113,0.3002,0.0304,0.0006,0.7395,0.0605,0.0004,0.0038,0.162,0.0027,result_output/top/sad/level_2/00005600.txt
00001600,top,sad,level_2,Disgust,0.5297,-0.7175,0.1548,0.0314,0.0008,0.5297,0.0812,0.001,0.0056,0.347,0.0033,result_output/top/sad/level_2/00001600.txt
00004900,top,sad,level_2,Disgust,0.7622,-0.7099,0.3294,0.024,0.0004,0.7622,0.0807,0.0005,0.0028,0.1273,0.0023,result_output/top/sad/level_2/00004900.txt
00001500,top,sad,level_2,Sad,0.6331,-0.7141,-0.0285,0.0257,0.0003,0.2391,0.0962,0.0003,0.0032,0.6331,0.0021,result_output/top/sad/level_2/00001500.txt
00001300,top,sad,level_2,Fear,0.5989,-0.3759,0.337,0.027,0.0001,0.0553,0.5989,0.0004,0.0022,0.3045,0.0115,result_output/top/sad/level_2/00001300.txt
00003000,top,sad,level_2,Sad,0.6722,-0.6398,-0.0291,0.0272,0.0002,0.1148,0.1781,0.0004,0.0032,0.6722,0.0039,result_output/top/sad/level_2/00003000.txt
00010500,top,sad,level_2,Sad,0.6276,-0.6585,0.0063,0.0273,0.0006,0.147,0.1759,0.0028,0.0073,0.6276,0.0114,result_output/top/sad/level_2/00010500.txt
00008600,top,sad,level_2,Sad,0.732,-0.6507,-0.0725,0.0205,0.0002,0.0677,0.1668,0.0005,0.0047,0.732,0.0077,result_output/top/sad/level_2/00008600.txt
00011600,top,sad,level_2,Sad,0.8892,-0.7038,-0.3225,0.0055,0.0001,0.0088,0.0929,0.0004,0.001,0.8892,0.0021,result_output/top/sad/level_2/00011600.txt
00002800,top,sad,level_2,Sad,0.5211,-0.6355,0.095,0.0317,0.0003,0.2388,0.2003,0.0004,0.0032,0.5211,0.0042,result_output/top/sad/level_2/00002800.txt
