image_name,direction,emotion_category,level,expression,expression_confidence,valence,arousal,prob_anger,prob_contempt,prob_disgust,prob_fear,prob_happy,prob_neutral,prob_sad,prob_surprise,file_path
00003100,top,surprised,level_1,Surprise,0.8105,0.0981,0.6481,0.001,0.001,0.0,0.0879,0.003,0.0567,0.0397,0.8105,result_output/top/surprised/level_1/00003100.txt
00000100,top,surprised,level_1,Surprise,0.8159,0.1435,0.7658,0.0086,0.0004,0.003,0.0759,0.0017,0.0711,0.0234,0.8159,result_output/top/surprised/level_1/00000100.txt
00008800,top,surprised,level_1,Surprise,0.67,0.0653,0.8107,0.0022,0.0001,0.0001,0.272,0.0007,0.0316,0.0234,0.67,result_output/top/surprised/level_1/00008800.txt
00007500,top,surprised,level_1,Surprise,0.6813,0.0925,0.8161,0.0039,0.0002,0.0002,0.2599,0.0018,0.0352,0.0175,0.6813,result_output/top/surprised/level_1/00007500.txt
00008200,top,surprised,level_1,Surprise,0.6759,0.0619,0.8143,0.0032,0.0,0.0001,0.2637,0.0005,0.0337,0.0228,0.6759,result_output/top/surprised/level_1/00008200.txt
00005400,top,surprised,level_1,Surprise,0.7648,0.0234,0.5773,0.0014,0.0005,0.0,0.0942,0.0008,0.0653,0.073,0.7648,result_output/top/surprised/level_1/00005400.txt
00003700,top,surprised,level_1,Surprise,0.8456,0.1556,0.8617,0.0078,0.0001,0.0006,0.0953,0.0015,0.0393,0.0098,0.8456,result_output/top/surprised/level_1/00003700.txt
00000700,top,surprised,level_1,Surprise,0.7777,0.1329,0.8184,0.0028,0.0,0.0002,0.16,0.0005,0.0386,0.0202,0.7777,result_output/top/surprised/level_1/00000700.txt
00005600,top,surprised,level_1,Surprise,0.7901,0.0888,0.7332,0.0015,0.0001,0.0001,0.1291,0.0003,0.041,0.0378,0.7901,result_output/top/surprised/level_1/00005600.txt
00001600,top,surprised,level_1,Surprise,0.8221,0.1312,0.73,0.0022,0.0007,0.0002,0.0845,0.0029,0.0603,0.0272,0.8221,result_output/top/surprised/level_1/00001600.txt
00004900,top,surprised,level_1,Surprise,0.8567,0.1494,0.8052,0.0054,0.0006,0.0004,0.0782,0.0058,0.0428,0.0101,0.8567,result_output/top/surprised/level_1/00004900.txt
